date,slot,interval,price,net_actual,q,reserve,charge,discharge,emergency,spill,soc_start,soc_end
2025-02-17,99,16:30-16:40,0.9024000000,793.9822333333,782.6265523555,6000.0000000000,0.0000000000,11.3556809778,0.0000000000,0.0000000000,10749.7835885278,10737.1661652192
2025-02-17,100,16:40-16:50,0.9163000000,848.0052166667,837.3443792189,6000.0000000000,0.0000000000,10.6608374478,0.0000000000,0.0000000000,10737.1661652192,10725.3207902771
2025-02-17,101,16:50-17:00,0.9264000000,912.9370833333,888.9611853701,6000.0000000000,0.0000000000,23.9758979632,0.0000000000,0.0000000000,10725.3207902771,10698.6809036513
2025-02-17,102,17:00-17:10,0.9462000000,958.2379000000,932.6554594543,6000.0000000000,0.0000000000,25.5824405457,0.0000000000,0.0000000000,10698.6809036513,10670.2559697117
2025-02-17,103,17:10-17:20,0.9742000000,976.6402666667,967.4803955416,6000.0000000000,0.0000000000,9.1598711251,0.0000000000,0.0000000000,10670.2559697117,10660.0783351282
2025-02-17,104,17:20-17:30,0.9862000000,1000.0516666667,1009.9391547262,6000.0000000000,9.8874880595,0.0000000000,0.0000000000,0.0000000000,10660.0783351282,10668.9770743818
2025-02-17,105,17:30-17:40,0.9760000000,1035.7253500000,1005.1209851125,6000.0000000000,0.0000000000,30.6043648875,0.0000000000,0.0000000000,10668.9770743818,10634.9722245068
2025-02-17,106,17:40-17:50,1.0742000000,895.8319833333,898.8950777112,6000.0000000000,3.0630943779,0.0000000000,0.0000000000,0.0000000000,10634.9722245068,10637.7290094469
2025-02-17,107,17:50-18:00,1.2313000000,671.8800000000,756.3178776829,6000.0000000000,84.4378776829,0.0000000000,0.0000000000,0.0000000000,10637.7290094469,10713.7230993615
2025-02-17,108,18:00-18:10,1.2561000000,680.0029166667,701.7237921489,6000.0000000000,21.7208754823,0.0000000000,0.0000000000,0.0000000000,10713.7230993615,10733.2718872955
2025-02-17,109,18:10-18:20,1.2447000000,720.4549333333,703.8770926958,6000.0000000000,0.0000000000,16.5778406375,0.0000000000,0.0000000000,10733.2718872955,10714.8520643649
2025-02-17,110,18:20-18:30,1.2545000000,700.4983333333,705.7695941213,6000.0000000000,5.2712607879,0.0000000000,0.0000000000,0.0000000000,10714.8520643649,10719.5961990741
2025-02-17,111,18:30-18:40,1.2522000000,727.3584166667,714.8123599216,6000.0000000000,0.0000000000,12.5460567451,0.0000000000,0.0000000000,10719.5961990741,10705.6561360240
2025-02-17,112,18:40-18:50,1.2881000000,746.9395833333,39.0340824303,5615.4819011414,0.0000000000,707.9055009030,0.0000000000,0.0000000000,10705.6561360240,9919.0944683540
2025-02-17,113,18:50-19:00,1.3466000000,739.9616666667,0.0000000000,5207.5777306767,0.0000000000,739.9616666667,0.0000000000,0.0000000000,9919.0944683540,9096.9148387244
2025-02-17,114,19:00-19:10,1.3523000000,748.8765833333,0.0000000000,4803.8823822389,0.0000000000,748.8765833333,0.0000000000,0.0000000000,9096.9148387244,8264.8297461318
2025-02-17,115,19:10-19:20,1.3445000000,752.4571166667,0.0000000000,4401.3632839385,0.0000000000,752.4571166667,0.0000000000,0.0000000000,8264.8297461318,7428.7662831688
2025-02-17,116,19:20-19:30,1.3483000000,733.9900000000,0.0000000000,3995.9233730461,0.0000000000,733.9900000000,0.0000000000,0.0000000000,7428.7662831688,6613.2218387244
