date,slot,interval,price,net_actual,q,reserve,charge,discharge,emergency,spill,soc_start,soc_end
2025-02-01,0,00:00-00:10,0.4248000000,422.0303666667,1286.2788879630,3975.0000000000,833.3333333333,0.0000000000,0.0000000000,30.9151879630,6000.0000000000,6750.0000000000
2025-02-01,1,00:10-00:20,0.4245000000,415.4073166667,1290.2242050000,4350.0000000000,833.3333333333,0.0000000000,0.0000000000,41.4835550000,6750.0000000000,7500.0000000000
2025-02-01,2,00:20-00:30,0.4269000000,410.7166666667,1303.0434285714,4725.0000000000,833.3333333333,0.0000000000,0.0000000000,58.9934285714,7500.0000000000,8250.0000000000
2025-02-01,3,00:30-00:40,0.4272000000,430.2948000000,1307.6553050000,5100.0000000000,833.3333333333,0.0000000000,0.0000000000,44.0271716667,8250.0000000000,9000.0000000000
2025-02-01,4,00:40-00:50,0.4271000000,424.4105833333,1329.5993575926,5475.0000000000,833.3333333333,0.0000000000,0.0000000000,71.8554409259,9000.0000000000,9750.0000000000
2025-02-01,5,00:50-01:00,0.4285000000,406.0516666667,506.6850740741,5475.0000000000,100.6334074074,0.0000000000,0.0000000000,0.0000000000,9750.0000000000,9840.5700666667
2025-02-01,6,01:00-01:10,0.4311000000,436.7501833333,500.3986873810,5475.0000000000,63.6485040476,0.0000000000,0.0000000000,0.0000000000,9840.5700666667,9897.8537203095
2025-02-01,7,01:10-01:20,0.4302000000,451.7976833333,485.6769833333,5475.0000000000,33.8793000000,0.0000000000,0.0000000000,0.0000000000,9897.8537203095,9928.3450903095
2025-02-01,8,01:20-01:30,0.4279000000,446.0800000000,814.8978333333,5625.0000000000,368.8178333333,0.0000000000,0.0000000000,0.0000000000,9928.3450903095,10260.2811403095
2025-02-01,9,01:30-01:40,0.4312000000,471.7663333333,501.8411881481,5625.0000000000,30.0748548148,0.0000000000,0.0000000000,0.0000000000,10260.2811403095,10287.3485096429
2025-02-01,10,01:40-01:50,0.4333000000,448.0259666667,512.0380733333,5625.0000000000,64.0121066667,0.0000000000,0.0000000000,0.0000000000,10287.3485096429,10344.9594056429
2025-02-01,11,01:50-02:00,0.4311000000,397.4033333333,532.0320000000,5625.0000000000,134.6286666667,0.0000000000,0.0000000000,0.0000000000,10344.9594056429,10466.1252056429
2025-02-01,12,02:00-02:10,0.4293000000,434.0906333333,507.8182192593,5625.0000000000,73.7275859259,0.0000000000,0.0000000000,0.0000000000,10466.1252056429,10532.4800329762
2025-02-01,13,02:10-02:20,0.4324000000,490.5609166667,516.1992833333,5625.0000000000,25.6383666667,0.0000000000,0.0000000000,0.0000000000,10532.4800329762,10555.5545629762
2025-02-01,14,02:20-02:30,0.4367000000,503.2200000000,521.6342037037,5625.0000000000,18.4142037037,0.0000000000,0.0000000000,0.0000000000,10555.5545629762,10572.1273463095
2025-02-01,15,02:30-02:40,0.4348000000,474.0728166667,509.6777388095,5625.0000000000,35.6049221429,0.0000000000,0.0000000000,0.0000000000,10572.1273463095,10604.1717762381
2025-02-01,16,02:40-02:50,0.4335000000,461.3844000000,522.9485316667,5625.0000000000,61.5641316667,0.0000000000,0.0000000000,0.0000000000,10604.1717762381,10659.5794947381
2025-02-01,17,02:50-03:00,0.4357000000,476.9416666667,544.7173333333,5625.0000000000,67.7756666667,0.0000000000,0.0000000000,0.0000000000,10659.5794947381,10720.5775947381
2025-02-01,18,03:00-03:10,0.4374000000,483.3995500000,535.4467722222,5625.0000000000,52.0472222222,0.0000000000,0.0000000000,0.0000000000,10720.5775947381,10767.4200947381
2025-02-01,19,03:10-03:20,0.4371000000,486.6019166667,530.0766200000,5625.0000000000,36.1998947354,0.0000000000,0.0000000000,7.2748085979,10767.4200947381,10800.0000000000
2025-02-01,20,03:20-03:30,0.4356000000,498.8483333333,525.8186666667,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,26.9703333333,10800.0000000000,10800.0000000000
2025-02-01,21,03:30-03:40,0.4353000000,518.3097333333,517.3659101852,5625.0000000000,0.0000000000,0.9438231481,0.0000000000,0.0000000000,10800.0000000000,10798.9513076132
2025-02-01,22,03:40-03:50,0.4360000000,509.1334666667,535.6541509259,5625.0000000000,1.1652137631,0.0000000000,0.0000000000,25.3554704961,10798.9513076132,10800.0000000000
2025-02-01,23,03:50-04:00,0.4378000000,483.6166666667,563.9840000000,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,80.3673333333,10800.0000000000,10800.0000000000
2025-02-01,24,04:00-04:10,0.4401000000,491.1868000000,546.9455483333,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,55.7587483333,10800.0000000000,10800.0000000000
2025-02-01,25,04:10-04:20,0.4389000000,504.6452833333,538.2408075926,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,33.5955242593,10800.0000000000,10800.0000000000
2025-02-01,26,04:20-04:30,0.4364000000,505.5783333333,560.8483333333,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,55.2700000000,10800.0000000000,10800.0000000000
2025-02-01,27,04:30-04:40,0.4393000000,503.2309666667,566.6745616667,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,63.4435950000,10800.0000000000,10800.0000000000
2025-02-01,28,04:40-04:50,0.4422000000,502.8467500000,572.0652641534,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,69.2185141534,10800.0000000000,10800.0000000000
2025-02-01,29,04:50-05:00,0.4395000000,499.6416666667,560.7521666667,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,61.1105000000,10800.0000000000,10800.0000000000
2025-02-01,30,05:00-05:10,0.4333000000,488.7835833333,563.7352930952,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,74.9517097619,10800.0000000000,10800.0000000000
2025-02-01,31,05:10-05:20,0.4439000000,498.5154333333,581.3047140476,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,82.7892807143,10800.0000000000,10800.0000000000
2025-02-01,32,05:20-05:30,0.4301000000,529.2233333333,592.0165000000,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,62.7931666667,10800.0000000000,10800.0000000000
2025-02-01,33,05:30-05:40,0.3713000000,547.4103166667,1421.5937414815,6000.0000000000,0.0000000000,0.0000000000,0.0000000000,874.1834248148,10800.0000000000,10800.0000000000
2025-02-01,34,05:40-05:50,0.5708000000,531.1811666667,577.4161973810,6000.0000000000,0.0000000000,0.0000000000,0.0000000000,46.2350307143,10800.0000000000,10800.0000000000
2025-02-01,35,05:50-06:00,0.9099000000,510.9833333333,0.0000000000,5687.7786111111,0.0000000000,510.9833333333,0.0000000000,0.0000000000,10800.0000000000,10232.2407407407
2025-02-01,36,06:00-06:10,0.9368000000,535.1871833333,0.0000000000,5366.2245707672,0.0000000000,535.1871833333,0.0000000000,0.0000000000,10232.2407407407,9637.5883148148
2025-02-01,37,06:10-06:20,0.8758000000,533.3553333333,0.0000000000,5045.3808994709,0.0000000000,533.3553333333,0.0000000000,0.0000000000,9637.5883148148,9044.9712777778
2025-02-01,38,06:20-06:30,0.8759000000,504.5200000000,0.0000000000,4728.2450661376,0.0000000000,504.5200000000,0.0000000000,0.0000000000,9044.9712777778,8484.3935000000
2025-02-01,39,06:30-06:40,0.8601000000,519.5536833333,0.0000000000,4408.5613642857,0.0000000000,519.5536833333,0.0000000000,0.0000000000,8484.3935000000,7907.1116296296
2025-02-01,40,06:40-06:50,0.8442000000,551.4800833333,0.0000000000,4068.3212789683,0.0000000000,551.4800833333,0.0000000000,0.0000000000,7907.1116296296,7294.3559814815
2025-02-01,41,06:50-07:00,0.8334000000,552.0416666667,0.0000000000,3726.7063781746,0.0000000000,552.0416666667,0.0000000000,0.0000000000,7294.3559814815,6680.9763518519
