stage,fit_start,fit_end,score,alpha,rho,window,smooth,features,k,blend,near_reference_score,near_delta_daily_mean,near_ci_low90,near_ci_high90,near_indistinguishable,month
coarse,2025-04-06,2025-05-31,1796197.1267335406,0.7500000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,61.2664433348,-80.6636790896,200.2809106053,True,6
coarse,2025-04-06,2025-05-31,1804612.3813210861,0.8000000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,211.5388466839,-133.1720347616,571.4764865628,True,6
coarse,2025-04-06,2025-05-31,1804274.2686292666,0.8000000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,205.5011200442,-125.0863534840,517.4901672513,True,6
coarse,2025-04-06,2025-05-31,1797114.1587102744,0.8000000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,77.6420143479,-167.8181151791,314.7056935850,True,6
coarse,2025-04-06,2025-05-31,1798763.1855483099,0.8000000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,107.0889221700,-66.2693305553,268.4114396138,True,6
coarse,2025-04-06,2025-05-31,1797762.9694559546,0.8000000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,89.2279205208,-46.7836552449,220.0296840590,True,6
coarse,2025-04-06,2025-05-31,1813425.4778449405,0.8500000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,368.9155703241,-149.2951605894,905.6669227900,True,6
coarse,2025-04-06,2025-05-31,1812604.5271962732,0.8500000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,354.2557373122,-202.4171281370,901.4641201526,True,6
coarse,2025-04-06,2025-05-31,1807775.2312038806,0.8500000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,268.0183088766,-242.8997803328,757.1475106575,True,6
coarse,2025-04-06,2025-05-31,1808101.6818931827,0.8500000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,273.8477854713,-137.1027548816,666.5415077941,True,6
coarse,2025-04-06,2025-05-31,1803379.1796734263,0.8500000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,189.5173886899,-213.0474149619,567.6520445011,True,6
coarse,2025-04-06,2025-05-31,1831212.7830256806,0.9000000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,686.5460199802,-50.4821057961,1440.1046510402,True,6
coarse,2025-04-06,2025-05-31,1834629.6064536290,0.9000000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,747.5607240507,-58.7067666473,1547.2949942308,True,6
coarse,2025-04-06,2025-05-31,1835535.1412422501,0.9000000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,763.7309881332,-45.5021290809,1491.3104191521,True,6
coarse,2025-04-06,2025-05-31,1832137.6376799149,0.9000000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,703.0612816630,28.0976261249,1346.8281295597,False,6
coarse,2025-04-06,2025-05-31,1825772.0761075432,0.9000000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,589.3905392992,-89.1863916479,1213.0518717643,True,6
coarse,2025-04-06,2025-05-31,1865775.1614860094,0.9500000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,1303.7313496289,283.2365748641,2290.0564775125,False,6
coarse,2025-04-06,2025-05-31,1870091.3093093946,0.9500000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,1380.8054179037,201.5120183029,2457.9386488997,False,6
coarse,2025-04-06,2025-05-31,1877520.5363023463,0.9500000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,1513.4701856349,267.8445881113,2596.8000559197,False,6
coarse,2025-04-06,2025-05-31,1878693.0513296558,0.9500000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,1534.4079539797,422.2962271004,2506.9488338436,False,6
coarse,2025-04-06,2025-05-31,1870848.2140512527,0.9500000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,1394.3215740083,272.5027740089,2366.5158835313,False,6
local,2025-04-06,2025-05-31,1803300.9034704699,0.7600000000,0.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,26.9156163073,-87.3794224998,147.9267620183,True,6
local,2025-04-06,2025-05-31,1804108.4708032701,0.7600000000,0.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,41.3364615359,-77.9446401754,167.9397010053,True,6
local,2025-04-06,2025-05-31,1804584.1999258080,0.7600000000,0.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,49.8316244384,-72.4370741150,178.4906969104,True,6
local,2025-04-06,2025-05-31,1803510.0997910709,0.7600000000,0.2500000000,14,0,none,21,0.0000000000,1801793.6289572590,30.6512648895,-84.5528122654,152.1162140750,True,6
local,2025-04-06,2025-05-31,1804318.0807481250,0.7600000000,0.2500000000,14,3,none,21,0.0000000000,1801793.6289572590,45.0794962655,-73.6365235969,171.1459175897,True,6
local,2025-04-06,2025-05-31,1804789.9747996689,0.7600000000,0.2500000000,14,5,none,21,0.0000000000,1801793.6289572590,53.5061757573,-68.3871238817,183.1291266545,True,6
local,2025-04-06,2025-05-31,1802502.5478305474,0.7600000000,0.5000000000,14,0,none,21,0.0000000000,1801793.6289572590,12.6592655944,-113.9310065050,153.0185814091,True,6
local,2025-04-06,2025-05-31,1803288.4987247414,0.7600000000,0.5000000000,14,3,none,21,0.0000000000,1801793.6289572590,26.6941029908,-104.0471851754,170.0162112459,True,6
local,2025-04-06,2025-05-31,1803707.6012760571,0.7600000000,0.5000000000,14,5,none,21,0.0000000000,1801793.6289572590,34.1780771214,-99.2589601289,177.9185751070,True,6
local,2025-04-06,2025-05-31,1804102.9810621785,0.7600000000,0.7500000000,14,0,none,21,0.0000000000,1801793.6289572590,41.2384304450,-124.1645209109,244.9629854294,True,6
local,2025-04-06,2025-05-31,1804831.6973589826,0.7600000000,0.7500000000,14,3,none,21,0.0000000000,1801793.6289572590,54.2512214594,-115.3634260981,262.0241804332,True,6
local,2025-04-06,2025-05-31,1805232.8066712995,0.7600000000,0.7500000000,14,5,none,21,0.0000000000,1801793.6289572590,61.4138877507,-111.0122348285,270.1616189696,True,6
local,2025-04-06,2025-05-31,1845105.0809323795,0.7600000000,1.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,773.4187852700,510.3418423666,1033.1667520724,False,6
local,2025-04-06,2025-05-31,1846001.5277912985,0.7600000000,1.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,789.4267648936,530.5123487778,1049.7840383957,False,6
local,2025-04-06,2025-05-31,1847217.1586027551,0.7600000000,1.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,811.1344579553,553.0192466421,1072.5618174205,False,6
local,2025-04-06,2025-05-31,1802057.2787107376,0.7700000000,0.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,4.7080313121,-53.4385804459,67.4151158140,True,6
local,2025-04-06,2025-05-31,1802823.8098386065,0.7700000000,0.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,18.3960871669,-44.6510917933,86.5254638175,True,6
local,2025-04-06,2025-05-31,1803282.0463547271,0.7700000000,0.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,26.5788820976,-39.3833420738,97.6275874843,True,6
local,2025-04-06,2025-05-31,1802252.4139481785,0.7700000000,0.2500000000,14,0,none,21,0.0000000000,1801793.6289572590,8.1925891236,-52.3867381630,72.1935114150,True,6
local,2025-04-06,2025-05-31,1803018.6038053911,0.7700000000,0.2500000000,14,3,none,21,0.0000000000,1801793.6289572590,21.8745508595,-42.3391032296,90.1897726091,True,6
local,2025-04-06,2025-05-31,1803469.8734735618,0.7700000000,0.2500000000,14,5,none,21,0.0000000000,1801793.6289572590,29.9329377911,-36.5370332317,101.6151420871,True,6
local,2025-04-06,2025-05-31,1802002.8477273490,0.7700000000,0.5000000000,14,0,none,21,0.0000000000,1801793.6289572590,3.7360494659,-95.8641454272,117.0446350509,True,6
local,2025-04-06,2025-05-31,1802766.3078299027,0.7700000000,0.5000000000,14,3,none,21,0.0000000000,1801793.6289572590,17.3692655829,-86.5976070179,134.3507969169,True,6
local,2025-04-06,2025-05-31,1803176.4125790210,0.7700000000,0.5000000000,14,5,none,21,0.0000000000,1801793.6289572590,24.6925646743,-81.8659337716,142.7454547977,True,6
local,2025-04-06,2025-05-31,1803383.9105908289,0.7700000000,0.7500000000,14,0,none,21,0.0000000000,1801793.6289572590,28.3978863138,-117.8894278922,216.8273177052,True,6
local,2025-04-06,2025-05-31,1804101.5776238847,0.7700000000,0.7500000000,14,3,none,21,0.0000000000,1801793.6289572590,41.2133690469,-108.6228957749,232.2407297253,True,6
local,2025-04-06,2025-05-31,1804492.9579099743,0.7700000000,0.7500000000,14,5,none,21,0.0000000000,1801793.6289572590,48.2023027271,-101.1592055438,240.1739948858,True,6
local,2025-04-06,2025-05-31,1843116.4811030838,0.7700000000,1.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,737.9080740326,470.1470084287,992.2567736149,False,6
local,2025-04-06,2025-05-31,1844120.0186167087,0.7700000000,1.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,755.8283867759,490.9346800234,1009.9918317527,False,6
local,2025-04-06,2025-05-31,1845283.9443364430,0.7700000000,1.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,776.6127746283,511.7433087484,1033.1588237171,False,6
local,2025-04-06,2025-05-31,1801793.6289572590,0.7800000000,0.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,0.0000000000,0.0000000000,0.0000000000,True,6
local,2025-04-06,2025-05-31,1802493.2816447862,0.7800000000,0.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,12.4937979916,6.5407431470,19.7942983138,False,6
local,2025-04-06,2025-05-31,1802936.9793465887,0.7800000000,0.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,20.4169712380,10.2190829854,32.4202681105,False,6
local,2025-04-06,2025-05-31,1802304.6053393227,0.7800000000,0.2500000000,14,0,none,21,0.0000000000,1801793.6289572590,9.1245782511,-2.1987082338,22.0701086205,True,6
local,2025-04-06,2025-05-31,1803004.5365555794,0.7800000000,0.2500000000,14,3,none,21,0.0000000000,1801793.6289572590,21.6233499700,8.3996756644,36.5763822799,False,6
local,2025-04-06,2025-05-31,1803449.0454787852,0.7800000000,0.2500000000,14,5,none,21,0.0000000000,1801793.6289572590,29.5610093130,14.1475047093,46.5659543493,False,6
local,2025-04-06,2025-05-31,1802254.9874038850,0.7800000000,0.5000000000,14,0,none,21,0.0000000000,1801793.6289572590,8.2385436898,-95.8102416739,120.8445186340,True,6
local,2025-04-06,2025-05-31,1802967.6362018245,0.7800000000,0.5000000000,14,3,none,21,0.0000000000,1801793.6289572590,20.9644150815,-83.7622136423,133.7155088477,True,6
local,2025-04-06,2025-05-31,1803405.0113708528,0.7800000000,0.5000000000,14,5,none,21,0.0000000000,1801793.6289572590,28.7746859570,-75.6932899503,140.8656489494,True,6
local,2025-04-06,2025-05-31,1803420.4100961427,0.7800000000,0.7500000000,14,0,none,21,0.0000000000,1801793.6289572590,29.0496631944,-129.5184383988,221.2252886145,True,6
local,2025-04-06,2025-05-31,1804117.9185806138,0.7800000000,0.7500000000,14,3,none,21,0.0000000000,1801793.6289572590,41.5051718456,-114.8242318074,233.1703925269,True,6
local,2025-04-06,2025-05-31,1804539.1961365505,0.7800000000,0.7500000000,14,5,none,21,0.0000000000,1801793.6289572590,49.0279853445,-105.9005269031,241.1951158462,True,6
local,2025-04-06,2025-05-31,1841486.1704881063,0.7800000000,1.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,708.7953844794,424.2918187289,973.9027775590,False,6
local,2025-04-06,2025-05-31,1842552.1937580779,0.7800000000,1.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,727.8315143003,453.3479179961,988.9629873255,False,6
local,2025-04-06,2025-05-31,1843751.6835327377,0.7800000000,1.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,749.2509745621,475.2362032639,1010.3347980467,False,6
local,2025-04-06,2025-05-31,1802446.2052815920,0.7900000000,0.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,11.6531486488,-50.8328231709,69.8677274981,True,6
local,2025-04-06,2025-05-31,1803091.0960921757,0.7900000000,0.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,23.1690559807,-33.9694972678,77.1909835025,True,6
local,2025-04-06,2025-05-31,1803518.8917190256,0.7900000000,0.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,30.8082636030,-22.8192139831,82.1730732299,True,6
local,2025-04-06,2025-05-31,1802887.2581750236,0.7900000000,0.2500000000,14,0,none,21,0.0000000000,1801793.6289572590,19.5290931744,-44.0174256349,78.1495504807,True,6
local,2025-04-06,2025-05-31,1803547.2147985916,0.7900000000,0.2500000000,14,3,none,21,0.0000000000,1801793.6289572590,31.3140328809,-26.3281735918,85.3669096959,True,6
local,2025-04-06,2025-05-31,1803980.4800280456,0.7900000000,0.2500000000,14,5,none,21,0.0000000000,1801793.6289572590,39.0509119783,-15.2017439291,90.5031695133,True,6
local,2025-04-06,2025-05-31,1802872.8305671760,0.7900000000,0.5000000000,14,0,none,21,0.0000000000,1801793.6289572590,19.2714573199,-120.4443931839,150.6446677823,True,6
local,2025-04-06,2025-05-31,1803556.2436433034,0.7900000000,0.5000000000,14,3,none,21,0.0000000000,1801793.6289572590,31.4752622508,-103.5032871332,162.6694725048,True,6
local,2025-04-06,2025-05-31,1803988.4080891260,0.7900000000,0.5000000000,14,5,none,21,0.0000000000,1801793.6289572590,39.1924844976,-93.4570527827,168.2236549769,True,6
local,2025-04-06,2025-05-31,1804159.4845130385,0.7900000000,0.7500000000,14,0,none,21,0.0000000000,1801793.6289572590,42.2474206389,-149.7501550713,246.1957414009,True,6
local,2025-04-06,2025-05-31,1804815.2632737914,0.7900000000,0.7500000000,14,3,none,21,0.0000000000,1801793.6289572590,53.9577556524,-139.1339393005,257.3722275632,True,6
local,2025-04-06,2025-05-31,1805220.4290650282,0.7900000000,0.7500000000,14,5,none,21,0.0000000000,1801793.6289572590,61.1928590673,-131.0524248409,264.7171604221,True,6
local,2025-04-06,2025-05-31,1840189.6852460436,0.7900000000,1.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,685.6438622997,383.3586601093,960.4175852959,False,6
local,2025-04-06,2025-05-31,1841486.8969137950,0.7900000000,1.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,708.8083563667,409.6880005519,979.8586412151,False,6
local,2025-04-06,2025-05-31,1842653.3451419414,0.7900000000,1.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,729.6377890122,434.1652178016,1001.7837642760,False,6
local,2025-04-06,2025-05-31,1803928.0993693387,0.8000000000,0.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,38.1155430728,-80.5581188225,150.5464260232,True,6
local,2025-04-06,2025-05-31,1804477.6032711598,0.8000000000,0.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,47.9281127482,-65.2667150908,155.8680230067,True,6
local,2025-04-06,2025-05-31,1804782.9502668581,0.8000000000,0.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,53.3807376714,-56.3998347821,158.7345479937,True,6
local,2025-04-06,2025-05-31,1804135.9289105292,0.8000000000,0.2500000000,14,0,none,21,0.0000000000,1801793.6289572590,41.8267848798,-76.4756320018,155.5358090591,True,6
local,2025-04-06,2025-05-31,1804698.0657695723,0.8000000000,0.2500000000,14,3,none,21,0.0000000000,1801793.6289572590,51.8649430770,-61.2360853352,160.4964769894,True,6
local,2025-04-06,2025-05-31,1805001.9766074321,0.8000000000,0.2500000000,14,5,none,21,0.0000000000,1801793.6289572590,57.2919223245,-53.0385200541,161.8251841572,True,6
local,2025-04-06,2025-05-31,1804013.8105350921,0.8000000000,0.5000000000,14,0,none,21,0.0000000000,1801793.6289572590,39.6460996042,-137.8518408287,203.4499354810,True,6
local,2025-04-06,2025-05-31,1804612.3813210861,0.8000000000,0.5000000000,14,3,none,21,0.0000000000,1801793.6289572590,50.3348636398,-123.2189037840,210.9285589174,True,6
local,2025-04-06,2025-05-31,1804925.7929632911,0.8000000000,0.5000000000,14,5,none,21,0.0000000000,1801793.6289572590,55.9315001077,-115.6564035212,213.7674338972,True,6
local,2025-04-06,2025-05-31,1805624.5563173946,0.8000000000,0.7500000000,14,0,none,21,0.0000000000,1801793.6289572590,68.4094171453,-152.0799738697,291.4202763670,True,6
local,2025-04-06,2025-05-31,1806184.2850824941,0.8000000000,0.7500000000,14,3,none,21,0.0000000000,1801793.6289572590,78.4045736649,-139.7815745305,299.7656474881,True,6
local,2025-04-06,2025-05-31,1806463.8467668663,0.8000000000,0.7500000000,14,5,none,21,0.0000000000,1801793.6289572590,83.3967466001,-134.0442104819,303.9039754537,True,6
local,2025-04-06,2025-05-31,1839288.9179950024,0.8000000000,1.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,669.5587328168,342.7709971237,959.0327042973,False,6
local,2025-04-06,2025-05-31,1840444.0235854955,0.8000000000,1.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,690.1856183614,370.7300902661,977.8108862971,False,6
local,2025-04-06,2025-05-31,1841498.5485198603,0.8000000000,1.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,709.0164207607,391.4000240396,995.3110580554,False,6
local,2025-04-06,2025-05-31,1805432.2569838301,0.8100000000,0.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,64.9755004745,-112.1707476656,232.2550349002,True,6
local,2025-04-06,2025-05-31,1805717.9862343473,0.8100000000,0.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,70.0778085194,-102.6856435326,233.4998747767,True,6
local,2025-04-06,2025-05-31,1805894.8446306027,0.8100000000,0.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,73.2359941669,-96.8793588048,235.6716042395,True,6
local,2025-04-06,2025-05-31,1805630.0345278406,0.8100000000,0.2500000000,14,0,none,21,0.0000000000,1801793.6289572590,68.5072423318,-106.9215007527,234.6588223095,True,6
local,2025-04-06,2025-05-31,1805920.9790413659,0.8100000000,0.2500000000,14,3,none,21,0.0000000000,1801793.6289572590,73.7026800733,-98.1354948994,236.8957880558,True,6
local,2025-04-06,2025-05-31,1806094.6677269659,0.8100000000,0.2500000000,14,5,none,21,0.0000000000,1801793.6289572590,76.8042637448,-92.6913771664,237.5638344296,True,6
local,2025-04-06,2025-05-31,1805108.1697689018,0.8100000000,0.5000000000,14,0,none,21,0.0000000000,1801793.6289572590,59.1882287793,-159.5274310055,268.2645973969,True,6
local,2025-04-06,2025-05-31,1805435.6967325984,0.8100000000,0.5000000000,14,3,none,21,0.0000000000,1801793.6289572590,65.0369245596,-149.9919676070,272.8647054982,True,6
local,2025-04-06,2025-05-31,1805622.3977166878,0.8100000000,0.5000000000,14,5,none,21,0.0000000000,1801793.6289572590,68.3708707041,-145.4565321798,273.7659063580,True,6
local,2025-04-06,2025-05-31,1807018.2735577594,0.8100000000,0.7500000000,14,0,none,21,0.0000000000,1801793.6289572590,93.2972250089,-167.9778060155,344.1701797769,True,6
local,2025-04-06,2025-05-31,1807330.8625073773,0.8100000000,0.7500000000,14,3,none,21,0.0000000000,1801793.6289572590,98.8791705378,-159.6745728007,347.7348057811,True,6
local,2025-04-06,2025-05-31,1807499.6902786663,0.8100000000,0.7500000000,14,5,none,21,0.0000000000,1801793.6289572590,101.8939521680,-153.2919310485,349.2377480344,True,6
local,2025-04-06,2025-05-31,1839471.1387394264,0.8100000000,1.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,672.8126746816,325.1451902087,983.5451788575,False,6
local,2025-04-06,2025-05-31,1840374.4820625598,0.8100000000,1.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,688.9438054518,339.2365125038,996.0195960956,False,6
local,2025-04-06,2025-05-31,1841343.8060625093,0.8100000000,1.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,706.2531625938,358.2981044974,1010.5310787972,False,6
local,2025-04-06,2025-05-31,1807525.9568267593,0.8200000000,0.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,102.3629976696,-121.8951440145,313.4145977963,True,6
local,2025-04-06,2025-05-31,1807739.7511436020,0.8200000000,0.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,106.1807533276,-116.0905075536,314.7170906445,True,6
local,2025-04-06,2025-05-31,1807865.7906765714,0.8200000000,0.0000000000,14,5,none,21,0.0000000000,1801793.6289572590,108.4314592734,-110.2940512363,314.8878629088,True,6
local,2025-04-06,2025-05-31,1807710.3493747008,0.8200000000,0.2500000000,14,0,none,21,0.0000000000,1801793.6289572590,105.6557217400,-118.3197575743,316.5794209228,True,6
local,2025-04-06,2025-05-31,1807932.6565302867,0.8200000000,0.2500000000,14,3,none,21,0.0000000000,1801793.6289572590,109.6254923755,-109.5484923372,316.2897870918,True,6
local,2025-04-06,2025-05-31,1808056.8886084901,0.8200000000,0.2500000000,14,5,none,21,0.0000000000,1801793.6289572590,111.8439223434,-108.2230397864,315.3799360049,True,6
local,2025-04-06,2025-05-31,1806783.4893528251,0.8200000000,0.5000000000,14,0,none,21,0.0000000000,1801793.6289572590,89.1046499208,-167.7299096997,335.3735589913,True,6
local,2025-04-06,2025-05-31,1807031.7657672949,0.8200000000,0.5000000000,14,3,none,21,0.0000000000,1801793.6289572590,93.5381573221,-160.6264597130,336.0366548952,True,6
local,2025-04-06,2025-05-31,1807166.6121305390,0.8200000000,0.5000000000,14,5,none,21,0.0000000000,1801793.6289572590,95.9461280943,-154.9625953105,336.7992092891,True,6
local,2025-04-06,2025-05-31,1808762.3387970715,0.8200000000,0.7500000000,14,0,none,21,0.0000000000,1801793.6289572590,124.4412471395,-166.3566671097,406.1068671780,True,6
local,2025-04-06,2025-05-31,1809008.0529662929,0.8200000000,0.7500000000,14,3,none,21,0.0000000000,1801793.6289572590,128.8290001613,-159.2210035182,408.1346598938,True,6
local,2025-04-06,2025-05-31,1809131.7865847538,0.8200000000,0.7500000000,14,5,none,21,0.0000000000,1801793.6289572590,131.0385290624,-157.4017249294,409.5433868069,True,6
local,2025-04-06,2025-05-31,1839712.3924318892,0.8200000000,1.0000000000,14,0,none,21,0.0000000000,1801793.6289572590,677.1207763327,306.3437595994,1008.2214869876,False,6
local,2025-04-06,2025-05-31,1840675.8698050240,0.8200000000,1.0000000000,14,3,none,21,0.0000000000,1801793.6289572590,694.3257294244,326.8684159766,1026.7731318347,False,6
