seconds,cash_cost,adjusted_cost,purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,final_soc,equivalent_cycles,soc_min,soc_max,balance_error,cash_lower_bound,cash_optimal_final_soc,problem,initial_soc,vE_ref,intervals,days
5.943714,12781203.216965,12782823.857548,20233544.782134,0.000000,986816.340427,6900391.650913,5592852.704174,1278.187630,233.035529,1200.000000,10800.000000,0.000000,12781171.368537,1200.000000,Q4-2,5206.484223,0.412556,48096,334
4.211819,12781176.259925,12782827.406905,20233462.621086,0.000000,986816.340427,6900309.489866,5592852.704174,1278.187630,233.035529,1200.000000,10800.000000,0.000000,12781144.411497,1200.000000,Q4-3,5280.429166,0.412556,48096,334
