block_len,cvar95_reference,cvar95_variant,diff,diff_percent,ci_lo,ci_hi,p_worse,mean_diff,mean_ci_lo,mean_ci_hi,resamples,sample_size,bootstrap_sample_size,seed,statistic,method,problem,reference,variant
7,100225.6310506766,94181.4112210299,-6044.2198296467,-6.0306128944,-9161.7490995928,-2120.9655117656,0.0000000000,-1372.2847904551,-1814.0467290963,-1019.0577848663,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-2,B0 分位法 α=0.60,M2 分位法 α 重标定
14,100225.6310506766,94181.4112210299,-6044.2198296467,-6.0306128944,-9539.8202400596,-2257.6418962323,0.0000000000,-1372.2847904551,-1898.3687399977,-1028.0052737890,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-2,B0 分位法 α=0.60,M2 分位法 α 重标定
28,100225.6310506766,94181.4112210299,-6044.2198296467,-6.0306128944,-9765.5311772515,-3069.8946773604,0.0000000000,-1372.2847904551,-1903.7400696028,-1075.1260449181,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-2,B0 分位法 α=0.60,M2 分位法 α 重标定
7,94181.4112210299,95518.8784764970,1337.4672554671,1.4200968515,-956.4138740361,5099.7313956876,0.8757500000,68.5018602874,-260.0065284825,374.6384988061,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-2,M2 主策略,H2 HYBRID
14,94181.4112210299,95518.8784764970,1337.4672554671,1.4200968515,-378.0411075184,5164.0897936826,0.9382500000,68.5018602874,-301.2512382769,411.0459775126,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-2,M2 主策略,H2 HYBRID
28,94181.4112210299,95518.8784764970,1337.4672554671,1.4200968515,-224.0511426777,5113.1961924132,0.9520000000,68.5018602874,-345.1649382892,392.2800886358,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-2,M2 主策略,H2 HYBRID
7,75385.2866384551,74840.0121132934,-545.2745251617,-0.7233169090,-1302.1283009554,519.2306486668,0.1222500000,-350.0742625299,-524.0081074164,-148.0559025607,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-3,B0 分位法 α=0.60,H3 HYBRID 主策略
14,75385.2866384551,74840.0121132934,-545.2745251617,-0.7233169090,-1446.0418557522,836.5894305731,0.1755000000,-350.0742625299,-538.5784232749,-121.6174377851,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-3,B0 分位法 α=0.60,H3 HYBRID 主策略
28,75385.2866384551,74840.0121132934,-545.2745251617,-0.7233169090,-1518.7871408958,1313.5918975225,0.2332500000,-350.0742625299,-535.7945014488,-132.0510024868,4000,334,334,20260941,exact equal-probability empirical CVaR95,paired moving blocks; all valid starts; ceil and truncate to n,Q4-3,B0 分位法 α=0.60,H3 HYBRID 主策略
