month,baseline,main,saving,saving_percent
2,1332117.171497,1314643.882976,17473.288521,1.311693
3,1209968.387971,1184249.806099,25718.581872,2.125558
4,1000866.939808,956069.054554,44797.885254,4.475908
5,1062811.607500,1014993.172374,47818.435126,4.499239
6,1513315.491931,1455472.447089,57843.044841,3.822273
7,2043386.323104,1970572.041023,72814.282082,3.563412
8,1469180.504859,1446297.939602,22882.565258,1.557505
9,1260753.895238,1219732.653635,41021.241603,3.253707
10,1251693.315532,1198391.984344,53301.331188,4.258338
11,1391940.589448,1353018.028771,38922.560678,2.796280
12,2049863.618336,2014098.694975,35764.923361,1.744746
