date,issue,estimated_gain,accepted,up_kwh,down_kwh
2025-03-06,18,1093.757543,True,721.277189,0.000000
2025-03-07,6,404.405299,True,0.000000,890.005213
2025-03-07,12,1805.824564,True,0.000000,1175.193778
2025-03-07,18,-7948.616363,False,401.784827,0.000000
2025-03-08,6,1238.653107,True,0.000000,94.903363
2025-03-08,12,5442.359828,True,0.000000,69.101877
2025-03-08,18,7065.778896,True,0.000000,7.588441
2025-03-09,6,3296.326531,True,0.000000,8430.217687
2025-03-09,12,14533.268729,True,0.000000,2473.016646
2025-03-09,18,8076.604017,True,0.000000,56.585932
2025-03-10,6,5480.567793,True,1301.421501,0.000000
2025-03-10,12,8849.598640,True,1177.755862,0.000000
2025-03-10,18,9777.426912,True,571.613404,0.000000
2025-03-11,6,33939.520981,True,7651.285451,0.000000
2025-03-11,12,5502.647428,True,1291.114537,0.000000
2025-03-11,18,8529.334847,True,668.425720,0.000000
2025-03-12,6,2899.845671,True,0.000000,7095.249480
2025-03-12,12,11360.481195,True,0.000000,2767.015702
2025-03-12,18,8582.940057,True,289.649258,0.000000
2025-03-13,6,1177.634206,True,169.626139,272.758631
2025-03-13,12,1022.903300,True,237.037568,441.529800
2025-03-13,18,-3822.163495,False,514.252971,0.000000
2025-03-14,6,1296.162195,True,280.766854,0.000000
2025-03-14,12,-3072.969718,False,216.386223,0.000000
2025-03-14,18,-2578.833548,False,468.667509,0.000000
2025-03-15,6,2983.610634,True,440.817642,0.000000
2025-03-15,12,3737.187323,True,277.517073,0.000000
2025-03-15,18,6410.374710,True,152.544786,0.000000
2025-03-16,6,6867.472718,True,1459.138264,0.423817
2025-03-16,12,3476.646780,True,0.000000,1292.996411
2025-03-16,18,7264.163143,True,269.044708,0.000000
2025-03-17,6,1772.437899,True,0.000000,4637.199676
2025-03-17,12,18755.877810,True,2908.279658,243.225827
2025-03-17,18,6941.319475,True,239.987402,0.000000
2025-03-18,6,2128.093648,True,0.000000,4335.871063
2025-03-18,12,4445.724422,True,0.000000,2860.194280
2025-03-18,18,6139.184473,True,194.699454,0.000000
2025-03-19,6,19273.804266,True,4150.559881,0.000000
2025-03-19,12,12117.456003,True,3726.196721,0.000000
2025-03-19,18,6000.292565,True,169.880307,0.000000
2025-03-20,6,2464.828299,True,425.083684,4843.432233
2025-03-20,12,13567.841652,True,0.000000,655.853575
2025-03-20,18,-7807.441658,False,185.881325,28.210560
2025-03-21,6,844.943775,True,311.236143,319.898892
2025-03-21,12,-4299.273737,False,47.041419,99.408100
2025-03-21,18,-8325.582461,False,0.000000,0.000000
2025-03-22,6,1186.695671,True,108.066327,111.648802
2025-03-22,12,4464.225992,True,0.000000,177.059835
2025-03-22,18,7822.732283,True,0.000000,0.000000
2025-03-23,6,600.505492,True,0.000000,395.222414
2025-03-23,12,5768.070519,True,0.000000,4874.977104
2025-03-23,18,8920.389672,True,529.738392,0.000000
2025-03-24,6,3238.668893,True,498.721356,708.130689
2025-03-24,12,6444.459411,True,817.508427,1303.861956
2025-03-24,18,7628.321755,True,333.547987,66.842753
2025-03-25,6,3137.640560,True,0.000000,8213.840610
2025-03-25,12,5241.081370,True,0.000000,3320.424707
2025-03-25,18,6611.373545,True,632.191469,103.167346
2025-03-26,6,3415.815248,True,898.171253,0.000000
2025-03-26,12,2658.978329,True,0.000000,2229.363437
2025-03-26,18,5869.719683,True,133.159877,0.000000
2025-03-27,6,3651.133883,True,549.304735,1784.799141
2025-03-27,12,-1855.489246,False,5.706429,751.057837
2025-03-27,18,-5150.151261,False,0.000000,44.507941
2025-03-28,6,185.814947,False,0.000000,0.000000
2025-03-28,12,-3422.766792,False,0.000000,46.903052
2025-03-28,18,-5718.124874,False,100.342407,0.000000
2025-03-29,6,1880.775425,True,345.559744,0.000000
2025-03-29,12,-1854.588772,False,573.685732,0.000000
2025-03-29,18,5255.094235,True,306.370182,0.000000
2025-03-30,6,1699.238651,True,291.587149,3770.518459
2025-03-30,12,5556.644902,True,113.972495,1622.260235
2025-03-30,18,6595.926529,True,0.000000,19.545880
2025-03-31,6,40869.156610,True,8839.780923,0.000000
2025-03-31,12,3843.324290,True,1641.477552,0.000000
2025-03-31,18,6489.665936,True,478.163132,0.000000
2025-04-01,6,2227.221677,True,329.498085,573.743104
2025-04-01,12,3283.913124,True,124.398341,2654.125373
2025-04-01,18,9295.956650,True,301.050964,0.000000
2025-04-02,6,11920.702497,True,2602.880922,0.000000
2025-04-02,12,3010.679510,True,147.444028,1072.781517
2025-04-02,18,4887.933750,True,181.137774,0.254297
2025-04-03,6,1067.868538,True,0.000000,2657.483218
2025-04-03,12,-2793.737019,False,0.000000,3552.855971
2025-04-03,18,-10320.857618,False,292.668384,0.000000
2025-04-04,6,222.242119,False,0.000000,130.226263
2025-04-04,12,-16.515488,False,247.742616,0.000000
2025-04-04,18,-2391.481299,False,260.719222,0.000000
2025-04-05,6,1333.603738,True,626.551821,0.000000
2025-04-05,12,4375.024435,True,65.354465,0.000000
2025-04-05,18,7953.987154,True,1182.626339,0.000000
2025-04-06,6,1510.530488,True,84.151208,2879.083770
2025-04-06,12,4217.842251,True,600.652870,334.006556
2025-04-06,18,3871.614518,True,0.000000,102.772566
2025-04-07,6,13774.282234,True,2778.566700,0.000000
2025-04-07,12,6461.477494,True,2346.198770,0.000000
2025-04-07,18,4117.046532,True,0.000000,0.538891
2025-04-08,6,1531.925845,True,37.722306,2634.426940
2025-04-08,12,3882.790383,True,0.000000,3359.859228
2025-04-08,18,7385.996725,True,447.098768,0.000000
2025-04-09,6,8741.382131,True,1794.404471,0.000000
2025-04-09,12,8696.082522,True,915.162728,0.000000
2025-04-09,18,7064.205902,True,389.806597,0.000000
2025-04-10,6,9378.576317,True,2061.062483,0.000000
2025-04-10,12,-288.903841,False,0.000000,2697.256900
2025-04-10,18,-12112.790695,False,0.000000,5.697166
2025-04-11,6,3253.159651,True,1255.866679,0.000000
2025-04-11,12,-5965.968279,False,0.000000,0.000000
2025-04-11,18,-4973.288355,False,430.417026,0.000000
2025-04-12,6,533.469199,True,0.000000,440.213663
2025-04-12,12,-2333.438881,False,4.419101,354.713267
2025-04-12,18,4444.550073,True,0.000000,0.000000
2025-04-13,6,366.402621,True,0.000000,0.000000
2025-04-13,12,7450.285138,True,1062.353521,0.000000
2025-04-13,18,8421.370607,True,748.144722,0.000000
2025-04-14,6,1523.849414,True,0.000000,3281.264292
2025-04-14,12,1230.286673,True,0.000000,3845.760258
2025-04-14,18,10181.853708,True,1667.997341,0.000000
2025-04-15,6,11542.109267,True,2211.454124,0.000000
2025-04-15,12,4094.050587,True,1091.697416,0.000000
2025-04-15,18,6974.136000,True,502.684796,0.000000
2025-04-16,6,12956.039800,True,2587.510229,0.000000
2025-04-16,12,1938.748590,True,586.889888,319.875682
2025-04-16,18,7455.260756,True,345.137181,157.819362
2025-04-17,6,16029.176950,True,3490.297747,0.000000
2025-04-17,12,-3804.839282,False,0.000000,280.234384
2025-04-17,18,-12320.693415,False,0.000000,0.000000
2025-04-18,6,706.011857,True,302.699711,0.000000
2025-04-18,12,-4150.730105,False,0.000000,0.000000
2025-04-18,18,-5283.232851,False,0.000000,0.000000
2025-04-19,6,402.907166,True,0.000000,0.000000
2025-04-19,12,124.091182,False,574.204009,0.000000
2025-04-19,18,3017.199708,True,107.001157,0.000000
2025-04-20,6,6355.728667,True,1286.226552,0.000000
2025-04-20,12,7872.668762,True,1967.933791,0.000000
2025-04-20,18,2096.120010,True,0.000000,70.453156
2025-04-21,6,1388.460556,True,0.000000,3872.155224
2025-04-21,12,702.783050,True,0.000000,2141.339603
2025-04-21,18,2087.423966,True,0.000000,0.000000
2025-04-22,6,15707.564950,True,3126.653280,0.000000
2025-04-22,12,731.480538,True,1197.538395,0.000000
2025-04-22,18,3333.898931,True,433.727584,0.000000
2025-04-23,6,18316.212850,True,3972.069603,0.000000
2025-04-23,12,3787.959715,True,2297.438727,0.000000
2025-04-23,18,5575.065150,True,311.609123,0.000000
2025-04-24,6,-109.333176,False,0.000000,0.000000
2025-04-24,12,-1903.589150,False,973.517104,0.000000
2025-04-24,18,-8223.618774,False,413.045634,10.559196
2025-04-25,6,117.426047,False,0.000000,0.000000
2025-04-25,12,-7228.734690,False,0.000000,354.193884
2025-04-25,18,-10656.347650,False,453.966449,0.000000
2025-04-26,6,945.857237,True,395.209444,0.000000
2025-04-26,12,2021.340180,True,285.491203,0.000000
2025-04-26,18,2726.529087,True,286.882717,0.000000
2025-04-27,6,5905.739591,True,1275.948172,0.000000
2025-04-27,12,1464.142086,True,292.544646,174.630906
2025-04-27,18,11790.098166,True,1106.624718,0.000000
2025-04-28,6,8179.399510,True,1776.762524,0.000000
2025-04-28,12,2609.466632,True,418.667855,722.148457
2025-04-28,18,3770.851591,True,220.788333,0.000000
2025-04-29,6,936.362923,True,247.126527,548.118791
2025-04-29,12,4776.484662,True,801.198005,656.686038
2025-04-29,18,4935.625887,True,0.000000,319.342017
2025-04-30,6,2223.927429,True,653.251061,21.825583
2025-04-30,12,8098.982958,True,1516.910805,0.000000
2025-04-30,18,1119.228563,True,0.000000,34.043535
2025-05-01,6,4610.796277,True,1328.585063,167.735025
2025-05-01,12,-3734.902243,False,0.000000,183.740137
2025-05-01,18,1805.779426,True,1566.998193,0.000000
2025-05-02,6,198.779674,False,77.046331,0.000000
2025-05-02,12,-7821.992184,False,0.000000,56.802470
2025-05-02,18,-8758.139888,False,1376.435733,0.000000
2025-05-03,6,269.215615,True,0.000000,128.533492
2025-05-03,12,-1824.402497,False,0.000000,0.000000
2025-05-03,18,4944.083793,True,2038.904677,0.000000
2025-05-04,6,1001.369066,True,66.500330,1971.530421
2025-05-04,12,1667.943906,True,0.000000,1225.181252
2025-05-04,18,13070.897807,True,1750.428568,0.000000
2025-05-05,6,401.043719,True,0.000000,68.243273
2025-05-05,12,655.635041,True,0.000000,577.979554
2025-05-05,18,9065.778097,True,2040.027721,0.000000
2025-05-06,6,13369.108882,True,3279.133977,0.000000
2025-05-06,12,8721.908588,True,1392.086742,0.000000
2025-05-06,18,8338.137432,True,1424.977097,0.000000
2025-05-07,6,13440.494955,True,2910.822137,0.000000
2025-05-07,12,3730.108336,True,1138.925201,0.000000
2025-05-07,18,7930.351996,True,1687.071192,0.000000
2025-05-08,6,774.440118,True,118.127352,1257.379861
2025-05-08,12,461.719060,True,129.570840,108.627906
2025-05-08,18,-4368.648637,False,1462.787149,0.000000
2025-05-09,6,1449.857560,True,495.622959,0.000000
2025-05-09,12,-1978.268279,False,365.017446,0.000000
2025-05-09,18,-8351.485410,False,789.745776,0.000000
2025-05-10,6,2596.271324,True,648.758913,0.000000
2025-05-10,12,-2064.886909,False,179.038566,0.000000
2025-05-10,18,6334.299395,True,305.507393,0.000000
2025-05-11,6,5100.866177,True,1079.359896,0.000000
2025-05-11,12,2779.749286,True,839.639818,0.000000
2025-05-11,18,8641.609351,True,1392.150114,0.000000
