problem,baseline_deterministic,main_strategy,hybrid_stochastic,perfect_price,rolling_perfect_information,full_horizon_lower_bound,price_assumed_fixed,hybrid_saving_vs_quantile,hybrid_saving_percent,frozen_price_replacement_saving,frozen_price_replacement_percent,rolling_net_load_replacement_difference,rolling_to_full_horizon_gap,gap_to_lower_bound,gap_to_lower_bound_percent,gap_denominator,interpretation
Q4-2,15127539.7054420002,15127539.7054420002,15152826.3568849992,15054879.0969629996,12841236.2848419994,12782823.8575480003,15177074.4061110001,-25286.6514429990,-0.1671564044,72660.6084790006,0.4803200646,2213642.8121210001,58412.4272939991,2344715.8478939999,15.4996509251,main_strategy,"historical policy comparison, not theoretical VSS/EVPI"
Q4-3,14145416.1407500003,14028199.2392129991,14028199.2392129991,13919168.3972999994,12830984.5522889998,12782827.4069049992,14176067.9882200006,117216.9015370011,0.8286564380,109030.8419129997,0.7772262145,1088183.8450109996,48157.1453840006,1245371.8323080000,8.8776314841,main_strategy,"historical policy comparison, not theoretical VSS/EVPI"
