seg_lo,seg_hi,shape
1200.0,2400.0,1.239441508582139
2400.0,3600.0,1.225742075213505
3600.0,4800.0,1.211841084347634
4800.0,6000.0,1.19839688886741
6000.0,7200.0,1.1834857273551078
7200.0,8400.0,1.1656597055936193
8400.0,9600.0,1.1346600413950305
9600.0,10800.0,1.0979073868126155
