date,interval,emergency_kwh
2025-03-20,09:10-10:00,206.631200
2025-03-20,20:30-20:40,389.727341
2025-03-20,21:40-21:50,6.595803
2025-06-21,无,0.000000
2025-09-23,18:30-18:40,2.826317
2025-09-23,20:30-21:50,308.782163
2025-12-21,07:50-08:00,0.509119
