date,issue,estimated_gain,accepted,up_kwh,down_kwh
2025-02-28,18,1670.2143331642,True,0.0000000000,6.2869263224
2025-03-01,6,1172.2598126965,True,0.0000000000,527.1603398621
2025-03-01,12,4132.8188258032,True,0.0000000000,46.3520573994
2025-03-01,18,7458.3361809264,True,1.2676178366,0.0000000000
2025-03-02,6,3200.4579286274,True,706.9742484959,9.4868520993
2025-03-02,12,5579.0455802250,True,0.0000000000,1473.9419707015
2025-03-02,18,11931.9723530557,True,1198.0621944300,0.0000000000
2025-03-03,6,4402.2569971553,True,405.5796001997,5293.7330968500
2025-03-03,12,7023.9490223315,True,415.2958190997,0.0000000000
2025-03-03,18,12569.7947455530,True,1228.4237163721,0.0000000000
2025-03-04,6,4172.6066561143,True,852.3629391809,0.0000000000
2025-03-04,12,4216.2081251816,True,111.2396222843,0.0000000000
2025-03-04,18,13318.8731183212,True,1168.7512653968,0.0000000000
2025-03-05,6,1544.1591379024,True,0.0000000000,2500.0336763613
2025-03-05,12,6711.1340232314,True,0.0000000000,4750.6466003817
2025-03-05,18,16470.7865549972,True,2087.3662927431,0.0000000000
2025-03-06,6,224.4502800908,False,0.0000000000,61.7060929739
2025-03-06,12,-2378.0266832651,False,0.0000000000,155.7897039149
2025-03-06,18,1093.7575434226,True,721.2771885827,0.0000000000
2025-03-07,6,404.4052993395,True,0.0000000000,890.0052128789
2025-03-07,12,1805.8245639023,True,0.0000000000,285.1885655452
2025-03-07,18,-7948.6163631382,False,401.7848271451,0.0000000000
2025-03-08,6,1238.6531069396,True,0.0000000000,94.9033625468
2025-03-08,12,5448.4345099479,True,0.0000000000,0.0000000000
2025-03-08,18,7064.6820911870,True,0.0000000000,7.5884410573
2025-03-09,6,3296.3265312965,True,0.0000000000,8430.2176873533
2025-03-09,12,12604.6464865032,True,1836.3880328385,0.0000000000
2025-03-09,18,8799.1741405893,True,299.6186783761,7.7890897134
2025-03-10,6,5480.5677931711,True,1301.4215005692,0.0000000000
2025-03-10,12,8849.5986395030,True,1177.7558615486,0.0000000000
2025-03-10,18,9777.4269122297,True,571.6134041432,0.0000000000
2025-03-11,6,33939.5209814160,True,7651.2854507919,0.0000000000
2025-03-11,12,4295.2944107270,True,0.0000000000,841.6589057457
2025-03-11,18,6848.8919491275,True,293.2242877926,0.0000000000
2025-03-12,6,2899.8456705796,True,0.0000000000,7095.2494796374
2025-03-12,12,10226.9699395363,True,1390.4980299712,0.0000000000
2025-03-12,18,8717.3537097681,True,319.6041383980,0.0000000000
2025-03-13,6,1177.6342064451,True,169.6261390733,272.7586309291
2025-03-13,12,995.0527740203,True,66.9523815279,441.5297998436
2025-03-13,18,-3897.4843098936,False,496.4124748619,0.0000000000
2025-03-14,6,1296.1621954102,True,280.7668543696,0.0000000000
2025-03-14,12,-3129.3249366830,False,3.2854831206,29.3801782905
2025-03-14,18,-2578.8335481043,False,465.3547701820,0.0000000000
2025-03-15,6,2983.6106337634,True,440.8176423292,0.0000000000
2025-03-15,12,3630.2393108928,True,0.0000000000,93.3618647978
2025-03-15,18,6445.6770827753,True,121.2466265578,0.0000000000
2025-03-16,6,6867.4727178897,True,1459.1382641957,0.4238168089
2025-03-16,12,3456.6476573947,True,0.0000000000,1292.5725938400
2025-03-16,18,7180.1520138573,True,250.5515883326,0.0000000000
2025-03-17,6,1772.4378989739,True,0.0000000000,4637.1996761891
2025-03-17,12,18685.0589935662,True,3197.7416906618,0.0000000000
2025-03-17,18,6781.3245657170,True,197.3412390081,0.0000000000
2025-03-18,6,2128.0936484390,True,0.0000000000,4335.8710630662
2025-03-18,12,4445.7244219289,True,0.0000000000,2397.9791026597
2025-03-18,18,6139.1844729981,True,194.6994543012,0.0000000000
2025-03-19,6,19273.8042660471,True,4150.5598808920,0.0000000000
2025-03-19,12,12014.0098105683,True,1895.7394716072,0.0000000000
2025-03-19,18,6018.1535432467,True,143.9890560583,0.0000000000
2025-03-20,6,2464.8282988543,True,425.0836836658,4843.4322332764
2025-03-20,12,11473.0704455560,True,2761.3256208031,0.0000000000
2025-03-20,18,-7245.6580777179,False,307.4714087846,28.2105595362
2025-03-21,6,844.9437751533,True,311.2361431147,319.8988921303
2025-03-21,12,-4405.2195156439,False,267.4570184358,0.0000000000
2025-03-21,18,-8325.5824611837,False,0.0000000000,0.0000000000
2025-03-22,6,1186.6956705301,True,108.0663274780,111.6488023572
2025-03-22,12,4465.6126790067,True,0.0000000000,67.9758897146
2025-03-22,18,7822.7322827084,True,0.0000000000,0.0000000000
2025-03-23,6,600.5054922513,True,0.0000000000,395.2224136443
2025-03-23,12,5768.0705190027,True,0.0000000000,4720.4586322874
2025-03-23,18,8920.3896717793,True,529.7383923953,0.0000000000
2025-03-24,6,3238.6688930345,True,498.7213556238,708.1306886020
2025-03-24,12,6370.1098755761,True,354.7297277788,1184.7316248114
2025-03-24,18,7625.8500355934,True,316.5896450522,66.8427528831
2025-03-25,6,3137.6405597935,True,0.0000000000,8213.8406100564
2025-03-25,12,4892.3132310565,True,511.6159210002,23.0466900593
2025-03-25,18,7148.8549374821,True,748.7872707118,103.1673457564
2025-03-26,6,3415.8152478022,True,898.1712525931,0.0000000000
2025-03-26,12,2658.9783291864,True,0.0000000000,2229.3634370296
2025-03-26,18,5869.7196828614,True,133.1598768943,0.0000000000
2025-03-27,6,3651.1338827221,True,549.3047353897,1784.7991411193
2025-03-27,12,-2275.7310166381,False,0.0000000000,1239.6791796939
2025-03-27,18,-5150.1512609304,False,0.0000000000,44.5079410017
2025-03-28,6,185.8149471054,False,0.0000000000,0.0000000000
2025-03-28,12,-3422.7667918900,False,0.0000000000,46.9030518703
2025-03-28,18,-5718.1248736540,False,100.3424070679,0.0000000000
2025-03-29,6,1880.7754250503,True,345.5597439922,0.0000000000
2025-03-29,12,-1854.2328603054,False,228.1232037648,0.0000000000
2025-03-29,18,5255.0942349009,True,300.5644133506,0.0000000000
2025-03-30,6,1699.2386511218,True,291.5871487176,3770.5184588312
2025-03-30,12,5558.5119553794,True,108.3100627067,863.1585343985
2025-03-30,18,6472.0160066470,True,0.0000000000,169.6398859012
2025-03-31,6,40869.1566098420,True,8839.7809231670,0.0000000000
2025-03-31,12,2069.7135883329,True,1.2458574339,2570.0223900039
2025-03-31,18,5460.7146114781,True,249.4474528599,0.0000000000
2025-04-01,6,2227.2216774169,True,329.4980854382,573.7431035860
2025-04-01,12,3618.9921212299,True,0.0000000000,2501.7397692642
2025-04-01,18,8537.0663206135,True,139.5547089752,0.0000000000
2025-04-02,6,11920.7024965071,True,2602.8809216877,0.0000000000
2025-04-02,12,2431.3309645700,True,0.0000000000,1456.5412945318
2025-04-02,18,4401.2972685342,True,30.4726344928,0.2542966594
2025-04-03,6,1067.8685382637,True,0.0000000000,2657.4832179734
2025-04-03,12,-2793.2193755585,False,0.0000000000,2096.6839724208
2025-04-03,18,-10320.8576181257,False,292.6683839042,0.0000000000
2025-04-04,6,222.2421194179,False,0.0000000000,130.2262627021
2025-04-04,12,-16.5154883781,False,247.7426155774,0.0000000000
2025-04-04,18,-2391.4812991225,False,260.7192224909,0.0000000000
2025-04-05,6,1333.6037381875,True,626.5518212624,0.0000000000
2025-04-05,12,4374.9872554077,True,54.1615574744,0.0000000000
2025-04-05,18,7950.5991528548,True,1113.9704840290,0.0000000000
2025-04-06,6,1510.5304884127,True,84.1512083991,2879.0837699230
2025-04-06,12,4209.5326928813,True,537.4921921893,0.0000000000
2025-04-06,18,3871.5973363686,True,0.0000000000,123.1070939920
2025-04-07,6,13774.2822340349,True,2778.5666995613,0.0000000000
2025-04-07,12,6282.6998393537,True,682.2913017533,0.0000000000
2025-04-07,18,4120.1722871542,True,0.0000000000,0.5388905775
2025-04-08,6,1531.9258451601,True,37.7223055617,2634.4269400767
2025-04-08,12,3840.0927557165,True,0.0000000000,2183.9175470660
2025-04-08,18,7360.2369457035,True,441.6355152577,0.0000000000
2025-04-09,6,8741.3821308722,True,1794.4044708526,0.0000000000
2025-04-09,12,8696.0825218981,True,915.1627275660,0.0000000000
2025-04-09,18,7064.2059016241,True,389.8065968196,0.0000000000
2025-04-10,6,9378.5763169629,True,2061.0624826381,0.0000000000
2025-04-10,12,-288.9038408597,False,0.0000000000,2697.2568998175
2025-04-10,18,-12112.7906947879,False,0.0000000000,5.6971660584
2025-04-11,6,3253.1596505304,True,1255.8666789578,0.0000000000
2025-04-11,12,-6325.9622638386,False,0.0000000000,319.8226266898
2025-04-11,18,-4972.9007577384,False,200.1638169749,0.0000000000
2025-04-12,6,533.4691993711,True,0.0000000000,440.2136631262
2025-04-12,12,-2439.4059215307,False,5.2965913778,0.0000000000
2025-04-12,18,4444.5500729526,True,0.0000000000,0.0000000000
2025-04-13,6,366.4026211323,True,0.0000000000,0.0000000000
2025-04-13,12,7450.2851384775,True,1062.3535207162,0.0000000000
2025-04-13,18,8421.3706071198,True,748.1447220885,0.0000000000
2025-04-14,6,1523.8494141275,True,0.0000000000,3281.2642923121
2025-04-14,12,1234.9167374478,True,0.0000000000,1314.6385771202
2025-04-14,18,10255.9441282931,True,1685.2239810625,0.0000000000
2025-04-15,6,11542.1092667605,True,2211.4541243721,0.0000000000
2025-04-15,12,3527.8095977970,True,0.0000000000,638.8104742525
2025-04-15,18,6568.6888266686,True,345.9590237740,0.0000000000
2025-04-16,6,12956.0398002868,True,2587.5102292395,0.0000000000
2025-04-16,12,796.3960687806,True,0.0000000000,1505.8409185007
2025-04-16,18,6497.9771975469,True,143.2503117610,157.3302300744
2025-04-17,6,16029.1769497733,True,3490.2977474755,0.0000000000
2025-04-17,12,-3950.7522034197,False,0.0000000000,582.1045171154
2025-04-17,18,-12320.6934150408,False,0.0000000000,0.0000000000
2025-04-18,6,706.0118567503,True,302.6997109433,0.0000000000
