date,block,charge_kwh,discharge_kwh
2025-03-20,00:00-04:00,3900.773035,200.876895
2025-03-20,04:00-08:00,112.544365,6559.786701
2025-03-20,08:00-12:00,5547.154561,2032.491673
2025-03-20,12:00-16:00,5433.984676,254.722783
2025-03-20,16:00-20:00,0.000000,5655.167728
2025-03-20,20:00-24:00,3039.790801,3002.853886
2025-03-20,0:00 储电量,7358.186860,
2025-03-20,24:00 储电量,3915.787708,
2025-06-21,00:00-04:00,684.026430,214.136465
2025-06-21,04:00-08:00,1349.690007,1719.953967
2025-06-21,08:00-12:00,9253.496239,0.000000
2025-06-21,12:00-16:00,0.000000,0.000000
2025-06-21,16:00-20:00,0.000000,5335.384893
2025-06-21,20:00-24:00,1878.850251,3091.919916
2025-06-21,0:00 储电量,2790.497958,
2025-06-21,24:00 储电量,3127.293216,
2025-09-23,00:00-04:00,5775.419755,167.970544
2025-09-23,04:00-08:00,2636.609911,6420.512319
2025-09-23,08:00-12:00,6273.367098,1896.615716
2025-09-23,12:00-16:00,4649.451547,420.449234
2025-09-23,16:00-20:00,100.695917,5834.985920
2025-09-23,20:00-24:00,1813.330534,2917.273682
2025-09-23,0:00 储电量,3274.995960,
2025-09-23,24:00 储电量,2779.197228,
2025-12-21,00:00-04:00,2864.899315,134.968304
2025-12-21,04:00-08:00,1672.129387,2114.936835
2025-12-21,08:00-12:00,5927.174074,7114.143635
2025-12-21,12:00-16:00,6725.502897,2301.719606
2025-12-21,16:00-20:00,2.910046,5701.303636
2025-12-21,20:00-24:00,8552.406526,2850.598201
2025-12-21,0:00 储电量,8291.229755,
2025-12-21,24:00 储电量,8997.671767,
