seed,train_fitness,worst_block,min_weight,mean_min_weight,effective_scenarios,samples
0,458569.285847,504362.687252,0.056983,0.059013,10.859628,80
1,459260.696169,504220.320830,0.057090,0.059123,10.825809,80
2,458499.244061,504336.556138,0.056990,0.059058,10.846691,80
3,459581.491148,503833.167958,0.057299,0.059266,10.778789,80
4,460207.953144,504265.790145,0.056990,0.059252,10.782530,80
