date,issue,max_plan_diff_kwh,passed
2025-05-01,0,0.0000000000,True
2025-05-01,6,0.0000000000,True
2025-05-01,12,0.0000000000,True
2025-05-01,18,0.0000000000,True
2025-07-20,0,0.0000000000,True
2025-07-20,6,0.0000000000,True
2025-07-20,12,0.0000000000,True
2025-07-20,18,0.0000000000,True
2025-10-28,0,0.0000000000,True
2025-10-28,6,0.0000000000,True
2025-10-28,12,0.0000000000,True
2025-10-28,18,0.0000000000,True
