date,interval,emergency_kwh
2025-03-20,08:50-10:00,744.885544
2025-06-21,无,0.000000
2025-09-23,18:20-18:30,1.083333
2025-09-23,20:10-22:00,768.425579
2025-12-21,无,0.000000
