date,interval,purchase_kwh
2025-03-20,10:00-10:10,0.000000
2025-03-20,12:00-12:10,520.887537
2025-03-20,14:00-14:10,0.000000
2025-03-20,16:00-16:10,712.693121
2025-03-20,18:00-18:10,0.000000
2025-03-20,20:00-20:10,719.374954
2025-03-20,全天购电量,62919.528418
2025-03-20,全天购电费(元),44401.615413
2025-06-21,10:00-10:10,0.000000
2025-06-21,12:00-12:10,0.000000
2025-06-21,14:00-14:10,0.000000
2025-06-21,16:00-16:10,134.940493
2025-06-21,18:00-18:10,411.182871
2025-06-21,20:00-20:10,0.000000
2025-06-21,全天购电量,33316.873236
2025-06-21,全天购电费(元),16513.356939
2025-09-23,10:00-10:10,0.000000
2025-09-23,12:00-12:10,374.195663
2025-09-23,14:00-14:10,0.000000
2025-09-23,16:00-16:10,529.930899
2025-09-23,18:00-18:10,0.000000
2025-09-23,20:00-20:10,0.000000
2025-09-23,全天购电量,67493.662561
2025-09-23,全天购电费(元),46315.308027
2025-12-21,10:00-10:10,0.000000
2025-12-21,12:00-12:10,921.340883
2025-12-21,14:00-14:10,0.000000
2025-12-21,16:00-16:10,871.706771
2025-12-21,18:00-18:10,691.984652
2025-12-21,20:00-20:10,0.000000
2025-12-21,全天购电量,95929.898306
2025-12-21,全天购电费(元),72922.338734
