block_len,cvar95_reference,cvar95_variant,diff,diff_percent,ci_lo,ci_hi,p_worse,mean_diff,mean_ci_lo,mean_ci_hi,resamples,seed,candidate
7,75385.2866384551,74541.8491673417,-843.4374711134,-1.1188356624,-1892.1698421712,385.1773683828,0.0902500000,-348.7886364476,-510.2165387943,-181.2560560489,4000,20260941,rho=0.15
14,75385.2866384551,74541.8491673417,-843.4374711134,-1.1188356624,-1989.0236070885,729.2766681679,0.1385000000,-348.7886364476,-530.1036143314,-162.0776633142,4000,20260941,rho=0.15
28,75385.2866384551,74541.8491673417,-843.4374711134,-1.1188356624,-1993.0793721952,1235.3175534963,0.2055000000,-348.7886364476,-530.8131533614,-176.2407520890,4000,20260941,rho=0.15
7,75385.2866384551,74092.0617880108,-1293.2248504443,-1.7154870773,-2782.9161847928,30.5748952187,0.0300000000,-304.1520594154,-470.7780950892,-167.4456568658,4000,20260941,rho=0.25
14,75385.2866384551,74092.0617880108,-1293.2248504443,-1.7154870773,-2940.4603856710,225.5663065500,0.0670000000,-304.1520594154,-498.4902219225,-150.8455595231,4000,20260941,rho=0.25
28,75385.2866384551,74092.0617880108,-1293.2248504443,-1.7154870773,-2957.9862073085,613.8787639511,0.1125000000,-304.1520594154,-513.9064589165,-159.6373331122,4000,20260941,rho=0.25
