risk_weight,seed,adjusted_cost,cvar95,saving_vs_B0
0.0000000000,0,14028199.2392090000,74840.0121132934,117216.9015260004
0.0000000000,1,14025522.7232444920,74957.9137212194,119893.4174905084
0.0000000000,2,14036624.8030733541,75040.9051692663,108791.3376616463
0.1500000000,0,14028331.8628688417,74541.8491673417,117084.2778661586
0.1500000000,1,14023407.4267929494,74542.4459339597,122008.7139420509
0.1500000000,2,14038708.6555438563,74645.4196324209,106707.4851911440
