date,day_index,issue,perturbation,max_plan_diff_kwh,passed
2025-05-18,137,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-05-18,137,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-05-18,137,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-05-18,137,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-05-25,144,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-05-25,144,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-05-25,144,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-05-25,144,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-01,151,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-01,151,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-01,151,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-01,151,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-08,158,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-08,158,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-08,158,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-08,158,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-15,165,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-15,165,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-15,165,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-15,165,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-22,172,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-22,172,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-22,172,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-22,172,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-29,179,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-29,179,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-29,179,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-06-29,179,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-01,181,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-01,181,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-01,181,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-01,181,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-02,182,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-02,182,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-02,182,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-02,182,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
