candidate,risk_weight,seed,total_cost,adjusted_cost,plan_cost,up_cost,down_net_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,plan_kwh,equivalent_cycles,cvar95,top17_mean,max_daily,daily_std,final_soc,seconds,resumed
rho0.00_seed0,0.0000000000,0,14029554.0049569979,14028199.2392090000,13115295.4742360003,743422.7261970001,-174591.1087920000,345426.9132980000,64758.9427730000,594503.6720100000,502820.6894810000,6578063.7662380002,5325276.1961730001,1311084.2569559999,20346619.3966780007,221.8865081739,74840.0121132934,74787.2638671176,81602.6596850000,18561.6258634455,8564.2674880000,0.0000000000,True
rho0.00_seed1,0.0000000000,1,14027268.4707971141,14025522.7232444920,13109991.5272232220,747356.2271168232,-175495.7288617085,345416.4453187791,65566.6253178736,599111.5935812386,503910.1490182922,6576500.9022342991,5323157.3399731927,1307403.9877469554,20339168.9750939086,221.7982224989,74957.9137212194,74901.1062958811,81213.1519669965,18544.2823456846,9511.9745399905,370.8757716200,False
rho0.00_seed2,0.0000000000,2,14038373.1684974413,14036624.8030733541,13107193.8142328449,749060.3409935245,-175034.5989355434,357153.6122066145,67576.2307607189,600202.6640542555,504676.0632834619,6574112.4482303243,5321216.9812795715,1307748.2703585506,20336730.4007444568,221.7173742200,75040.9051692663,74979.6855240788,81599.4407144428,18606.6581092208,9518.3200404357,370.2280217170,False
rho0.15_seed0,0.1500000000,0,14029983.4040684886,14028331.8628688417,13268903.3319407217,646792.5476844297,-208101.2859216680,322388.8103650076,60018.0392154320,516645.4036895309,593735.8162773397,6560136.7024308974,5310107.8515876196,1350344.4033307363,20556635.1225130558,221.2544938162,74541.8491673417,74487.2507740511,80693.6047988351,18587.4994827944,9283.6262564525,588.2313847430,False
rho0.15_seed1,0.1500000000,1,14025150.6796194613,14023407.4267929494,13265235.6790398285,654832.3211471695,-207988.1628132858,313070.8422457514,58635.8894897862,522696.5094608448,594144.4537581392,6566392.0978463525,5314974.6507247761,1350016.5212143264,20553435.5181100778,221.4572771135,74542.4459339597,74490.0361162651,79786.8622723422,18548.4442181596,9505.9275335215,581.5475043800,False
rho0.15_seed2,0.1500000000,2,14040476.0356810261,14038708.6555438563,13253081.3009416815,663976.2216964834,-204297.8974220142,327716.4104648748,60669.7976679572,533015.5924018840,586429.8233108707,6558819.3774404135,5308788.1128796879,1354478.7791163237,20536443.9718847424,221.1995047033,74645.4196324209,74589.2096058389,81274.3916751985,18617.7692110470,9564.4101071633,581.5257227140,False
rho0.25_seed0,0.2500000000,0,14044892.0207972564,14043235.2631041631,13411535.6708549894,579997.6305835195,-246194.3151868336,299553.0345455800,55601.2477329211,461491.9352100684,704190.0450486963,6571543.4111324791,5319335.9057283085,1384524.0168730586,20763017.8793496005,221.6389960720,74092.0617880108,74052.9865285282,79520.5986749462,18571.9561292945,9296.2705982213,605.5563388600,False
