date,total_cost_B0,inventory_adjusted_cost_B0,emergency_cost_B0,emergency_kwh_B0,soc_start_B0,soc_end_B0,soc_min_B0,mean_price,total_cost_H3,inventory_adjusted_cost_H3,emergency_cost_H3,emergency_kwh_H3,soc_start_H3,soc_end_H3,soc_min_H3,adjusted_diff_H3_minus_B0,B0_top17,H3_top17
2025-02-11,59590.4554890000,59880.9071410000,3725.1342940000,666.7387910000,10148.3976780000,9444.3672790000,1200.0000000000,0.8284920000,59877.0433420000,59874.2305350000,3484.7400930000,610.8826690000,10717.7459930000,10724.5640010000,1200.0000000000,-6.6766060000,False,False
2025-02-12,58023.4615050000,58442.8030120000,1666.9116020000,319.1868350000,9444.3672790000,8427.9187030000,1200.0000000000,0.8264240000,58875.8086270000,59276.7513650000,2808.0405040000,513.3343520000,10724.5640010000,9752.7124960000,1200.0000000000,833.9483530000,False,False
2025-02-13,51576.9248000000,52674.0293230000,1011.4448690000,171.1625700000,8427.9187030000,5768.6295280000,1200.0000000000,0.8147910000,50342.8407580000,51373.2147210000,0.0000000000,0.0000000000,9752.7124960000,7255.1725910000,1212.4371390000,-1300.8146020000,False,False
2025-02-14,15054.1416400000,15918.3831230000,287.3446230000,69.8795290000,5768.6295280000,3673.7807950000,1200.0000000000,0.6311000000,15601.3008620000,16187.1118120000,485.1077630000,117.9736780000,7255.1725910000,5835.2160730000,1200.0000000000,268.7286890000,False,False
2025-02-15,16586.0210400000,15745.8399450000,0.0000000000,0.0000000000,3673.7807950000,5710.3091710000,1292.6767430000,0.6378470000,16606.7761860000,15766.5587400000,0.0000000000,0.0000000000,5835.2160730000,7871.8325610000,1341.4614930000,20.7187950000,False,False
2025-02-16,60591.7536960000,59921.7604770000,1837.0905490000,345.2640040000,5710.3091710000,7334.3164330000,1200.0000000000,0.8303220000,60090.3407710000,59429.1353710000,1255.2216430000,237.1113940000,7871.8325610000,9474.5388910000,1200.0000000000,-492.6251060000,False,False
2025-02-17,56331.7789030000,55438.0494640000,1257.1719270000,196.3038420000,7334.3164330000,9500.6414940000,1200.0000000000,0.8173530000,56457.6719120000,55979.6201440000,1450.0168140000,225.0830540000,9474.5388910000,10633.2962060000,1200.0000000000,541.5706800000,False,False
2025-02-18,52240.5758110000,52185.0505490000,0.0000000000,0.0000000000,9500.6414940000,9635.2300650000,1213.5567170000,0.8145220000,51842.3075690000,52033.1226730000,54.1987230000,10.7933330000,10633.2962060000,10170.7764290000,1210.9126330000,-151.9278760000,False,False
2025-02-19,55330.0680830000,55447.3549070000,2980.1200890000,549.5734960000,9635.2300650000,9350.9366590000,1200.0000000000,0.8164300000,54323.4735570000,54451.6106880000,1568.6837060000,263.8704600000,10170.7764290000,9860.1827910000,1200.0000000000,-995.7442190000,False,False
2025-02-20,50983.5420700000,53355.5339670000,1569.9826350000,299.1490790000,9350.9366590000,3601.4276190000,1200.0000000000,0.8168070000,49454.3560650000,51462.3787470000,380.1787870000,74.6167530000,9860.1827910000,4992.9045440000,1200.0000000000,-1893.1552200000,False,False
2025-02-21,14615.3241110000,14965.7828600000,0.0000000000,0.0000000000,3601.4276190000,2751.9450600000,1380.6770600000,0.6208500000,14147.2056160000,14711.4006380000,0.0000000000,0.0000000000,4992.9045440000,3625.3432190000,1322.2934070000,-254.3822220000,False,False
2025-02-22,17663.2731760000,15974.0902180000,0.0000000000,0.0000000000,2751.9450600000,6846.3826070000,1283.1155610000,0.6352840000,17966.7206590000,15695.1846860000,120.7098900000,24.9452140000,3625.3432190000,9131.3555430000,1200.0000000000,-278.9055320000,False,False
2025-02-23,51998.1871640000,52515.3680570000,137.5870670000,32.0937340000,6846.3826070000,5592.7795800000,1200.0000000000,0.8153780000,51830.9579110000,52369.3552330000,410.6723970000,81.3536720000,9131.3555430000,7826.3256760000,1200.0000000000,-146.0128240000,False,False
2025-02-24,51102.9089910000,49775.9526210000,225.0450530000,44.0444370000,5592.7795800000,8809.2103160000,1581.0545660000,0.8082490000,50977.6000580000,49888.6206980000,271.3345560000,53.2269710000,7826.3256760000,10465.9201400000,1600.4124970000,112.6680770000,False,False
2025-02-25,48036.1994570000,48140.3767520000,239.1997570000,48.9821600000,8809.2103160000,8556.6933080000,1200.0000000000,0.7940970000,48558.5720980000,48781.3075870000,538.1577170000,108.1078600000,10465.9201400000,9926.0280300000,1200.0000000000,640.9308350000,False,False
2025-02-26,51089.5509480000,50920.0363410000,669.1901320000,128.6537830000,8556.6933080000,8967.5824730000,1200.0000000000,0.8055380000,49967.5128500000,49826.8457600000,60.6209320000,11.8307830000,9926.0280300000,10266.9932350000,1217.6163540000,-1093.1905810000,False,False
2025-02-27,49004.2922060000,51244.0410930000,5940.4195640000,988.7661940000,8967.5824730000,3538.6193750000,1200.0000000000,0.7979120000,48835.6014300000,50998.9758720000,5580.3515390000,872.1253150000,10266.9932350000,5023.1553730000,1200.0000000000,-245.0652210000,False,False
2025-02-28,13905.8880630000,14265.5547450000,36.7971800000,10.7327350000,3538.6193750000,2666.8175590000,1200.0000000000,0.6166780000,13775.5448280000,14375.3146580000,625.6750800000,150.5082420000,5023.1553730000,3569.3637040000,1200.0000000000,109.7599130000,False,False
2025-03-01,16522.5347330000,14193.0365750000,655.2604630000,145.9509070000,2666.8175590000,8313.3253490000,1200.0000000000,0.6142220000,17139.7957790000,14797.5814330000,1285.4219480000,271.2033410000,3569.3637040000,9246.6944650000,1200.0000000000,604.5448580000,False,False
2025-03-02,53028.0969640000,53297.8403390000,0.0000000000,0.0000000000,8313.3253490000,7659.4900740000,1725.2097780000,0.8122930000,53833.6729550000,53493.0769720000,0.0000000000,0.0000000000,9246.6944650000,10072.2705100000,1780.6446770000,195.2366330000,False,False
2025-03-03,53306.3054140000,53518.4806400000,0.0000000000,0.0000000000,7659.4900740000,7145.1951550000,1220.9588210000,0.8118500000,53503.9017930000,53834.2612110000,78.3881230000,15.6086140000,10072.2705100000,9271.5070400000,1200.0000000000,315.7805710000,False,False
2025-03-04,49898.2495650000,49310.5083450000,0.0000000000,0.0000000000,7145.1951550000,8569.8304830000,1250.3946850000,0.8006280000,49904.4719050000,49644.2594250000,183.2395290000,40.0029960000,9271.5070400000,9902.2402270000,1200.0000000000,333.7510800000,False,False
2025-03-05,48949.8214980000,49437.8613490000,21.6000180000,4.3068600000,8569.8304830000,7386.8628940000,1335.9846020000,0.7945010000,49939.6894720000,50021.9641630000,0.0000000000,0.0000000000,9902.2402270000,9702.8132900000,1350.5991420000,584.1028140000,False,False
2025-03-06,44717.4707600000,46130.6640980000,0.0000000000,0.0000000000,7386.8628940000,3961.4009920000,1762.7260650000,0.7918570000,44115.0010880000,45617.9239200000,0.0000000000,0.0000000000,9702.8132900000,6059.8546330000,1693.3056210000,-512.7401780000,False,False
