policy,period,days,plan_cost,up_cost,down_net_cost,emergency_cost,raw_total_cost,adjusted_total_cost,plan_kwh,adjusted_kwh,up_kwh,down_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day_frequency,max_daily_cost,start_soc,end_soc
q3_aligned_saa,full334,334,11834420.200865423,1636689.042542914,-27867.241344103473,315735.32947545586,13758977.33153969,13758977.33153969,19548893.633620344,20854514.7896391,1423219.0567384362,117597.90071968084,65883.9411194273,1714112.7309564906,1071,0.5778443113772455,70066.72356585719,1520.6548179639,1278.6419529370373
q3_aligned_saa,development153,153,5440016.584546516,867191.9324333902,-15771.370006599158,191966.1231308105,6483403.270104118,6483403.270104118,8884963.61881546,9562705.674865691,745862.3388533168,68120.28280308608,40611.531308426,903860.3347747788,690,0.7189542483660131,66983.52550487588,2631.2953410092573,1285.9172552759633
q3_aligned_saa,frozen61,61,2668712.160721202,254516.47286441215,-3231.2977196516526,26079.369201360343,2946076.7050673226,2946076.7050673226,4349736.12049697,4550565.676009431,212909.76805197133,12080.212539509646,5239.4371717025,138362.95634028336,73,0.4098360655737705,70066.72356585719,1285.9172552759633,1278.6419529370373
