day,date,lp_objective,ga_objective,gap,gap_relative,ga_seconds,lp_seconds,population,generations,evaluations,best_generation,note
78,2025-03-20,47124.97228635665,64142.360499074326,17017.388212717677,0.36111189857706194,21.131914522999978,0.06646704199999931,300,400,120000,400,GA 目标函数与 LP 完全相同；SOC 越界按 10 倍最高电价罚金处理
171,2025-06-21,25546.556122593043,40713.56039396115,15167.004271368103,0.5937005441588504,17.6251792380001,0.06976960399993004,300,400,120000,399,GA 目标函数与 LP 完全相同；SOC 越界按 10 倍最高电价罚金处理
265,2025-09-23,47825.6097133726,64834.91983535455,17009.31012198195,0.3556527606008951,17.474645799000086,0.06629046500006552,300,400,120000,400,GA 目标函数与 LP 完全相同；SOC 越界按 10 倍最高电价罚金处理
354,2025-12-21,65751.50956439262,84240.12683368185,18488.61726928923,0.2811892440459138,20.01807871099993,0.06850147000000106,300,400,120000,400,GA 目标函数与 LP 完全相同；SOC 越界按 10 倍最高电价罚金处理
