origin,grid_size,iteration,weekday,initial_soc,objective,initial_soc_dual,cut_slope,cut_intercept
2025-02-01,17,1,6,1200.0,62484.614964513436,-0.47900001111111107,-0.47900001111111107,63059.41497784677
2025-02-01,17,1,6,1800.0,62197.214957846765,-0.47900001111111107,-0.47900001111111107,63059.41497784676
2025-02-01,17,1,6,2400.0,61909.8149511801,-0.47900001111111107,-0.47900001111111107,63059.41497784677
2025-02-01,17,1,6,3000.0,61622.86494451342,-0.4780000111111111,-0.4780000111111111,63056.86497784675
2025-02-01,17,1,6,3600.0,61336.09827118009,-0.47788889999999995,-0.47788889999999995,63056.49831118009
2025-02-01,17,1,6,4200.0,61049.49826451344,-0.4770000111111111,-0.4770000111111111,63052.898311180106
2025-02-01,17,1,6,4800.0,60763.29825784676,-0.4761111222222222,-0.4761111222222222,63048.63164451343
2025-02-01,17,1,6,5400.0,60477.63158451342,-0.4761111222222222,-0.4761111222222222,63048.63164451342
2025-02-01,17,1,6,6000.0,60192.26491118009,-0.47544445555555553,-0.47544445555555553,63044.931644513425
2025-02-01,17,1,6,6600.0,59907.231571180084,-0.47466667777777777,-0.47466667777777777,63040.031644513416
2025-02-01,17,1,6,7200.0,59622.44823118009,-0.47455556666666665,-0.47455556666666665,63039.24831118009
2025-02-01,17,1,6,7800.0,59337.71489118008,-0.47455556666666665,-0.47455556666666665,63039.24831118008
2025-02-01,17,1,6,8400.0,59053.11488451342,-0.4743333444444444,-0.4743333444444444,63037.51497784675
2025-02-01,17,1,6,9000.0,58769.56487784675,-0.4720000111111111,-0.4720000111111111,63017.56497784675
2025-02-01,17,1,6,9600.0,58486.46487118008,-0.47166667777777777,-0.47166667777777777,63014.46497784674
2025-02-01,17,1,6,10200.0,58212.331531180076,-0.41255556666666665,-0.41255556666666665,62420.39831118008
2025-02-01,17,1,6,10800.0,57964.798191180074,-0.384479991,-0.384479991,62117.182093980075
2025-02-01,17,1,5,1200.0,28983.4906820794,-0.47900001111111107,-0.47900001111111107,29558.290695412732
2025-02-01,17,1,5,1800.0,28696.09067541273,-0.47900001111111107,-0.47900001111111107,29558.290695412732
2025-02-01,17,1,5,2400.0,28408.69066874607,-0.47900001111111107,-0.47900001111111107,29558.290695412736
