policy,period,days,planned_cost,emergency_cost,raw_total_cost,start_inventory_value,end_inventory_value,inventory_adjustment,adjusted_total_cost,planned_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day_frequency,max_daily_cost,start_soc,end_soc
dual_terminal_g17,full334,334,13293561.870236283,345185.81649575464,13638747.686732039,1772.9864278469165,-1207.5424626408253,-2980.5288904877416,13635767.15784155,21780791.386029705,56089.74014061839,2663267.936620957,527,0.36227544910179643,84176.10855496269,2284.266416365375,8544.186439294588
dual_terminal_g17,development153,153,6194900.97816496,194938.94751248276,6389839.925677443,-1809.9513841807693,204.42783763850684,2014.3792218192762,6391854.304899262,10025533.248287596,31309.69535750015,1388747.658965901,328,0.47058823529411764,84176.10855496269,9820.81556549946,5504.037287492959
dual_terminal_g17,frozen61,61,2904083.3612831584,22882.145055585574,2926965.506338744,204.42783763850684,-1207.5424626408253,-1411.9703002793322,2925553.5360384644,4690795.350967239,4640.4928672499955,285690.85226165433,49,0.26229508196721313,71230.73847579266,5504.037287492959,8544.186439294588
