date,time_period,emergency_kwh,slot_from,slot_to
2025-08-11,20:00-20:10,11.547608833333356,120,120
2025-08-12,19:00-19:20,24.454194666666467,114,115
2025-08-12,19:40-20:00,33.74246750000009,118,119
2025-08-12,20:20-20:40,565.4130488249999,122,123
2025-08-12,20:50-21:00,14.544700496666678,125,125
2025-08-13,19:10-19:30,18.386702166666623,115,116
2025-08-13,20:30-20:40,39.57150949999982,123,123
2025-08-14,18:50-19:10,34.22202716666675,113,114
2025-08-14,20:30-20:40,15.63925283333333,123,123
2025-08-17,19:10-19:20,19.46254599999986,115,115
2025-08-17,19:30-19:50,48.68760833333317,117,118
2025-08-18,19:00-19:10,10.404818333333424,114,114
2025-08-18,19:50-20:00,48.394755333333364,119,119
2025-08-18,20:20-20:30,40.84285866666676,122,122
2025-08-19,19:20-19:50,94.19198133333327,116,118
2025-08-19,20:00-20:10,31.30668716666662,120,120
2025-08-20,8:30-9:30,811.1559475833316,51,56
2025-08-20,19:50-20:10,26.709216666666634,119,120
2025-08-20,20:20-21:00,499.62519005833246,122,125
2025-08-25,19:10-19:30,49.43049566666684,115,116
2025-08-26,19:40-19:50,5.098166499999934,118,118
2025-08-26,20:00-20:10,5.147880999999984,120,120
2025-08-27,18:50-19:10,16.409360833333267,113,114
2025-08-27,19:20-19:30,17.648032666666836,116,116
2025-08-28,18:50-19:00,21.212371333333294,113,113
2025-08-28,19:50-20:10,41.344636166666646,119,120
2025-09-04,19:40-19:50,13.588623333333317,118,118
2025-09-08,19:30-20:40,2247.388189600001,117,123
2025-09-08,20:50-21:10,68.71896484166673,125,126
2025-09-08,21:20-21:50,130.7751199166668,128,130
2025-09-09,19:30-19:40,2.352616666666563,117,117
2025-09-09,20:30-20:40,219.40846435999754,123,123
2025-09-09,20:50-21:00,2.6204790133334654,125,125
2025-09-10,8:30-9:40,689.584507333333,51,57
2025-09-10,20:20-20:40,489.4824142899998,122,123
2025-09-10,20:50-21:00,20.26632594499979,125,125
2025-09-10,21:30-21:50,41.10173454666642,129,130
2025-09-11,19:50-20:00,6.071666666666715,119,119
2025-09-12,7:30-7:40,48.27542957351902,45,45
2025-09-15,19:40-19:50,1.1717666666667128,118,118
2025-09-15,20:30-20:40,232.21790357333384,123,123
2025-09-16,19:10-19:20,8.238266666666732,115,115
2025-09-16,20:30-20:50,105.62522516666627,123,124
2025-09-17,5:50-6:00,7.629166666666833,35,35
2025-09-18,20:30-20:50,3.3284621666665757,123,124
2025-09-18,21:30-21:50,27.913779908333318,129,130
2025-09-22,19:40-20:00,19.555900000000065,118,119
2025-09-22,20:30-20:40,259.39889539166734,123,123
2025-09-22,21:10-21:50,80.6603202116665,127,130
2025-09-23,20:20-20:40,347.3776127666658,122,123
2025-09-23,20:50-21:10,82.7662911233335,125,126
2025-09-25,18:50-19:00,15.37166666666667,113,113
2025-09-28,19:20-19:30,5.868333333333339,116,116
2025-09-29,6:00-6:10,20.39463333333333,36,36
2025-09-29,20:30-20:50,344.3147531683363,123,124
2025-09-30,20:00-20:10,31.411150000000134,120,120
2025-09-30,20:30-20:50,62.92548269834026,123,124
2025-09-30,21:00-21:20,21.16623705666641,126,127
2025-10-08,20:30-21:00,413.57679991333293,123,125
2025-10-09,20:30-21:00,245.62253588166163,123,125
2025-10-10,20:40-21:00,73.70276833333713,124,125
2025-10-10,21:20-21:30,6.017388409999761,128,128
2025-10-12,6:00-6:10,20.929933333333338,36,36
2025-10-15,21:00-21:20,25.70147566666451,126,127
2025-10-15,21:40-21:50,4.219663553333339,130,130
2025-10-16,20:00-20:40,1353.7121910199924,120,123
2025-10-19,20:30-20:40,186.37099586166255,123,123
2025-10-20,9:20-10:10,432.6192137283336,56,60
2025-10-22,9:50-10:20,119.8938120999987,59,61
2025-10-22,20:30-21:00,86.51801916666716,123,125
2025-10-24,21:10-21:20,15.63607916666292,127,127
2025-10-27,6:00-6:10,19.744933333333393,36,36
2025-10-29,10:00-10:30,98.73241056333252,60,62
2025-10-29,20:30-21:00,407.3843915749993,123,125
2025-10-29,21:20-21:30,12.487924491666648,128,128
2025-10-30,6:00-6:10,3.641833333333352,36,36
2025-11-04,5:50-6:10,24.077796999999805,35,36
2025-11-06,9:30-10:40,603.3061585366659,57,63
2025-11-13,6:00-6:10,2.010533333333342,36,36
2025-11-19,5:50-6:00,1.3850000000001046,35,35
2025-11-23,10:40-10:50,32.29173234833405,64,64
2025-11-24,6:00-6:10,18.83966666666663,36,36
2025-11-24,20:30-20:40,7.882012499999973,123,123
2025-11-24,20:50-21:00,5.930885251666654,125,125
2025-11-26,6:00-6:10,16.893851666666478,36,36
2025-11-30,6:00-6:10,0.016064499999856707,36,36
2025-12-01,6:00-6:10,42.04053816666658,36,36
2025-12-01,7:50-8:10,74.54539466666643,47,48
2025-12-01,8:40-10:50,2731.603772786665,52,64
2025-12-02,7:50-8:20,43.52579066666681,47,49
2025-12-02,10:00-10:50,826.5800193266639,60,64
2025-12-04,8:10-8:20,34.14093966666701,49,49
2025-12-07,7:50-8:00,17.636782333333258,47,47
2025-12-16,8:10-8:20,0.2538166666666939,49,49
2025-12-22,8:10-8:20,5.001506499999778,49,49
2025-12-28,7:50-8:20,109.25920116666691,47,49
2025-12-31,10:40-10:50,43.27140350000097,64,64
