method,seconds,intraday_update,total_cost,adjusted_cost,plan_cost,up_cost,down_net_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,equivalent_cycles,cvar95,final_soc,gap_vs_lp_percent
LP-MPC（基准·精确）,8.3292510509,True,13386086.2841260061,13386165.0355510395,12604467.4515826106,711786.5135552799,-241494.3666887868,311326.6856769021,65261.9023347013,606724.0361670256,715987.0182991556,6577501.7819903139,5327948.2415653439,1407280.0997403457,221.9978433986,63667.7639757932,1329.7679810871,0.0000000000
DP-MPC（SOC离散）,27.3777348995,True,13508495.7946890518,13508578.4046074226,12699906.4591293875,798613.2505657949,-282312.8064444275,292288.8914382949,64286.6867867601,652779.3183464138,798526.4424704920,6433677.6745807873,5211459.1319608893,1400883.3780860465,217.1441304984,63822.1509077172,1320.4153174624,0.9144767656
RULE（手工阈值）,0.2890119553,True,21297067.6888206601,21294742.8997995891,14082584.8647372015,866869.1934473922,-185757.3477948538,6533370.9784309221,1028985.6659013208,538281.7380787204,444453.6502334489,4305107.9615014996,3482065.8649027529,6163371.9038805570,145.0860777043,102384.2140729938,7155.7480551437,59.0802357751
RULE（GA调参）,0.2932150364,True,15029237.2052674815,15026583.9463868700,14633203.3053100705,486839.1787813666,-456196.1262952099,365390.8474712546,57349.0325251521,358583.0007833778,1075921.7990141190,3888748.4517453536,3144098.0969956233,2651853.1736550825,131.0040873748,75172.0622958877,7951.9313936459,12.2545845392
LP（不更新，仅0:00计划）,1.1977939606,False,14865248.2839350030,14865329.9943004623,12602237.2548885420,0.0000000000,0.0000000000,2263011.0290464610,388254.0394979025,0.0000000000,0.0000000000,6396757.7763981316,5181552.0520363282,1868090.2692117735,215.8980021682,86047.2879449746,1322.5957581405,11.0499531032
RULE（不更新，仅0:00计划）,0.0716371536,False,15909815.7883490417,15906939.7538978420,15122850.0371960439,0.0000000000,0.0000000000,786965.7511529957,130253.5710754835,0.0000000000,0.0000000000,2776823.8479898470,2242953.1776165320,3281774.0847805459,93.4563824007,86677.6408178326,8491.9206571239,18.8311940847
