method,seconds,cvar_beta,cvar_alpha,train_cost,total_cost,adjusted_cost,plan_cost,up_cost,down_net_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,equivalent_cycles,cvar95,max_daily,daily_std,final_soc
PARETO,260.406580,0.000000,0.812088,406457.890474,13303102.392286,13303143.983132,12433308.877748,714077.633329,-156609.261292,312325.142501,60427.764801,602151.333555,487551.093476,6418966.987248,5199453.991113,1320287.774151,216.643916,63229.582792,68377.270759,14181.538203,1419.842104
PARETO,253.178009,0.000000,0.812088,406457.890474,13303102.392286,13303143.983132,12433308.877748,714077.633329,-156609.261292,312325.142501,60427.764801,602151.333555,487551.093476,6418966.987248,5199453.991113,1320287.774151,216.643916,63229.582792,68377.270759,14181.538203,1419.842104
PARETO,256.293578,0.000000,0.812088,406457.890474,13303102.392286,13303143.983132,12433308.877748,714077.633329,-156609.261292,312325.142501,60427.764801,602151.333555,487551.093476,6418966.987248,5199453.991113,1320287.774151,216.643916,63229.582792,68377.270759,14181.538203,1419.842104
PARETO,256.457799,0.000000,0.812088,406457.890474,13303102.392286,13303143.983132,12433308.877748,714077.633329,-156609.261292,312325.142501,60427.764801,602151.333555,487551.093476,6418966.987248,5199453.991113,1320287.774151,216.643916,63229.582792,68377.270759,14181.538203,1419.842104
PARETO,264.861059,0.000000,0.812088,406457.890474,13303102.392286,13303143.983132,12433308.877748,714077.633329,-156609.261292,312325.142501,60427.764801,602151.333555,487551.093476,6418966.987248,5199453.991113,1320287.774151,216.643916,63229.582792,68377.270759,14181.538203,1419.842104
