variant,alpha0,alpha_update,settlement,terminal,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
main_net_refund,0.6000000000,0.6000000000,net_refund,inventory_value,13386086.2841260061,13386165.0355510395,311326.6856769021,65261.9023347013,606724.0361670256,715987.0182991556,12604467.4515826106,711786.5135552799,-241494.3666887868,20640024.2149294093,20530761.2327972800,61602.7206641701,63667.7639757932,1329.7679810871
legacy_gross_settlement,0.6000000000,0.6000000000,legacy_gross,inventory_value,13448630.1525725499,13448710.5029163100,226705.0631684772,50544.9480817082,564741.2428093426,0.0000000000,12581841.7790162936,640083.3103877783,0.0000000000,20586685.1059703305,21151426.3487796709,61764.7457413962,63828.0362263769,1325.8923364510
stepwise_settlement,0.6000000000,0.6000000000,stepwise,inventory_value,13555574.6412207820,13555653.3926458210,310558.7480838849,64652.3165476495,853399.9443731867,958314.8066527104,12603071.2031636611,968070.9199789374,-326126.2300056971,20636776.8020840958,20531861.9398045689,61990.4781297977,64230.6964475431,1329.7679810871
fixed_target_soc,0.6000000000,0.6000000000,net_refund,fixed_target,13369439.5092994943,13367611.0819403268,286616.1922244699,52123.3560569064,581804.7261079045,731062.5705036260,12632529.8208661433,695430.4632668128,-245136.9670579337,20756995.6442893520,20607737.7998936325,61513.7415132636,63550.7036328667,5952.6090955025
day_horizon_only,0.6000000000,0.6000000000,net_refund,inventory_value,13396279.5257346220,13396358.2771596573,322628.5512130009,67863.5255181281,606724.0361670256,722512.2311085346,12606331.5230404623,711786.5135552799,-244467.0620741218,20644377.2072480954,20528589.0123065859,61604.4968821172,63680.7872887734,1329.7679810871
theory_quantiles,0.8000000000,0.7000000000,net_refund,inventory_value,13478826.7811805252,13478838.7315312438,147461.7337816020,29085.7548820720,259109.8541122212,1279399.5086276513,13452183.9125977233,321865.5830444469,-442684.4482432459,21881952.4415889382,20861662.7870735079,62423.6686318138,63705.8828791993,1491.6881720003
single_window_params,0.6000000000,0.5500000000,net_refund,inventory_value,13428858.9851652253,13428940.6955306809,406381.8898070470,84318.2061205366,555527.2105648922,747962.2829196617,12612700.1552634444,665511.7806971327,-255734.8406023990,20659207.2319657207,20466772.1596109532,61922.0200219842,63981.0216862418,1322.5957581405
no_intraday_bias_correction,0.6000000000,0.6000000000,net_refund,inventory_value,13596306.8282383736,13596388.5386038329,615496.9193324940,129258.4990027739,510586.7096257827,642559.2075188982,12595110.2957409211,584134.5620623736,-198434.9488974136,20617514.0930838399,20485541.5951907188,62106.0310336292,67797.1453727370,1322.5957581405
