parameter,value,theory_alpha0,theory_alpha_update,alpha0,alpha_update,frozen_cost,total_cost,adjusted_cost,retuning_saving
emergency,3.0000000000,0.6666666667,0.5000000000,0.6167000000,0.5500000000,13261555.6098552439,13269380.2257883307,13269456.1375329159,-7824.6159330867
emergency,7.0000000000,0.8571428571,0.7857142857,0.7071000000,0.6357000000,13510616.9583967645,13489646.6789606735,13489695.9302379675,20970.2794360910
up,1.2000000000,0.8000000000,0.7600000000,0.6500000000,0.6100000000,13243829.6182135716,13268650.0737883877,13268713.2457796670,-24820.4555748161
up,1.8000000000,0.8000000000,0.6400000000,0.6500000000,0.5900000000,13528390.4546730705,13513252.4237176776,13513316.0667527411,15138.0309553929
