method,seconds,note,total_cost,adjusted_cost,plan_cost,up_cost,down_net_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,equivalent_cycles,cvar95,max_daily,daily_std,final_soc,gap_vs_baseline_percent
A0 LP-MPC（改进版基线·分位法）,22.706538,,13386086.284126,13386165.035551,12604467.451583,711786.513555,-241494.366689,311326.685677,65261.902335,606724.036167,715987.018299,6577501.781990,5327948.241565,1407280.099740,221.997843,63667.763976,68827.719089,14300.072094,1329.767981,0.000000
A1 分位法 + 分段线性终端价值（只加 L2）,13.312748,,13392588.384212,13389670.349166,12658614.781766,694112.835605,-246318.420421,286179.187262,52037.446459,580503.041073,736374.520633,6980766.133704,5648054.803724,1449932.919688,235.335617,63572.315517,68662.165912,14126.840215,8593.726569,0.026186
A2 情景随机 LP + 常数终端价值（只加 L1）,252.891040,,13308707.215444,13308751.785603,12417213.990770,711737.787854,-148032.123365,327787.560185,62861.526783,602512.753886,457748.102466,6412001.625032,5193818.547164,1322558.620226,216.409106,63118.540242,68384.006478,14164.940210,1412.620498,-0.578308
A3 HYBRID-4L（完整融合）,254.437437,,13310698.979944,13307895.347482,12444596.572033,704044.818459,-150150.294458,312207.883910,54734.178722,590755.176141,462951.647986,6736866.567285,5450745.726950,1339755.091640,227.114405,62961.231128,68195.163391,14049.040650,8316.424319,-0.584706
A4 HYBRID 不做日内更新（仅 0:00）,63.040506,,15132613.505227,15129809.872765,12458435.945954,0.000000,0.000000,2674177.559274,427878.002064,0.000000,0.000000,6538658.023299,5290196.806321,1655053.017490,220.424867,90839.883849,132399.501451,19153.018789,8316.424319,13.025723
