train_cost,train_cvar90,temper,shrink,kappa,threshold,adj_premium,cvar_beta,cvar_alpha
406457.890474,63589.498626,0.903412,0.757704,0.864559,135.558829,1.231010,0.000000,0.812088
406457.890474,63589.498626,0.903412,0.757704,0.864559,135.558829,1.231010,0.000000,0.812088
406457.890474,63589.498626,0.903412,0.757704,0.864559,135.558829,1.231010,0.000000,0.812088
406457.890474,63589.498626,0.903412,0.757704,0.864559,135.558829,1.231010,0.000000,0.812088
406457.890474,63589.498626,0.903412,0.757704,0.864559,135.558829,1.231010,0.000000,0.812088
