parameter,value,baseline,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
window,56,28,13448099.6190361399,13448190.0970927384,329719.3962637740,71132.3533956268,658683.5021140724,718833.9008556332,12585150.5982068293,778907.3918824276,-245677.7673168925,20601944.2758883126,20541793.8771467507,61355.6742138956,63808.9780586623,1301.3436115560
decay_days,7.0,14.0,13375230.1080586724,13375318.8826003000,304510.7124625092,63672.4460089660,605907.3954197860,707747.8856079371,12595883.1315636411,712085.7902649866,-237249.5262324655,20629376.7900779881,20527536.2998898327,61348.3285774123,63615.8144736869,1305.4727886994
decay_days,28.0,14.0,13402530.5021367073,13402602.7607655115,317163.7347493571,66214.7880641690,614758.3748828367,719958.6297383048,12607747.6952203549,721966.3767597065,-244347.3045927121,20642386.7669857070,20537186.5121302381,61750.8132000247,63783.5167648253,1345.5059735636
bias_window,3,6,13464414.1414701007,13464495.8518355582,372044.1269141075,75367.9077408375,627379.2428925578,725609.8984632986,12597292.1984879225,740704.3107158376,-245626.4946477665,20623193.9123645872,20524963.2567938417,62167.8056540525,64084.1669765183,1322.5957581405
bias_window,12,6,13353956.4584251381,13354038.1687905937,287500.3030849060,60901.2049077958,597740.5125372184,712042.9570831140,12608161.3947884664,698185.1312210669,-239890.3706693038,20648575.3747418635,20534272.9301959686,61260.6228889963,63904.4808702583,1322.5957581405
bias_decay,3.0,6.0,13402550.3620052263,13402631.3914524913,359849.4467100892,79425.9824482208,570869.4447127860,694709.8719517005,12605861.4213678520,667228.4991649806,-230389.0052376955,20643108.4411659129,20519268.0139269978,61559.6719191445,64127.0353112266,1324.2462466254
bias_decay,12.0,6.0,13399403.3532117158,13399480.8922227845,296134.4749927252,59164.0713753068,639794.6706085682,731943.3664452969,12599494.0265495330,753277.9026544383,-249503.0509849799,20628509.7814093232,20536361.0855725929,61883.7111617034,63613.8143884177,1332.7067706648
slope,0.2,1000000.0,13339254.7785770185,13339375.0506308898,284612.6197381527,57836.4333589768,572145.1235813042,718060.3103701690,12620958.9191913046,672650.0413567259,-238966.8017091654,20674847.5534295589,20528932.3666406944,61576.7828567185,63600.2626965079,1229.1254657310
slope,3.2,1000000.0,13317408.9405492172,13317521.2591472939,279916.7191853411,56741.0630997018,564811.1779394272,709394.7604115146,12610683.3704339117,661925.1399159771,-235116.2889860152,20661736.2897806503,20517152.7073085643,61395.8397144192,63495.6701696123,1248.4039742507
weekday,0.0125,0.00625,13384724.0179226510,13384803.1070584580,309591.4177621263,64843.9092153464,610659.2715529390,709794.9298391838,12597815.1248504855,716823.3238356465,-239505.8485256083,20630558.9865203798,20531423.3282341361,61603.1056654820,63701.2463990158,1328.9493985500
