variant,alpha0,alpha_update,settlement,terminal,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc,cost_change_yuan,cost_change_percent,adjusted_change_percent
main_net_refund,0.6,0.6,net_refund,inventory_value,13386086.284126006,13386165.03555104,311326.6856769021,65261.9023347013,606724.0361670256,715987.0182991556,12604467.45158261,711786.5135552799,-241494.3666887868,20640024.21492941,20530761.23279728,61602.7206641701,63667.7639757932,1329.7679810871,0.0,0.0,0.0
legacy_gross_settlement,0.6,0.6,legacy_gross,inventory_value,13448630.152572548,13448710.50291631,226705.0631684772,50544.9480817082,564741.2428093426,0.0,12581841.779016292,640083.3103877783,0.0,20586685.105970327,21151426.34877967,61764.7457413962,63828.0362263769,1325.892336451,62543.86844654195,0.4672304295596098,0.4672396253830872
stepwise_settlement,0.6,0.6,stepwise,inventory_value,13555574.641220782,13555653.39264582,310558.7480838849,64652.3165476495,853399.9443731867,958314.8066527104,12603071.20316366,968070.9199789374,-326126.2300056971,20636776.802084096,20531861.93980457,61990.4781297977,64230.6964475431,1329.7679810871,169488.35709477589,1.2661531794828258,1.2661457306454211
fixed_target_soc,0.6,0.6,net_refund,fixed_target,13369439.509299494,13367611.081940327,286616.1922244699,52123.3560569064,581804.7261079045,731062.570503626,12632529.820866143,695430.4632668128,-245136.9670579337,20756995.644289352,20607737.799893633,61513.7415132636,63550.7036328667,5952.6090955025,-16646.77482651174,-0.12435878921722211,-0.13860544496080085
day_horizon_only,0.6,0.6,net_refund,inventory_value,13396279.525734622,13396358.277159655,322628.5512130009,67863.5255181281,606724.0361670256,722512.2311085346,12606331.523040462,711786.5135552799,-244467.0620741218,20644377.207248095,20528589.012306582,61604.4968821172,63680.7872887734,1329.7679810871,10193.241608615965,0.07614803455064904,0.0761475865682569
theory_quantiles,0.8,0.7,net_refund,inventory_value,13478826.781180523,13478838.731531244,147461.733781602,29085.754882072,259109.8541122212,1279399.5086276513,13452183.912597723,321865.5830444469,-442684.4482432459,21881952.441588935,20861662.787073508,62423.6686318138,63705.8828791993,1491.6881720003,92740.49705451727,0.6928126345972706,0.6923095280394425
single_window_params,0.6,0.55,net_refund,inventory_value,13428858.985165223,13428940.69553068,406381.889807047,84318.2061205366,555527.2105648922,747962.2829196617,12612700.155263444,665511.7806971327,-255734.840602399,20659207.23196572,20466772.159610953,61922.0200219842,63981.0216862418,1322.5957581405,42772.70103921741,0.3195310423924262,0.3195512670435168
no_intraday_bias_correction,0.6,0.6,net_refund,inventory_value,13596306.828238372,13596388.538603831,615496.919332494,129258.4990027739,510586.7096257827,642559.2075188982,12595110.29574092,584134.5620623736,-198434.9488974136,20617514.09308384,20485541.59519072,62106.0310336292,67797.145372737,1322.5957581405,210220.5441123657,1.5704406773595756,1.5704535428517354
