parameter,value,baseline,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc,cost_change_yuan,cost_change_percent
power,6000.0,5000.0,13345997.424805729,13346076.176230764,303033.2762538789,64779.7288186119,615543.3616778306,745183.1836367636,12571201.975100722,715785.5103128629,-244023.3368617363,20651691.98773675,20522052.165777825,61246.2830207714,63315.1126567005,1329.7679810871,-40088.85932027735,-0.2994815547231085
window,14,28,13431892.959174711,13432004.853225635,336138.7771554196,70228.3467617424,621649.4690150364,727308.052520678,12605172.077366607,735209.587383033,-244627.482730347,20644492.917827196,20538834.33432155,61814.1665910674,63956.2937468675,1249.4330408811,45806.67504870519,0.3421961735225433
window,56,28,13448099.61903614,13448190.097092738,329719.396263774,71132.3533956268,658683.5021140724,718833.9008556332,12585150.598206827,778907.3918824276,-245677.7673168925,20601944.275888313,20541793.87714675,61355.6742138956,63808.9780586623,1301.343611556,62013.33491013385,0.463267108801419
decay_days,7.0,14.0,13375230.108058672,13375318.8826003,304510.7124625092,63672.446008966,605907.395419786,707747.8856079371,12595883.13156364,712085.7902649866,-237249.5262324655,20629376.790077988,20527536.299889833,61348.3285774123,63615.8144736869,1305.4727886994,-10856.176067333668,-0.08110044890572346
decay_days,28.0,14.0,13402530.502136707,13402602.760765512,317163.7347493571,66214.788064169,614758.3748828367,719958.6297383048,12607747.695220353,721966.3767597065,-244347.3045927121,20642386.766985707,20537186.51213024,61750.8132000247,63783.5167648253,1345.5059735636,16444.21801070124,0.1228455999884129
bias_window,3,6,13464414.1414701,13464495.851835558,372044.1269141075,75367.9077408375,627379.2428925578,725609.8984632986,12597292.198487923,740704.3107158376,-245626.4946477665,20623193.912364587,20524963.25679384,62167.8056540525,64084.1669765183,1322.5957581405,78327.85734409466,0.5851438253239138
bias_window,12,6,13353956.458425138,13354038.168790592,287500.303084906,60901.2049077958,597740.5125372184,712042.957083114,12608161.394788466,698185.1312210669,-239890.3706693038,20648575.374741863,20534272.93019597,61260.6228889963,63904.4808702583,1322.5957581405,-32129.82570086792,-0.24002404451082407
bias_decay,3.0,6.0,13402550.362005226,13402631.391452491,359849.4467100892,79425.9824482208,570869.444712786,694709.8719517005,12605861.421367852,667228.4991649806,-230389.0052376955,20643108.441165913,20519268.013926998,61559.6719191445,64127.0353112266,1324.2462466254,16464.077879220247,0.12299396201221488
bias_decay,12.0,6.0,13399403.353211716,13399480.892222784,296134.4749927252,59164.0713753068,639794.6706085682,731943.3664452969,12599494.026549531,753277.9026544383,-249503.0509849799,20628509.781409323,20536361.085572593,61883.7111617034,63613.8143884177,1332.7067706648,13317.06908570975,0.09948441092525977
slope,0.2,1000000.0,13339254.778577019,13339375.050630888,284612.6197381527,57836.4333589768,572145.1235813042,718060.310370169,12620958.919191305,672650.0413567259,-238966.8017091654,20674847.55342956,20528932.366640694,61576.7828567185,63600.2626965079,1229.125465731,-46831.50554898754,-0.3498521117746196
slope,3.2,1000000.0,13317408.940549215,13317521.259147292,279916.7191853411,56741.0630997018,564811.1779394272,709394.7604115146,12610683.370433912,661925.1399159771,-235116.2889860152,20661736.289780647,20517152.707308564,61395.8397144192,63495.6701696123,1248.4039742507,-68677.34357679076,-0.5130502083961039
weekday,0.0125,0.00625,13384724.017922653,13384803.107058458,309591.4177621263,64843.9092153464,610659.271552939,709794.9298391838,12597815.124850484,716823.3238356465,-239505.8485256083,20630558.98652038,20531423.328234136,61603.105665482,63701.2463990158,1328.94939855,-1362.2662033531815,-0.010176732574693138
weekday,0.1,0.00625,13472607.563277893,13472691.847359648,348318.2743675644,71514.6541631196,686605.5977430232,684339.5393311924,12542557.216281846,816792.6318250794,-235060.5591965968,20541817.395420566,20544083.4538324,61907.26494523,64293.3700450072,1316.3572861007,86521.2791518867,0.6463523192323108
reserve,0.25,0.0,13391209.03980144,13391287.569242528,318274.6806794152,67177.6631473007,605668.3874573088,716281.2035855418,12604096.5297327,710431.2478668033,-241593.4184774782,20639161.28757993,20528548.4714517,61602.7206641701,63669.9662753418,1330.3060515234,5122.755675433204,0.03826925635096244
reserve,0.5,0.0,13401499.88865723,13401578.196114372,331346.7261757064,70400.2309181065,603847.9017766305,717064.3785840161,12603609.668768,708411.1232244185,-241867.629510893,20638029.21200143,20524812.73519405,61602.7206641701,63671.9839364266,1330.8441219597,15413.604531224817,0.11514646031755495
up,1.2,1.5,13243829.618213572,13243905.218331106,311147.5493460015,65111.3568019183,608260.6544327133,716351.462187188,12604193.68769763,570156.6321382873,-241668.250968347,20639386.47465813,20531295.666903656,61255.6944983981,62991.8597528229,1337.406485675,-142256.66591243446,-1.0627203716827271
up,1.8,1.5,13528390.45467307,13528469.206098104,311271.7201502384,65255.1916372186,606713.3960730126,715974.4174718646,12604469.536048092,854135.7562326405,-241486.5577578981,20640029.097231846,20530768.075832997,62089.4885814878,64586.9198491872,1329.7679810871,142304.1705470644,1.0630752523672053
emergency,3.0,5.0,13261555.609855244,13261634.36128028,186796.0114061413,65261.9023347013,606724.0361670256,715987.0182991556,12604467.45158261,711786.5135552799,-241494.3666887868,20640024.21492941,20530761.23279728,61347.3672246045,62926.8219056974,1329.7679810871,-124530.67427076213,-0.9302993543261244
emergency,7.0,5.0,13510616.958396764,13510695.7098218,435857.3599476629,65261.9023347013,606724.0361670256,715987.0182991556,12604467.45158261,711786.5135552799,-241494.3666887868,20640024.21492941,20530761.23279728,61808.2901687548,64650.9785946029,1329.7679810871,124530.6742707584,0.9302993543260966
