n_scen,fold1_adjusted_cost,emergency_kwh,seconds
3,453154.10855820274,867.6284703478974,1.203331708908081
5,455058.7433583023,585.261734872664,1.9064953327178955
8,449393.09487863735,2.222358480297089,2.956571578979492
12,450358.9564821347,0.0,3.963299036026001
16,450290.45249030576,0.0,3.9856116771698
20,450290.45249030576,0.0,3.957836389541626
27,450290.45249030576,0.0,3.966615676879883
