date,block,charge,discharge,soc_00,soc_24
2025-03-20,00:00-04:00,8308.1631544585,218.42968259399998,1743.2698650365,1357.4917158409
2025-03-20,04:00-08:00,1781.7614022832,5891.243219516201,1743.2698650365,1357.4917158409
2025-03-20,08:00-12:00,3461.2584088917,2552.1088673834,1743.2698650365,1357.4917158409
2025-03-20,12:00-16:00,6703.9868138611,254.72278333330001,1743.2698650365,1357.4917158409
2025-03-20,16:00-20:00,628.0706921297001,5786.3161893933,1743.2698650365,1357.4917158409
2025-03-20,20:00-24:00,336.0045057119,2831.9680236981,1743.2698650365,1357.4917158409
2025-06-21,00:00-04:00,1739.8628924947,136.7850293007,1443.4599232837,2220.3021380448
2025-06-21,04:00-08:00,1319.1094963105002,1731.1132288526,1443.4599232837,2220.3021380448
2025-06-21,08:00-12:00,9643.2304842787,0.0,1443.4599232837,2220.3021380448
2025-06-21,12:00-16:00,0.0,0.0,1443.4599232837,2220.3021380448
2025-06-21,16:00-20:00,41.7448143729,5889.6193181872995,1443.4599232837,2220.3021380448
2025-06-21,20:00-24:00,803.6021145221,2516.8397699772,1443.4599232837,2220.3021380448
2025-09-23,00:00-04:00,8683.3480356162,241.34975158609998,1234.4217300711,1276.2104742022
2025-09-23,04:00-08:00,1755.1372132375998,6248.4119479751,1234.4217300711,1276.2104742022
2025-09-23,08:00-12:00,5129.8361127319,1896.6157166665998,1234.4217300711,1276.2104742022
2025-09-23,12:00-16:00,5487.4768493685,523.0617252658001,1234.4217300711,1276.2104742022
2025-09-23,16:00-20:00,66.8024009434,5851.768369032699,1234.4217300711,1276.2104742022
2025-09-23,20:00-24:00,211.6955529652,2481.9625132946,1234.4217300711,1276.2104742022
2025-12-21,00:00-04:00,8541.158945609699,161.28237756,1820.5114843738,1448.6577008229
2025-12-21,04:00-08:00,2503.3151559762,1536.5353139944,1820.5114843738,1448.6577008229
2025-12-21,08:00-12:00,5132.092590641099,7806.666666666601,1820.5114843738,1448.6577008229
2025-12-21,12:00-16:00,7939.5702834594,1948.0469280214998,1820.5114843738,1448.6577008229
2025-12-21,16:00-20:00,10.322020540899999,5881.9501389206,1820.5114843738,1448.6577008229
2025-12-21,20:00-24:00,313.5937994691,2796.6297445469995,1820.5114843738,1448.6577008229
