strategy,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc,saving_yuan,saving_percent
none,14865248.283935005,14865329.994300462,2263011.029046461,388254.0394979025,0.0,0.0,12602237.254888542,0.0,0.0,20634231.449042343,20634231.449042343,70628.3898678382,86047.2879449746,1322.5957581405,0.0,0.0
18,13795378.163468396,13795456.914893432,681623.8869632406,140002.0205238636,295188.9456845577,55263.5674387426,12603896.642743053,543047.215982076,-33189.5822199731,20638701.10763052,20878626.485876337,62511.5121235506,71072.6857158292,1329.7679810871,1069870.1204666086,7.1971224431066245
12,14013065.248659018,14013146.959024476,1235606.4521886352,233315.7310964878,315344.2306552904,481707.4533572539,12595936.801331436,336102.2064629298,-154580.2113239829,20619543.603132486,20453180.38043052,65336.9989267058,73040.6687854875,1322.5957581405,852183.0352759864,5.732719824107799
12+18,13643420.337260792,13643499.088685827,681501.0436574554,139879.7403790731,435795.5995231976,532338.1755488716,12604492.590201931,542971.460036579,-185544.7566351722,20640082.85258534,20543540.276559666,62330.7829529051,69720.7587384273,1329.7679810871,1221827.9466742128,8.219357815870806
6,14302115.826218637,14302197.536584094,1357412.9889423542,232883.0037690917,531786.0864302124,582568.3729653063,12599051.294501549,531663.5743160598,-186012.0315413272,20626716.53667824,20575934.250143144,65924.5871814444,73405.9263613252,1322.5957581405,563132.4577163681,3.7882479119097523
6+18,13599400.648779152,13599479.400204193,314080.4017266041,65909.2623283499,737830.8907122863,639377.5727581327,12604533.133144837,901428.1717782704,-220641.0578705555,20640193.97190935,20738647.28986351,62081.4623366678,64089.0061554282,1329.7679810871,1265847.635155853,8.515482627517663
6+12,13764257.959994849,13764339.670360304,877441.7475464263,160461.6952214727,484669.2212897253,666156.899175332,12596159.683700671,501701.1004473392,-211044.5716995908,20620061.835376907,20438574.157491297,63866.3840445708,66578.6812822026,1322.5957581405,1100990.323940156,7.4064711393351255
6+12+18,13386086.284126006,13386165.03555104,311326.6856769021,65261.9023347013,606724.0361670256,715987.0182991556,12604467.45158261,711786.5135552799,-241494.3666887868,20640024.21492941,20530761.23279728,61602.7206641701,63667.7639757932,1329.7679810871,1479161.9998089988,9.95046952163955
