optimizer,fitness,evaluations,seconds,temper,shrink,kappa,threshold,adj_premium
GA,406042.4466292672,176,1431.008808851242,0.40281416702484524,0.7133709799876551,0.9904949608395242,288.7577660620512,1.2178242826791743
DE,406374.6060341902,176,1485.7815098762512,0.0,0.6758271169076675,1.08567522859673,500.0,1.2341577435128896
SA,406796.8527650515,104,830.6131942272186,0.51933812203006,0.7235548720010857,1.0256961815627998,433.84166658555404,1.4492385078630672
MEMETIC(GA/DE/SA best + NM),405891.6601947563,75,1207.817522764206,0.435229426955451,0.7409932193971669,0.9957343893583777,295.4264540278165,1.1798327534617428
