parameter,value,alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
up,1.2000000000,0.6500000000,0.8100000000,868563.8169766676,868447.4732455356,595.0659968509,105.2055666946,49105.1572599033,24582.0513819378,829739.6945665538,45627.1381428710,-7398.0817296082,1343150.9111063108,1367674.0169842760,63771.3041720676,64890.8476429063,2297.7536482658
up,1.2000000000,0.6500000000,0.8600000000,881997.7310959039,881765.9173244283,208.9750360366,37.0066777652,64875.9355389325,25722.2246060464,827735.8961706026,61596.8203578611,-7543.9604685965,1338500.9821054724,1377654.6930383586,64771.2642538482,67027.4441749895,2577.6433232162
up,1.2000000000,0.6500000000,0.9100000000,913175.4801844019,912806.7686541341,86.7879631837,15.7381098349,98558.6313529714,30950.5929403020,824331.2263957441,97432.2326820762,-8674.7668566023,1330592.0453683594,1398200.0837810291,67690.4748053723,70321.7438297082,2909.4719871349
up,1.2000000000,0.7000000000,0.6100000000,850291.4083805034,850389.2799072030,3535.6262121700,689.2757028916,12375.1779703632,35941.7973047992,846656.4193158871,12368.3470905701,-12268.9842381239,1370738.1874209503,1347171.5680865142,62384.7077188602,62569.6101912540,1778.5138635943
up,1.2000000000,0.7000000000,0.6600000000,852089.0720879248,852146.1641845590,2082.3309813980,394.3783749257,15633.8210095461,33010.3979603928,845797.0245105658,15189.0019125884,-10979.2853166274,1368744.6944835312,1351368.1175326845,62434.2879616672,62814.4642137547,1877.3597754144
up,1.2000000000,0.7000000000,0.7100000000,856123.6719704909,856138.2846453228,1434.6561460194,265.6969727224,20662.4521042391,30769.4979561146,844958.7739619570,19665.8770605584,-9935.6351980437,1366800.2487665077,1356693.2029146322,62839.8200829381,63308.2437501891,1980.3263243568
up,1.2000000000,0.7000000000,0.7600000000,861534.3825135425,861492.3967517785,903.8180865981,158.3380544466,27330.4987050569,29745.4310405041,844124.7818916630,25864.5425211867,-9358.7599859053,1364865.6812176933,1362450.7488822460,63262.1159499632,63925.8523623760,2117.5161787498
up,1.2000000000,0.7000000000,0.8100000000,869760.7285216091,869643.4658463658,578.3465019891,101.5305485911,37480.7301378735,29118.1189037232,842732.8343443568,35403.2083688542,-8953.6606935909,1361636.7320924602,1369999.3433266103,63812.1998487109,64828.3923984992,2299.9810915738
up,1.2000000000,0.7000000000,0.8600000000,883275.0951563236,883043.2813848482,192.2555411748,33.3316596617,53915.0236386519,30593.4996843457,840751.1147053019,51517.0533243323,-9185.3284144854,1357038.0199290202,1380359.5438833262,64836.4125008638,66975.8161516071,2577.6433232162
up,1.2000000000,0.7000000000,0.9100000000,914346.5169841251,913977.8054538575,70.0684683219,12.0630917314,88084.2932002242,36306.1454671790,837349.7409024708,87372.5660413382,-10445.8584280056,1349136.7262460757,1400914.8739791210,67722.0232594340,70272.7042090359,2909.4719871349
up,1.2000000000,0.7500000000,0.6100000000,855225.6627518275,855315.8209243680,3442.4869397556,647.5724818036,7731.3916831460,47883.8627614944,860665.7336464007,7903.2183762662,-16785.7762105951,1390216.5042063487,1350064.0331280003,62610.8925469983,62702.1506953714,1797.2103859300
up,1.2000000000,0.7500000000,0.6600000000,856613.9101391039,856647.4834258494,2072.0385490640,393.6730469077,9961.8231329950,44232.0605186138,859858.4072631786,9851.4973463624,-15168.0330195011,1388343.7916495819,1354073.5542639634,62692.1263461392,62847.2166581948,1934.3673943209
up,1.2000000000,0.7500000000,0.7100000000,859907.0220757944,859875.0645920187,1427.9576922570,265.6969727224,13309.3117694301,40639.8974698687,859123.4319182014,12929.8556154872,-13574.2231501510,1386638.9079915506,1359308.3222911123,62936.3058005948,63268.1017129790,2093.2084755730
up,1.2000000000,0.7500000000,0.7600000000,864536.0365143691,864474.9013668633,868.5127389170,152.2941705673,18635.4949778319,38143.8409905310,858407.7629823813,17648.4412939490,-12388.6805008783,1384978.8083955869,1365470.4623828875,63371.2513473758,63877.2395686881,2163.9326806826
up,1.2000000000,0.7500000000,0.8100000000,871685.7298521261,871565.4954080129,578.3465019891,101.5305485911,26397.2413913357,36021.6167633879,857156.9316730646,25294.8472465334,-11344.3955694611,1382077.1991868226,1372452.8238147702,63896.6138126272,64761.1365091542,2307.1844095991
up,1.2000000000,0.7500000000,0.8600000000,884324.7933751997,884092.9796037241,192.2555411748,33.3316596617,41261.7970759178,36425.8769899203,855223.6224572239,40047.2889415434,-11138.3735647424,1377590.7667770961,1382426.6868630936,64842.5954585283,66920.2393767335,2577.6433232162
up,1.2000000000,0.7500000000,0.9100000000,915558.8314491893,915190.1199189216,70.0684683219,12.0630917314,75826.9330295649,41601.1849606723,851837.9250281614,75851.5271105897,-12200.6891578837,1369725.8504229863,1403951.5984918789,67874.9371523063,70220.7462920769,2909.4719871349
up,1.2000000000,0.8000000000,0.6100000000,861828.3946892454,861889.7033402969,3387.0637043778,631.1317396591,2978.1495273165,62346.3630932116,877331.3010301598,3469.6128477006,-22359.5828929928,1413581.3147625418,1354213.1011966462,63138.2641815366,63338.7402975769,1867.1392018203
up,1.2000000000,0.8000000000,0.6600000000,862887.5020427804,862892.2258080369,2066.0910849817,393.6278838819,4395.8646521106,58200.5452554165,876495.7447619885,4831.7364712505,-20506.0702754402,1411643.1188261670,1357838.4382228609,63092.6110308636,63189.7990621316,2004.2962102112
up,1.2000000000,0.8000000000,0.7100000000,865457.4625945394,865412.9868670696,1422.2324076798,265.6969727224,6611.8485691231,53958.3112091595,875853.7311289464,6837.0289091119,-18655.5298511988,1410153.8735627891,1362807.4109227527,63300.6414607555,63369.7864683881,2123.5516463910
up,1.2000000000,0.8000000000,0.7600000000,869109.8966513681,868998.3639992449,832.2391490495,146.0845343664,9965.3547716882,50080.4397717940,875222.9141096119,9939.0356529697,-16884.2922602630,1408690.6004954393,1368575.5154953334,63616.4027430539,63852.5400399518,2286.0919970187
up,1.2000000000,0.8000000000,0.8100000000,875442.4996778478,875304.3685316609,578.3465019891,101.5305485911,16107.7668478576,45922.9441972181,874133.8640619189,15680.1531558647,-14949.8640419248,1406164.2652406443,1376349.0878912837,64136.6392058646,64729.9082829516,2350.5645115826
up,1.2000000000,0.8000000000,0.8600000000,886602.1179871738,886367.9470595628,192.2555411748,33.3316596617,27798.2883828557,43781.5738325409,872369.1889373307,27747.3886400225,-13706.7151313541,1402069.0383708349,1386085.7529211496,65064.1642835673,66884.2121679872,2583.3568716192
up,1.2000000000,0.8000000000,0.9100000000,916677.9490374041,916309.2375071367,70.0684683219,12.0630917314,60333.4155419920,47443.6260740041,869039.6633533397,61692.8480102240,-14124.6307944812,1394334.3208934222,1407224.1103614098,68006.9482419175,70182.5789548538,2909.4719871349
up,1.2000000000,0.8500000000,0.6100000000,873359.7854612217,873391.6359800763,3446.2606635970,635.8121453530,1300.9210567574,85352.7707510355,899922.8490110134,1664.5202331200,-31673.8444465087,1443858.6112056870,1359806.7615114092,64144.4866085139,64211.8003591943,1938.5432389259
up,1.2000000000,0.8500000000,0.6600000000,873840.3231224136,873815.5887554731,2128.0016113537,401.5246006872,1351.3479440916,79612.2386062602,899137.7371457096,1699.4580935822,-29124.8737282320,1442037.4284979543,1363776.5378357854,63965.4320469148,64393.5705808313,2075.7002473169
up,1.2000000000,0.8500000000,0.7100000000,875513.1149993123,875447.2497672070,1434.6561460194,265.6969727224,1717.3302583358,73591.9101497703,898459.3400379779,2073.7334289592,-26454.6146136442,1440463.7864016155,1368589.2065101808,64142.6562220258,64611.6566740194,2175.3980082874
up,1.2000000000,0.8500000000,0.7600000000,877775.1260761706,877647.7700504797,753.1782714997,132.1727643138,2804.7354253798,68257.3297855537,897879.6280081668,3105.5984238036,-23963.2786272997,1439119.0588910349,1373666.4645308612,64341.3646372172,64856.9017948202,2324.4465249235
up,1.2000000000,0.8500000000,0.8100000000,882257.5782048774,882092.5844381974,553.8445461694,97.3360855560,5764.2997684282,62454.4670632701,896927.1129666915,6032.4854273281,-21255.8647353115,1436909.3264789402,1380219.1591840982,64567.9965871481,65170.2956204693,2415.6772464156
up,1.2000000000,0.8500000000,0.8600000000,891104.1433762350,890857.5877669392,192.2555411748,33.3316596617,13657.5812469386,56345.5303806527,895439.1861821145,13669.0014402905,-18196.2997873448,1433456.0473513091,1390768.0982175949,65185.3695387148,66762.2991164325,2613.3762993498
up,1.2000000000,0.8500000000,0.9100000000,918198.1674930139,917829.4559627463,70.0684683219,12.0630917314,40698.1576650152,55389.7697707132,892262.8135794041,42620.9339752609,-16755.6485299730,1426076.3291409854,1411384.7170352875,68059.0217121663,69956.7919975260,2909.4719871349
up,1.2000000000,0.9000000000,0.6100000000,897582.0469923754,897564.9472440496,3446.2606635970,635.8121453530,464.7990331975,132912.5603621138,946120.0244982382,629.1835344438,-52613.4217039037,1499551.0345083722,1367103.2731794561,66784.1043093668,66851.6299878076,2057.1945733245
up,1.2000000000,0.9000000000,0.6600000000,898013.8002276506,897940.1155935299,2128.0016113537,401.5246006872,512.6547079299,127064.2708926153,945345.5373597982,668.2499934718,-50127.9887369729,1497754.4974208286,1371202.8812361429,66385.6615855909,66994.7899982011,2194.3515817154
up,1.2000000000,0.9000000000,0.7100000000,899516.1581181444,899401.3426188588,1470.7658328763,271.8785505461,581.7640826073,120510.9665908264,944672.0446248532,721.1422932558,-47347.7946328409,1496192.2317401399,1376263.0292319206,66488.3452646574,67224.9253685754,2294.0493426859
up,1.2000000000,0.9000000000,0.7600000000,901628.2274154961,901464.9191508021,916.7226196529,160.5471673551,665.9445011710,113590.9736500294,944111.7164608886,799.3576253393,-44199.5692903847,1494892.4111493896,1381967.3820005313,66582.7582772046,67465.0236592994,2411.5917312335
up,1.2000000000,0.9000000000,0.8100000000,904849.6900132311,904635.7459793711,575.8413301902,101.0992544878,1008.3757818284,104854.6384515977,943157.7005609850,1185.1311781990,-40068.9830561431,1492678.5996699969,1388832.3370002275,66804.4853990282,67821.7604848819,2534.3285808141
up,1.2000000000,0.9000000000,0.8600000000,909984.4808104192,909693.8762682386,169.8561737037,29.2426915217,2005.1225914938,93336.6118331470,941839.8775256806,2204.7497525465,-34230.0026415116,1489618.5894976393,1398287.1002559862,67139.8934851138,68687.9626428373,2720.1472112708
up,1.2000000000,0.9000000000,0.9100000000,925338.9809822992,924952.4181755338,70.0684683219,12.0630917314,10511.9683570953,76107.8031513632,938984.5103520418,11184.9565946943,-24900.5544327590,1482983.1718052013,1417387.3370109333,68443.3283960113,70239.0486210533,2952.7419813384
up,1.2000000000,0.9500000000,0.6100000000,945695.8305917364,945593.1281390036,3546.9247912230,657.3032059051,0.0000000000,227364.6396091414,1038117.3636162950,0.0000000000,-95968.4578157817,1604414.9971760716,1377050.3575669304,68976.5140375885,69054.4604680670,2264.6883356899
up,1.2000000000,0.9500000000,0.6600000000,946027.8528539968,945868.5655154691,2128.0016113537,401.5246006872,0.0000000000,221420.6716210198,1037325.3153361614,0.0000000000,-93425.4640935182,1602577.3019729448,1381156.6303519248,68632.8801245091,69137.9970067939,2401.8453440809
up,1.2000000000,0.9500000000,0.7100000000,947529.0040469507,947328.5858432582,1470.7658328763,271.8785505461,0.0000000000,214779.9025769631,1036657.2924310518,0.0000000000,-90599.0542169774,1601027.0044594023,1386247.1018824391,68742.4776855863,69346.6371599783,2501.5431050514
up,1.2000000000,0.9500000000,0.7600000000,949508.5740924095,949259.6631233083,916.7226196529,160.5471673551,0.0000000000,207654.5677773663,1036115.7188398967,0.0000000000,-87523.8673671401,1599770.1109829231,1392115.5432055565,68834.5777810705,69580.5187586414,2619.0854935989
up,1.2000000000,0.9500000000,0.8100000000,952479.9730848561,952180.4263465891,578.3465019891,101.5305485911,0.0000000000,198360.3347073295,1035208.5765297066,0.0000000000,-83306.9499468397,1597663.3368252392,1399303.0021179097,69020.9093412238,69926.0627374832,2741.8223431796
up,1.2000000000,0.9500000000,0.8600000000,957204.8938102581,956828.6865636703,192.2555411748,33.3316596617,18.5055951335,185273.1200284411,1033935.7517549398,8.8300094153,-76931.9434952718,1594705.7166737930,1409451.1022404854,69356.4962340857,70745.4273136525,2927.6409736363
up,1.2000000000,0.9500000000,0.9100000000,968258.4929280526,967792.1683502269,70.0684683219,12.0630917314,456.1489839643,159773.3203870689,1031133.2379395686,293.4961706339,-63238.3096504718,1588191.5287629671,1428874.3573598624,70425.1046863448,72083.4664271302,3146.0778120798
up,1.8000000000,0.6500000000,0.4900000000,859270.2836278019,859464.2348847806,15440.2277252738,2955.1326144367,12424.6166745014,33752.4397213695,835275.0205102868,20269.1217690785,-11714.0863768373,1355991.0372123527,1334663.2141654845,64062.1995491020,64398.1871702162,1545.6246708898
up,1.8000000000,0.6500000000,0.5400000000,854923.4868724385,855116.2559773895,8876.5270955254,1701.2947720723,14095.8219588574,30620.4115671778,834852.6554284606,21646.2623460831,-10451.9579976306,1355011.2991427022,1338486.7095343820,63821.3015114992,63835.7123453669,1548.4901080697
up,1.8000000000,0.6500000000,0.5900000000,854526.1000886111,854663.8494241748,4349.7377562561,865.6138182731,17129.1688654816,27828.9077250248,834296.3132157070,25190.2825913117,-9310.2334746636,1353720.7813678156,1343021.0425082722,63462.8569174686,63964.1529501320,1681.8534058042
up,1.8000000000,0.6500000000,0.6400000000,858285.3623335508,858384.8833432161,2665.7334664178,540.7548324164,21596.7197679542,26111.2629441769,833444.6803461474,30659.3232850224,-8484.3747640368,1351745.2933846107,1347230.7502083883,63704.5498150228,64401.1771309692,1774.5156554902
up,1.8000000000,0.6500000000,0.6900000000,864766.6875023135,864814.1242276324,1758.5926354068,328.7747821294,27198.9520397569,24820.9801810915,832531.5942803035,38339.7152290350,-7863.2146424318,1349627.2556535883,1352005.2275122537,64258.0121810342,65062.7050662770,1900.7635841508
up,1.8000000000,0.6500000000,0.7400000000,873093.4751968146,873085.0020788470,1022.2587311621,179.7747075181,34174.4170281292,24103.7548538374,831595.2961272129,47967.9266921404,-7492.0063537007,1347455.3740644194,1357526.0362387113,64872.1830623224,65892.6258395310,2036.2843462247
up,1.8000000000,0.6500000000,0.7900000000,885400.2337249016,885316.5548378956,724.4816585903,127.6698398367,44288.6633770150,24390.3889315955,830402.1729936489,61684.1317463395,-7410.5526736772,1344687.7490735499,1364586.0235189695,65721.2662612886,67117.4098912191,2218.5768109013
up,1.8000000000,0.7000000000,0.4900000000,861355.2169209237,861528.9485330809,15670.6023258758,2963.6215248682,8074.9542474146,43995.8260722830,847921.6544318139,13427.3331061621,-15664.3729429283,1373673.0867851973,1337752.2149603285,63747.5130454301,64001.4299560474,1594.6353908984
up,1.8000000000,0.7000000000,0.5400000000,856679.9480452827,856852.4975054124,8906.3088752335,1680.0201529246,9174.8508924424,40581.3122068778,847575.8350211453,14459.1864236636,-14261.3822747597,1372870.9076836694,1341464.4463692340,63412.8765755037,63454.0706072688,1597.5008280783
up,1.8000000000,0.7000000000,0.5900000000,855629.9420850950,855753.9188972769,4262.0793973844,823.7210521968,11327.9091559648,37146.4496406393,846989.2258742467,17179.2770316198,-12800.6402181557,1371510.1812932757,1345691.6408086014,63102.1253022161,63635.3379843240,1715.2368451891
up,1.8000000000,0.7000000000,0.6400000000,858120.0848638663,858180.8216899697,2569.7759744712,501.9809972392,14094.0680855404,34041.4161167972,846166.3736618750,20830.1785635235,-11446.2433360034,1369601.4542870785,1349654.1062558219,63360.6481369613,63942.5090603837,1868.5252574446
up,1.8000000000,0.7000000000,0.6900000000,863189.4577379439,863224.4836617110,1712.2734022190,320.2617467057,18399.7276153361,31601.3426892199,845305.4365836474,26472.9599470039,-10301.2121949264,1367604.3838203014,1354402.7687464177,63782.5370731315,64511.9364035796,1930.8463242441
up,1.8000000000,0.7000000000,0.7400000000,870633.1254781256,870620.8854867865,977.2779581243,171.2616720944,24410.3401083722,30149.9470718530,844533.0591008207,34704.5043606232,-9581.7159414426,1365812.7403899450,1360073.1334264642,64414.1841204525,65337.6206096848,2045.4149307501
up,1.8000000000,0.7000000000,0.7900000000,881554.5282689951,881469.9046216708,707.7621637285,123.9948217332,32729.3237039261,29179.5244165460,843374.8239311022,46517.0087338066,-9045.0665596423,1363126.0431741748,1366675.8424615550,65212.7907669949,66576.2160615209,2220.8668305250
up,1.8000000000,0.7500000000,0.4900000000,865238.0490943246,865385.1668230417,15817.8748664347,2952.0914729222,4540.8521015948,56568.1829630688,861905.1938015578,7904.0464959104,-20389.0660695783,1393091.6147495103,1341064.2838880364,63828.9464615943,64057.3915688816,1659.1452080173
up,1.8000000000,0.7500000000,0.5400000000,860287.5877572584,860433.5233339479,8889.8595249618,1652.0687765704,5345.9001114864,53033.7072558222,861586.0874820520,8808.3297539291,-18996.6890036845,1392351.4006008080,1344663.5934564720,63295.9655877143,63544.1651978669,1662.0106451973
up,1.8000000000,0.7500000000,0.5900000000,858521.9884266522,858637.7693873831,4157.7210343890,779.4628476636,6914.0688698906,49366.3326379301,860994.9150596929,10804.4777756259,-17435.1254430558,1390980.0890202948,1348527.8252522554,63162.3106878769,63292.1616577098,1735.1029004157
up,1.8000000000,0.7500000000,0.6400000000,860300.3105646074,860353.4427576357,2509.0842372889,476.4210054273,8895.0194202019,45626.3129470819,860200.0496242397,13380.9728057315,-15789.7961026526,1389136.2814687907,1352404.9879419110,63210.3819373576,63512.9543006102,1886.9582490085
up,1.8000000000,0.7500000000,0.6900000000,864357.6754887976,864354.2099401465,1705.4508310694,320.2617467057,11880.7198610859,42073.2623980366,859458.0239006107,17394.9697434414,-14200.7689863240,1387415.0434181558,1357222.5008812051,63604.1709301285,63978.6290418473,2024.1464189825
up,1.8000000000,0.7500000000,0.7400000000,869991.8810821592,869939.4408683196,946.1673954660,166.4935830921,16064.1876664619,38986.7641322172,858727.8560180244,23124.1442099774,-12806.2865413086,1385721.3113778254,1362798.7349120700,64217.4364151393,64815.7448822594,2142.8568921032
up,1.8000000000,0.7500000000,0.7900000000,879281.1335699611,879192.1151203392,707.7621637285,123.9948217332,22660.0777214602,36636.5112838924,857753.5651479944,32472.1700408659,-11652.3637826277,1383461.3000810728,1369484.8665186409,64942.7453743949,66036.1852777531,2231.5194620033
up,1.8000000000,0.8000000000,0.4900000000,871177.3829451802,871295.6511524083,15818.9539704083,2932.4591756616,1729.9416688243,72962.8333484206,878496.7374371020,3472.7886506536,-26611.0971129836,1416284.7163096122,1345051.8246300160,64216.6023909505,64470.9252593993,1729.0740239076
up,1.8000000000,0.8000000000,0.5400000000,865591.0228173384,865708.1088725389,8837.8744559224,1631.5383877300,1821.8782082778,68488.5972062794,878210.7937002877,3471.8755154241,-24929.5208542956,1415621.4276600778,1348954.7086620762,63635.7508684422,64075.7637826724,1731.9394610876
up,1.8000000000,0.8000000000,0.5900000000,863146.3173910211,863233.2488302632,4080.1893073247,757.9097135483,2549.5598793491,64006.7376378268,877638.9757720402,4506.9222250514,-23079.7699133952,1414295.0116817723,1352837.8339232949,63483.0793908671,63659.8980777274,1805.0317163060
up,1.8000000000,0.8000000000,0.6400000000,864457.2887875142,864481.5714590533,2497.8684330865,475.3049327319,3746.2227253516,59843.0327046168,876840.3658374369,6371.5857095168,-21252.5311925261,1412442.5182125003,1356345.7082332352,63275.9314064959,63650.8041483629,1956.8870648989
up,1.8000000000,0.8000000000,0.6900000000,867283.0968062229,867262.7391766190,1699.7255464922,320.2617467057,5608.2576485999,55612.5581962074,876096.9966156868,8853.7827593399,-19367.4081152958,1410718.1637199228,1360713.8631723151,63488.9407817587,63898.0621746088,2065.0914037862
up,1.8000000000,0.8000000000,0.7400000000,871459.9190729235,871366.3967904358,934.7013022210,166.4935830921,8210.7770421123,51570.6269162547,875523.6395090851,12578.8818299172,-17577.3035683000,1409388.1773905291,1366028.3275163868,64056.9822955344,64252.8185130275,2242.4363744175
up,1.8000000000,0.8000000000,0.7900000000,879010.6222191490,878892.6661869984,688.3657834820,120.6743765999,13012.4620344433,47538.3795605407,874626.6341927553,19410.4473108529,-15714.8250679413,1407307.4413285255,1372781.5238024280,64877.3860599699,65174.8899371760,2301.6617304548
up,1.8000000000,0.8500000000,0.4900000000,883043.5812846817,883132.3913597127,15928.1377612649,2939.9316583247,1171.9378836539,97243.5247293340,901081.8909923228,2370.7241809992,-36337.1716499052,1446547.1799398777,1350475.5930941973,64982.1081231573,65465.6320533379,1800.4780610133
up,1.8000000000,0.8500000000,0.5400000000,877384.5431276759,877472.1710506794,8911.1609786644,1638.0901870567,1192.2366346555,92716.4223812283,900796.4038605584,2349.5729615973,-34672.5946731442,1445884.9504530660,1354360.7647064931,64408.4410670423,64854.0374333031,1803.3434981932
up,1.8000000000,0.8500000000,0.5900000000,874233.7048460335,874291.1781530785,4117.9362866979,756.1221024422,1273.1157367570,87492.1451811692,900230.5017485449,2458.4151357046,-32573.1483249138,1444572.2570825871,1358353.2276381748,64195.5856166582,64353.3573852303,1876.4357534116
up,1.8000000000,0.8500000000,0.6400000000,874364.0147244160,874358.8392637583,2567.6651910888,484.4171278120,1327.3789106776,81998.6793421174,899467.9576115204,2528.5664780602,-30200.1745562533,1442803.4235473876,1362132.1231159475,64004.5997678617,64293.1957555718,2028.2911020045
up,1.8000000000,0.8500000000,0.6900000000,875689.2763366535,875639.4605748525,1726.6490780556,322.4935734088,1511.0834789174,76033.8914569645,898708.1115680266,2792.3063890793,-27537.7906985079,1441040.8486378680,1366518.0406598209,64244.1028609703,64521.2796629790,2136.4954408919
up,1.8000000000,0.8500000000,0.7400000000,877871.9201058696,877769.5526369478,926.9476298477,162.9933643677,2160.7521103244,70257.3936146637,898122.9208523124,3726.7986321616,-24904.7470084520,1439683.4125077031,1371586.7710033634,64494.3685622535,64771.5084714638,2263.8763630809
up,1.8000000000,0.8500000000,0.7900000000,882648.6931003183,882501.2789359705,642.5304786142,112.8278808594,4321.7204565442,64914.1775259114,897383.5535798693,7017.5959659821,-22394.9869241473,1437968.3411264850,1377375.8840571176,64857.6048730898,65057.0620277538,2373.0657675604
up,1.8000000000,0.9000000000,0.4900000000,906770.8592519587,906810.7190598096,15852.6896316489,2920.9100363324,396.5960880438,144805.7940208835,947289.6259669348,939.0038419088,-57310.4601885338,1502264.0975301689,1357854.8995973291,67033.5919572407,68100.7082599186,1919.1293954118
up,1.8000000000,0.9000000000,0.5400000000,901067.5811309150,901106.2587867383,8877.2754477314,1627.8640416259,360.8257005368,140319.3255728799,947002.7048465894,801.7952744519,-55614.1944378576,1501598.5416954544,1361640.0418231112,66858.8939336304,67485.2466909286,1921.9948325918
up,1.8000000000,0.9000000000,0.5900000000,897982.5089963720,897991.0320362368,4161.0891616820,762.6756001732,439.5394779449,135075.2972442199,946435.4747309387,909.1281468496,-53523.1830430983,1500282.7678247730,1365647.0100584985,66833.7387956435,66980.1799246129,1995.0870878102
up,1.8000000000,0.9000000000,0.6400000000,898005.3666477459,897951.2409199082,2567.6651910888,484.4171278120,479.8176273559,129489.6801499599,945644.3715144366,950.8799465838,-51157.5500043630,1498447.6872947291,1369437.8247721246,66452.1988168283,66932.2893192449,2146.9424364030
up,1.8000000000,0.9000000000,0.6900000000,899204.8132341783,899106.0472051972,1751.7043044474,326.7827502285,554.5677037184,123231.7362095841,944905.5195277834,1050.6529764472,-48503.0635744997,1496733.8111948606,1374056.6426889945,66442.5446293211,67133.4350710734,2255.1467752904
up,1.8000000000,0.9000000000,0.7400000000,900921.9447710440,900780.4497506479,1010.4135121490,176.9341113694,576.8852136385,116297.3231194087,944358.2625827865,1034.5933837867,-45481.3247076782,1495464.3680378278,1379743.9301320573,66531.4972375463,67363.7034314199,2358.7182600023
up,1.8000000000,0.9000000000,0.7900000000,903963.6051406735,903767.2407091454,699.5472138271,122.5805237386,823.3899659866,108607.7670819937,943585.8996838168,1511.9921850548,-41833.8339420254,1493672.3241587626,1385887.9470427555,66702.9433841026,67668.0510494698,2491.7171019589
up,1.8000000000,0.9500000000,0.4900000000,954628.0609159104,954582.3180193544,15976.1643706399,2950.0686086215,0.0000000000,239413.0497308326,1039288.1610833445,0.0000000000,-100636.2645380739,1607130.8666735787,1367717.8169427461,69878.0257089975,70387.9458382290,2126.6231577773
up,1.8000000000,0.9500000000,0.5400000000,948873.1384219431,948826.2133733592,8869.1647144258,1625.5907963004,0.0000000000,234894.6851703222,1039001.2399629991,0.0000000000,-98997.2662554819,1606465.3108388642,1371570.6256685420,69303.5852630914,69772.4842692389,2129.4885949572
up,1.8000000000,0.9500000000,0.5900000000,945712.9676418365,945635.8879772944,4161.0891616820,762.6756001732,0.0000000000,229543.9564275889,1038432.7999756696,0.0000000000,-96880.9214955153,1605146.7304924726,1375602.7740648836,68968.9648056351,69267.4175029233,2202.5808501756
up,1.8000000000,0.9500000000,0.6400000000,945793.0811005360,945653.3526682910,2652.0240843134,502.4271391751,0.0000000000,223888.4006173429,1037631.6059545302,0.0000000000,-94490.5489383076,1603288.0427294811,1379399.6421121382,68702.3791990236,69065.3941433911,2354.4361987685
up,1.8000000000,0.9500000000,0.6900000000,946894.1066897225,946709.7379563343,1751.7043044474,326.7827502285,0.0000000000,217498.9432598063,1036896.2378075483,0.0000000000,-91753.8354222734,1601581.5760380812,1384082.6327782751,68696.9773503158,69256.6483628055,2462.6405376559
up,1.8000000000,0.9500000000,0.7400000000,948558.7186241001,948331.6208992968,1010.4135121490,176.9341113694,0.0000000000,210532.8573978092,1036344.3584144571,0.0000000000,-88796.0533025059,1600300.7311881769,1389767.8737903680,68785.1382781148,69482.9583210213,2566.2120223677
up,1.8000000000,0.9500000000,0.7900000000,951189.7812506672,950907.8141147323,707.7621637285,123.9948217332,0.0000000000,202326.6067040033,1035605.2425034799,0.0000000000,-85123.2234165412,1598584.6391033465,1396258.0323993433,68928.9205504313,69781.8317236250,2699.2108643244
