cost,equivalent_cycles
1828297.8038625901,1.1195740407
1371521.3953333287,8.3170258331
1412919.6923797939,7.0255051504
1499446.9691493469,1.9941412821
1370810.0962498626,8.3228805883
1449242.4724994195,5.1485193599
1796333.1880675938,1.3772549502
1478353.9579056604,2.4953652544
1524119.3223583773,1.9284554445
1425051.7081709988,5.9601001607
1662638.9651509509,1.4212571768
