method,mean_gap_percent,median_gap_percent,worst_gap_percent,mean_seconds,mean_emergency_kwh,n_days
LP(基准),0.000000,0.000000,0.000000,0.004949,0.000000,10
DP(ngrid=40),2.167395,1.663723,4.421223,0.005229,0.000000,10
DP(ngrid=80),1.006509,0.932735,1.946595,0.008413,0.000000,10
DP(ngrid=160),0.529649,0.493348,1.057019,0.019474,0.000000,10
RULE(手工阈值),48.989671,40.562673,93.405705,0.000000,0.000000,10
GA(直接编码144维),20.314306,13.761335,41.509864,0.603753,13.630219,10
