alpha0,adjusted_cost,total_cost,cvar95,emergency_kwh,daily_std,max_daily
0.4500000000,13447653.7101855129,13447571.1002671383,64028.1444830931,72193.2838864166,14308.6127142492,69404.8872605444
0.5500000000,13394423.4888382815,13394340.8789199069,63713.5574152922,67668.4205040574,14289.8574227945,69003.4045166009
0.6000000000,13386165.0355510395,13386086.2841260061,63667.7639757932,65261.9023347013,14300.0720937952,68827.7190886592
0.7000000000,13411664.5449044667,13411613.7728719637,63684.0757131728,58929.7443564825,14337.5706104413,68444.7730182173
0.8000000000,13530340.5186884366,13530319.9102189522,63960.6315197010,53196.0614535052,14380.7723471286,68259.1490275269
0.9000000000,13781174.8935216293,13781193.0506462120,64629.7971280101,47058.3761307858,14504.1346324213,67827.0797968768
0.9500000000,14009221.6561123282,14009280.8199162241,65147.6572812589,44855.6857639673,14603.4168826253,67265.5980496718
