reference,period,days,daily_saving_mean,ci_low95,ci_high95
ridge_fixed_saa_h1,full334,334,87.29048174409952,-5.97998242716531,186.67743943310683
ridge_fixed_saa_h1,development153,153,226.91117250282556,45.1205232691073,407.07895589415716
ridge_fixed_saa_h1,frozen61,61,55.13131010489928,-124.80780669564535,272.45926874143146
hard6000,full334,334,-20.92127886938673,-39.62261948867966,-1.7787203191982408
hard6000,development153,153,37.268621201847196,6.325964145979982,76.2263984435035
hard6000,frozen61,61,-61.71160294189937,-153.76347264875176,4.594714964964616
