origin,iteration,weekday,initial_soc,initial_soc_dual,history_min_day,history_max_day
2025-05-01,1,6,8400.0,-0.4743333444444444,39,116
2025-05-01,1,6,9600.0,-0.47166667777777777,39,116
2025-05-01,1,6,10800.0,-0.384479991,39,116
2025-05-01,1,5,1200.0,-0.4770000111111112,38,115
2025-05-01,1,5,2400.0,-0.4761111222222221,38,115
2025-05-01,1,5,3600.0,-0.4746666777777777,38,115
2025-05-01,1,5,4800.0,-0.4743333444444444,38,115
2025-05-01,1,5,6000.0,-0.4720000111111112,38,115
2025-05-01,1,5,7200.0,-0.41255556666666665,38,115
2025-05-01,1,5,8400.0,-0.397979991,38,115
2025-05-01,1,5,9600.0,-0.395549991,38,115
2025-05-01,1,5,10800.0,-0.387989991,38,115
2025-05-01,1,4,1200.0,-0.47788889999999995,37,114
2025-05-01,1,4,2400.0,-0.4761111222222222,37,114
2025-05-01,1,4,3600.0,-0.47544445555555553,37,114
2025-05-01,1,4,4800.0,-0.47455556666666665,37,114
2025-05-01,1,4,6000.0,-0.4720000111111112,37,114
2025-05-01,1,4,7200.0,-0.4716666777777778,37,114
2025-05-01,1,4,8400.0,-0.399509991,37,114
2025-05-01,1,4,9600.0,-0.396089991,37,114
2025-05-01,1,4,10800.0,-0.382319991,37,114
2025-05-01,1,3,1200.0,-0.47900001111111107,36,113
2025-05-01,1,3,2400.0,-0.47900001111111107,36,113
2025-05-01,1,3,3600.0,-0.47788889999999995,36,113
2025-05-01,1,3,4800.0,-0.4770000111111112,36,113
2025-05-01,1,3,6000.0,-0.47544445555555553,36,113
2025-05-01,1,3,7200.0,-0.47455556666666665,36,113
2025-05-01,1,3,8400.0,-0.4743333444444444,36,113
2025-05-01,1,3,9600.0,-0.47166667777777777,36,113
2025-05-01,1,3,10800.0,-0.38231999099999997,36,113
2025-05-01,1,2,1200.0,-0.47900001111111107,42,112
2025-05-01,1,2,2400.0,-0.479000011111111,42,112
2025-05-01,1,2,3600.0,-0.47788889999999995,42,112
2025-05-01,1,2,4800.0,-0.4761111222222222,42,112
2025-05-01,1,2,6000.0,-0.47544445555555553,42,112
2025-05-01,1,2,7200.0,-0.47455556666666665,42,112
2025-05-01,1,2,8400.0,-0.4743333444444444,42,112
2025-05-01,1,2,9600.0,-0.47166667777777777,42,112
2025-05-01,1,2,10800.0,-0.399509991,42,112
2025-05-01,1,1,1200.0,-0.47900001111111107,41,118
2025-05-01,1,1,2400.0,-0.47900001111111107,41,118
2025-05-01,1,1,3600.0,-0.47788889999999995,41,118
2025-05-01,1,1,4800.0,-0.4770000111111111,41,118
2025-05-01,1,1,6000.0,-0.47544445555555553,41,118
2025-05-01,1,1,7200.0,-0.47455556666666665,41,118
2025-05-01,1,1,8400.0,-0.4743333444444444,41,118
2025-05-01,1,1,9600.0,-0.47166667777777777,41,118
2025-05-01,1,1,10800.0,-0.38231999099999997,41,118
2025-05-01,1,0,1200.0,-0.47900001111111107,40,117
2025-05-01,1,0,2400.0,-0.47900001111111107,40,117
2025-05-01,1,0,3600.0,-0.47788889999999995,40,117
2025-05-01,1,0,4800.0,-0.4770000111111112,40,117
2025-05-01,1,0,6000.0,-0.47544445555555553,40,117
2025-05-01,1,0,7200.0,-0.47455556666666665,40,117
2025-05-01,1,0,8400.0,-0.4743333444444444,40,117
2025-05-01,1,0,9600.0,-0.4716666777777777,40,117
2025-05-01,1,0,10800.0,-0.38231999099999997,40,117
2025-05-01,2,6,1200.0,-0.47900001111111107,39,116
2025-05-01,2,6,2400.0,-0.47900001111111107,39,116
2025-05-01,2,6,3600.0,-0.47788889999999995,39,116
2025-05-01,2,6,4800.0,-0.47700001111111107,39,116
2025-05-01,2,6,6000.0,-0.47544445555555553,39,116
2025-05-01,2,6,7200.0,-0.4745555666666667,39,116
2025-05-01,2,6,8400.0,-0.4743333444444444,39,116
2025-05-01,2,6,9600.0,-0.47166667777777777,39,116
2025-05-01,2,6,10800.0,-0.3823199909999999,39,116
2025-05-01,2,5,1200.0,-0.4770000111111112,38,115
2025-05-01,2,5,2400.0,-0.4761111222222221,38,115
2025-05-01,2,5,3600.0,-0.4746666777777777,38,115
2025-05-01,2,5,4800.0,-0.4743333444444444,38,115
2025-05-01,2,5,6000.0,-0.4720000111111112,38,115
2025-05-01,2,5,7200.0,-0.41255556666666665,38,115
2025-05-01,2,5,8400.0,-0.397979991,38,115
2025-05-01,2,5,9600.0,-0.395549991,38,115
2025-05-01,2,5,10800.0,-0.387989991,38,115
2025-05-01,2,4,1200.0,-0.47788889999999995,37,114
2025-05-01,2,4,2400.0,-0.4761111222222222,37,114
2025-05-01,2,4,3600.0,-0.47544445555555553,37,114
