policy,period,days,planned_cost,emergency_cost,raw_total_cost,terminal_value_adjustment,adjusted_total_cost,planned_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day_frequency,max_daily_cost,start_soc,end_soc
hard6000,full334,334,13286619.412291251,344679.071716632,13631298.484007882,-21.882073893095367,13631276.60193399,21760868.985471174,55958.20534543987,2648002.80305857,525,0.3592814371257485,83909.83923864056,6000.0,6046.08234579259
hard6000,development153,153,6200729.882888529,194231.6414552977,6394961.524343828,-86.15065781521707,6394875.373686013,10038848.557580873,31142.70423599997,1385039.69834047,326,0.46405228758169936,83909.83923864056,7435.284267603699,6216.203440390744
hard6000,frozen61,61,2901437.709136204,22995.798508288113,2924433.5076444917,-21.882073893095367,2924411.6255705985,4683819.397040121,4663.159302983333,282302.820986072,49,0.26229508196721313,71238.47021177279,6216.203440390744,6046.08234579259
ridge_fixed_saa_h1,full334,334,13310756.957195237,356684.25485754816,13667441.212052785,-33.2077381554127,13667408.00431463,21793083.239381745,57851.696271538276,2684082.7459570486,532,0.3532934131736527,83280.62902714737,6000.0,6069.933520933333
ridge_fixed_saa_h1,development153,153,6217861.009738797,206115.82495407987,6423976.834692877,-57.58968787280082,6423919.245005004,10062252.692985592,33044.27727730921,1411501.5825704215,338,0.477124183006536,83280.62902714737,7435.284267603699,6144.526913257409
ridge_fixed_saa_h1,frozen61,61,2908444.127189924,23116.79815042208,2931560.9253403465,-33.2077381554127,2931527.717602191,4692629.515545969,4655.077187772499,291920.8796545992,44,0.19672131147540983,71629.84765200224,6144.526913257409,6069.933520933333
v3_dual_terminal,full334,334,13292835.21940424,345450.9717460186,13638286.191150257,-1272.2092097724462,13637013.981940486,21779338.956377503,56159.330152003204,2667194.4594236067,528,0.36227544910179643,84177.725971331,6000.0,8681.78073189259
v3_dual_terminal,development153,153,6194055.322537198,195204.10276274668,6389259.425299944,938.1024069757793,6390197.52770692,10023939.038647885,31379.285368884965,1389878.6858992048,329,0.47058823529411764,84177.725971331,9967.4924212537,3915.627809890747
v3_dual_terminal,frozen61,61,2905315.770368363,22882.145055585574,2928197.9154239483,-1272.2092097724462,2926925.706214176,4693629.248299119,4640.4928672499955,286616.7691303745,49,0.26229508196721313,71234.66130718117,3915.627809890747,8681.78073189259
