strategy,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
none,14865248.2839350030,14865329.9943004623,2263011.0290464610,388254.0394979025,0.0000000000,0.0000000000,12602237.2548885420,0.0000000000,0.0000000000,20634231.4490423389,20634231.4490423389,70628.3898678382,86047.2879449746,1322.5957581405
18,13795378.1634683982,13795456.9148934316,681623.8869632403,140002.0205238636,295188.9456845577,55263.5674387426,12603896.6427430529,543047.2159820760,-33189.5822199731,20638701.1076305248,20878626.4858763367,62511.5121235506,71072.6857158292,1329.7679810871
12,14013065.2486590184,14013146.9590244740,1235606.4521886352,233315.7310964879,315344.2306552904,481707.4533572539,12595936.8013314363,336102.2064629297,-154580.2113239829,20619543.6031324863,20453180.3804305196,65336.9989267057,73040.6687854875,1322.5957581405
12+18,13643420.3372607902,13643499.0886858273,681501.0436574551,139879.7403790731,435795.5995231976,532338.1755488715,12604492.5902019311,542971.4600365791,-185544.7566351722,20640082.8525853418,20543540.2765596658,62330.7829529050,69720.7587384273,1329.7679810871
6,14302115.8262186386,14302197.5365840942,1357412.9889423549,232883.0037690918,531786.0864302122,582568.3729653063,12599051.2945015505,531663.5743160597,-186012.0315413272,20626716.5366782397,20575934.2501431443,65924.5871814444,73405.9263613252,1322.5957581405
6+18,13599400.6487791538,13599479.4002041910,314080.4017266040,65909.2623283499,737830.8907122862,639377.5727581328,12604533.1331448369,901428.1717782700,-220641.0578705555,20640193.9719093516,20738647.2898635045,62081.4623366678,64089.0061554282,1329.7679810871
6+12,13764257.9599948488,13764339.6703603063,877441.7475464263,160461.6952214727,484669.2212897253,666156.8991753322,12596159.6837006733,501701.1004473392,-211044.5716995908,20620061.8353769071,20438574.1574912965,63866.3840445708,66578.6812822026,1322.5957581405
6+12+18,13386086.2841260023,13386165.0355510395,311326.6856769021,65261.9023347013,606724.0361670254,715987.0182991556,12604467.4515826106,711786.5135552797,-241494.3666887868,20640024.2149294093,20530761.2327972800,61602.7206641701,63667.7639757932,1329.7679810871
