date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-12-01,64678.1893650797,5851.5853819309,-37.8558863354,5859.1487525633,76351.0676132386,76651.2402014621,86057.6159143486,89345.9741255057,890.5334070596,3357.7795814268,69.4213702698,22486.9779561914,18869.2859620778,319.8878051184,9914.3371543945,9186.7440237692,0.9076055556,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-12-02,68317.9976190204,7145.5220507186,-328.8076634041,2088.6148328615,77223.3268391966,77203.9474437486,90174.9060556000,93467.2287778448,293.6945507063,4202.6236811138,910.3009588691,23535.7267702686,19021.6620603979,609.0486686804,9186.7440237692,9233.7180499021,0.9153138889,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-12-03,57905.6556699735,17942.0249523721,0.0000000000,34.0269863808,75881.7076087265,76764.9004071007,78132.9349655910,89966.1611863123,4.7460752327,11833.2262207212,0.0000000000,20845.3848215597,18811.4683219006,774.2421952191,9233.7180499021,7092.9329205274,0.9120326389,0.0000000000,0.0000000000,1313.5660510665,10800.0000000000
2025-12-04,66440.2767097222,6891.6195966894,-760.5483657023,7215.5143316329,79786.8622723422,79650.7852977524,88777.2558412544,91327.3061363877,1060.8904160663,4032.6723234613,1482.6220283280,23008.1061234684,18339.7107232259,948.5924022114,7092.9329205274,7422.7720725092,0.9050854167,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-12-05,17774.8127513376,3998.5701436526,0.0000000000,1515.1855717481,23288.5684667383,23306.0764603149,40658.2536124530,44982.6053416402,308.1260609294,4324.3517291872,0.0000000000,20527.5458307947,16665.5062376677,117.0641261093,7422.7720725092,7380.3341672603,0.7171770833,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-12-06,20306.9983604987,4001.4383763901,0.0000000000,892.3394239535,25200.7761608423,24756.8595577004,45061.2415112483,49177.8727889925,178.5621278411,4116.6312777442,0.0000000000,22140.3817235188,16965.2943063519,516.7166830001,7380.3341672603,8456.3507113695,0.7271965278,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-12-07,69872.1078002293,3277.6737052144,-929.3823967369,3682.8790395121,75903.2781482189,75462.1459802326,93540.7077545577,93400.8408108877,542.6546837086,2105.1551147492,2245.0220584192,25284.5622487467,19518.1548449458,524.4068407953,8456.3507113695,9525.6180186351,0.9101083333,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-12-08,70541.9732831015,1078.9562567364,-500.6419928402,0.0000000000,71120.2875469976,71095.3422544130,94342.8840091182,93680.1280145504,0.0000000000,687.5676002548,1350.3235948227,24258.3733238605,19594.8636285414,1169.4072025646,9525.6180186351,9586.0833117302,0.9085152778,0.0000000000,0.0000000000,1200.5442947451,10800.0000000000
2025-12-09,69415.2402027378,1370.0256475707,-924.6176992484,445.9289014204,70306.5770524804,70296.8264749449,93796.6386294344,92358.4684939197,60.3084629166,710.1132033614,2148.2833388761,24738.6534089949,20017.0381387334,308.7074199081,9586.0833117302,9609.7178923441,0.9057770833,0.0000000000,0.0000000000,1402.1773309995,10800.0000000000
2025-12-10,66999.6974884176,4394.2270665933,-15.4804989565,194.1122085447,71572.5562645991,71717.7272428867,89796.7785480685,92971.5296566576,28.3570208764,3205.9582970585,31.2071884695,24256.8834130474,19964.7695920744,320.1543898943,9609.7178923441,9257.8356395596,0.9161590278,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-12-11,68429.1327114754,107.9718470920,-1202.9420217365,0.0000000000,67334.1625368309,67684.4694687582,92763.5700924313,90229.3312650342,0.0000000000,51.5315494407,2585.7703768378,22518.3155810148,19004.0387309400,753.7997149595,9257.8356395596,8408.7210725395,0.8976340278,0.0000000000,0.0000000000,1224.1374243103,10800.0000000000
2025-12-12,19256.1757912844,2416.5124535858,-28.9041405043,0.0000000000,21643.7841043659,23000.2852992635,42588.1503817347,45281.5966235660,0.0000000000,2776.9967876167,83.5505457855,17314.4858818706,16983.9739841027,1236.6712424647,8408.7210725395,5120.6761616645,0.7237798611,0.0000000000,0.0000000000,1404.6113910653,10800.0000000000
2025-12-13,23086.6394281049,1221.9544925197,-31.1690204126,0.0000000000,24277.4249002120,22727.0125396542,51705.6382066647,52774.3111637203,0.0000000000,1212.0967571343,143.4238000787,25346.4526839994,17148.3643200082,777.6894163957,5120.6761616645,8878.7454439216,0.7296965278,0.0000000000,0.0000000000,1588.8612069795,10800.0000000000
