method,month,tau,pv_bin,coverage,pinball,exceedance,effective_n,tail_effective_n
ManualWeekly,6,0.5,0,0.6813271604938271,139.53524535383596,69.7665814925044,19.592255030215775,9.796127515107887
ManualWeekly,6,0.5,1,0.4926900584795322,172.1093911578425,181.48345613304093,19.592255030215775,9.796127515107887
ManualWeekly,6,0.5,2,0.10416666666666667,354.25637540426584,678.0756731894841,19.592255030215775,9.796127515107887
ManualWeekly,6,0.8,0,0.9243827160493827,105.34185209435624,12.430503279320991,19.592255030215775,3.918451006043154
ManualWeekly,6,0.8,1,0.8022660818713451,116.51547796731411,48.358129842314135,19.592255030215775,3.918451006043154
ManualWeekly,6,0.8,2,0.1875,356.30549311011896,424.09859383432536,19.592255030215775,3.918451006043154
ManualWeekly,6,0.9,0,0.9683641975308642,69.81924157098764,5.115505766093478,19.592255030215775,1.959225503021577
ManualWeekly,6,0.9,1,0.8896198830409356,73.94861786868212,21.216324109231422,19.592255030215775,1.959225503021577
ManualWeekly,6,0.9,2,0.3229166666666667,269.9217485897816,284.268661830357,19.592255030215775,1.959225503021577
ManualWeekly,6,0.95,0,0.9830246913580247,42.49257708724651,2.820469090608467,19.592255030215775,0.9796127515107895
ManualWeekly,6,0.95,1,0.935672514619883,43.72989257416983,9.195653379803675,19.592255030215775,0.9796127515107896
ManualWeekly,6,0.95,2,0.4131944444444444,207.86264163293646,207.63769416666662,19.592255030215775,0.9796127515107896
ManualWeekly,7,0.5,0,0.1527777777777778,230.91052600198407,425.40550715277766,12.12853882822882,6.06426941411441
ManualWeekly,7,0.5,1,0.5128472222222222,169.35756467782738,187.00319006349204,12.12853882822882,6.06426941411441
ManualWeekly,7,0.5,2,0.6590277777777778,159.84848808878968,127.36736666071427,12.12853882822882,6.06426941411441
ManualWeekly,7,0.8,0,0.3819444444444444,235.1275027559524,256.14050411706353,12.12853882822882,2.4257077656457633
ManualWeekly,7,0.8,1,0.7763888888888889,117.86583768075396,59.50348676388888,12.12853882822882,2.4257077656457633
ManualWeekly,7,0.8,2,0.8729166666666667,119.16868346488096,41.70075892658731,12.12853882822882,2.4257077656457633
ManualWeekly,7,0.9,0,0.4305555555555556,206.11773369246023,201.01395991071416,12.12853882822882,1.2128538828228816
ManualWeekly,7,0.9,1,0.8739583333333333,72.93147531324404,26.882234855654758,12.12853882822882,1.2128538828228816
ManualWeekly,7,0.9,2,0.9236111111111112,76.86840375486112,22.039170780753977,12.12853882822882,1.2128538828228816
ManualWeekly,7,0.95,0,0.4791666666666667,178.47403614136903,168.7936723115079,12.12853882822882,0.6064269414114415
ManualWeekly,7,0.95,1,0.9013888888888889,48.25097200510916,20.23565365575397,12.12853882822882,0.6064269414114415
ManualWeekly,7,0.95,2,0.9534722222222223,46.027559733879,11.86452960119048,12.12853882822882,0.6064269414114415
ManualWeekly,8,0.5,1,0.6805555555555556,185.1392964409722,66.00678564649478,12.12853882822882,6.06426941411441
ManualWeekly,8,0.5,2,0.4636111111111111,140.2040059311508,166.12187975555554,12.12853882822882,6.06426941411441
ManualWeekly,8,0.8,1,0.8692129629629629,121.71421371428569,17.11237150628309,12.12853882822882,2.4257077656457633
ManualWeekly,8,0.8,2,0.7616666666666667,105.25484539111109,57.603964953968244,12.12853882822882,2.4257077656457633
ManualWeekly,8,0.9,1,0.9305555555555556,75.69275685896163,8.294547124669334,12.12853882822882,1.2128538828228816
ManualWeekly,8,0.9,2,0.8683333333333333,69.75272659888887,29.61737709404761,12.12853882822882,1.2128538828228816
ManualWeekly,8,0.95,1,0.9618055555555556,42.9650926483962,3.588192949735461,12.12853882822882,0.6064269414114415
ManualWeekly,8,0.95,2,0.9116666666666666,43.004902137380974,18.020509707936505,12.12853882822882,0.6064269414114415
ManualWeekly,9,0.5,0,0.24151234567901234,143.0899347205688,231.4701020078263,20.540544342058656,10.270272171029328
ManualWeekly,9,0.5,1,0.7381944444444445,207.73229154960322,77.91223078373017,20.540544342058656,10.270272171029328
ManualWeekly,9,0.5,2,0.8784722222222222,298.0919783531745,56.32085416666668,20.540544342058656,10.270272171029328
ManualWeekly,9,0.8,0,0.6419753086419753,92.23489554949296,65.0104279618607,20.540544342058656,4.108108868411731
ManualWeekly,9,0.8,1,0.9284722222222223,137.4475069392857,18.319566916666666,20.540544342058656,4.108108868411731
ManualWeekly,9,0.8,2,0.9375,180.4444711041666,24.12233900793654,20.540544342058656,4.108108868411731
ManualWeekly,9,0.9,0,0.7893518518518519,58.705240570987655,30.268259029982367,20.540544342058656,2.0540544342058653
ManualWeekly,9,0.9,1,0.9625,82.22706653541665,8.02777777876984,20.540544342058656,2.0540544342058653
ManualWeekly,9,0.9,2,0.9479166666666666,103.06159223214283,10.8351432043651,20.540544342058656,2.0540544342058653
ManualWeekly,9,0.95,0,0.8831018518518519,34.71616158242396,14.631270760582007,20.540544342058656,1.0270272171029338
ManualWeekly,9,0.95,1,0.9798611111111111,47.14615392013893,4.0895762152777735,20.540544342058656,1.0270272171029338
ManualWeekly,9,0.95,2,0.9652777777777778,57.318217452381,4.578734796626986,20.540544342058656,1.0270272171029338
ManualWeekly,10,0.5,0,0.44419642857142855,110.8209040265377,113.18807459573415,19.592255030215775,9.796127515107887
ManualWeekly,10,0.5,1,0.4074074074074074,98.86201059027778,140.6334897784391,19.592255030215775,9.796127515107887
ManualWeekly,10,0.8,0,0.7532242063492064,76.34752443842119,35.14749883680555,19.592255030215775,3.918451006043154
ManualWeekly,10,0.8,1,0.8055555555555556,62.885277203703666,29.706232288359725,19.592255030215775,3.918451006043154
ManualWeekly,10,0.9,0,0.863343253968254,48.66379067864228,17.391793653628117,19.592255030215775,1.959225503021577
ManualWeekly,10,0.9,1,0.8842592592592593,40.21867651620369,11.12234872354497,19.592255030215775,1.959225503021577
