strategy,strategy_name,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slot_count,emergency_event_count,emergency_day_count,emergency_slot_frequency,emergency_day_frequency
static,静态典型日,11732400.828822738,13393308.208587775,25125709.037410513,19867221.465450205,3239680.1666166666,3851509.464383333,6927382.487983541,5611179.815266667,25971,2257,293,0.5399825349301397,0.8772455089820359
point,点预测,12215706.632812232,3932416.05769701,16148122.690509243,20187768.38758316,1012312.1970529363,1975384.5223549355,6765824.038497337,5480317.471182843,22372,4980,334,0.4651530272787758,1.0
q80,加权Q80,13401578.168429611,1258264.3911074586,14659842.55953707,21975997.41045808,325004.05719219573,3040100.669237487,6956375.281295394,5634663.977849268,10122,3901,330,0.21045409181636726,0.9880239520958084
saa,两阶段SAA（主方案）,13501328.228792125,1037912.3091393096,14539240.537931435,22151276.041777074,275365.94173729746,3158994.6169653614,6991883.534643926,5663425.66306158,9223,3748,328,0.19176230871590152,0.9820359281437125
oracle,完美信息Oracle,12245046.915277628,0.0,12245046.915277628,20218838.18025311,0.0,990168.0903121398,6786739.973548971,5497259.378574667,0,0,0,0.0,0.0
