alpha,模型,MAE_kW,RMSE_kW,bias_kW,低估频率
0.0,Weekly,272.4394557946904,389.2042801353938,-1.131466302306936,0.4861111111111111
0.25,Weekly+Trend,257.8453637226254,373.73195212127007,-0.6467878597188805,0.48902195608782434
0.5,Weekly+Trend,249.59756914650671,366.7838284221513,-0.16210941713081292,0.49024866932801064
0.75,Weekly+Trend,249.3565711145941,368.8419525252171,0.32256902545724137,0.4922862608117099
1.0,Weekly+Trend,257.29651223835447,379.7599234887595,0.8072474680452939,0.4965693612774451
