检验,统计量,判定阈值,结论
功率平衡,1.4921397450962104e-13,<1e-6 kWh,通过
SOC递推,9.094947017729282e-13,<1e-6 kWh,通过
首尾SOC,0.0,<1e-6 kWh,通过
LP原始-对偶相对间隙,2.0713320765478683e-15,<1e-10,通过
同时充放电时槽数,0.0,=0,通过
