,负荷_kW,负荷_kW,负荷_kW,负荷_kW,光伏_kW,光伏_kW,光伏_kW,光伏_kW,净负荷_kW,净负荷_kW,净负荷_kW,净负荷_kW
,mean,min,max,count,mean,min,max,count,mean,min,max,count
电价带,,,,,,,,,,,,
低价,3518.633319444444,3309.3934,5462.3628,36,216.23746111111112,0.0,7472.7384,36,3302.3958583333333,-2010.3756000000003,3546.3976,36
平价,5011.074352777778,3412.9563,5923.7828,72,3419.295273611111,0.0,7612.316,72,1591.7790791666666,-2117.5253000000002,4956.4995,72
高价,4963.352658333333,4122.7611,5958.9696,36,2192.3112694444444,0.0,6599.3808,36,2771.041388888889,-701.9014999999999,4655.6683,36
