方案,购电量_kWh,总成本_元,相对无储能节省率
无储能,61789.9354,48052.046590846665,0.0
简单峰谷规则,63639.87279999999,40289.1999811,0.16155080086069418
完整LP,59482.69899835391,35126.948589289634,0.26898121762870153
