method,seed,month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,spill_kwh,cost_delta_vs_manual_yuan
ManualWeekly,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
ManualWeekly,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
ManualWeekly,0,4,933954.995452921,89016.01984104363,1022971.0152939647,24763.95299952376,306679.5376072723,0.0
ManualWeekly,0,5,973874.1337636812,98411.63008846506,1072285.7638521462,24896.411811335718,377078.1803756238,0.0
ManualWeekly,0,6,1329566.2196843424,165282.5210333137,1494848.740717656,42797.07863928463,323755.7721747619,0.0
ManualWeekly,0,7,1481353.2093784483,136061.43762464816,1617414.6470030965,37172.409119800104,339185.61810130265,0.0
ManualWeekly,0,8,1286592.4469780778,88702.7400990227,1375295.1870771006,23177.25326584524,392709.25195655925,0.0
ManualWeekly,0,9,1142345.752501555,90761.23116564465,1233106.9836671995,24158.66946428572,379294.5268609524,0.0
ManualWeekly,0,10,1111084.5032925291,82278.67872082107,1193363.18201335,21014.935781190477,272630.56786942855,0.0
ManualWeekly,0,11,1258564.1122011712,57284.76245375335,1315848.8746549245,15446.587506428577,159520.87499835977,0.0
ManualWeekly,0,12,1666347.6530556853,85861.70485672158,1752209.3579124068,23426.348750952387,188934.82408333334,0.0
Ridge,2026,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
Ridge,2026,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
Ridge,2026,4,924253.2905618718,105508.1367459261,1029761.427307798,29617.032396997434,295087.66289937723,6790.412013833295
Ridge,2026,5,969701.7301717253,90676.59466920883,1060378.324840934,22587.839516843138,372151.31400280405,-11907.439011212206
Ridge,2026,6,1312684.4717214121,143632.09945664366,1456316.5711780558,37103.31482013178,295543.8744558789,-38532.169539600145
Ridge,2026,7,1485499.637409207,85790.38172197843,1571290.0191311855,24096.58048041234,332685.39072024584,-46124.62787191104
Ridge,2026,8,1293596.986195786,85065.72825589552,1378662.7144516814,22622.918675555393,401758.860766015,3367.5273745807353
Ridge,2026,9,1080822.58493557,115930.91069121097,1196753.495626781,30264.44129268034,300211.8122912165,-36353.4880404186
Ridge,2026,10,1098493.5334722307,89750.2948657736,1188243.8283380042,23581.73272089983,259361.47417533057,-5119.35367534589
Ridge,2026,11,1263580.2259515477,55262.01709200226,1318842.24304355,14702.219357921673,166413.95813237378,2993.3683886255603
Ridge,2026,12,1661020.0611775748,60616.17591003943,1721636.2370876144,16744.08268321778,172891.59701209326,-30573.120824792422
SeasonalEWMA,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
SeasonalEWMA,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
SeasonalEWMA,0,4,954951.8506587304,73883.5904682815,1028835.4411270119,20415.568753275013,333835.325434293,5864.425833047251
SeasonalEWMA,0,5,981161.7751790921,120677.57455618425,1101839.3497352763,29663.88182873285,394107.3442928969,29553.585883130087
SeasonalEWMA,0,6,1361198.0853635506,202083.68485553903,1563281.7702190895,51290.66342359757,378256.65467247204,68433.02950143348
SeasonalEWMA,0,7,1498475.472030736,144681.323735459,1643156.795766195,39065.71024113584,366960.6176810273,25742.14876309852
SeasonalEWMA,0,8,1295837.123201254,105194.69375314505,1401031.8169543992,27700.933316774426,411787.52919513395,25736.629877298605
SeasonalEWMA,0,9,1147227.3777214205,85806.10294252244,1233033.4806639429,23004.363246668654,386916.7748244022,-73.50300325662829
SeasonalEWMA,0,10,1129838.877289728,88393.63892434843,1218232.5162140764,22792.346532024934,302013.25921246834,24869.334200726356
SeasonalEWMA,0,11,1271917.9639198817,59374.128746828756,1331292.0926667105,16829.485486669055,178402.59218239484,15443.218011785997
SeasonalEWMA,0,12,1693210.4339182174,89861.69235562271,1783072.1262738402,23992.58079878674,227343.9285128843,30862.76836143341
SeasonalNaive7,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
SeasonalNaive7,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
SeasonalNaive7,0,4,959152.853853877,101903.86065624164,1061056.7145101186,27706.15766666666,348924.09626843623,38085.69921615394
SeasonalNaive7,0,5,1009842.36029368,125368.01268829168,1135210.3729819716,31496.612033333335,439372.55476099794,62924.609129825374
SeasonalNaive7,0,6,1402516.699952251,215848.57698622497,1618365.2769384761,55594.93379999999,440159.3201088333,123516.53622082015
SeasonalNaive7,0,7,1523187.5373318472,179676.20596735828,1702863.7432992056,48952.370599999995,411646.83008441975,85449.09629610903
SeasonalNaive7,0,8,1314657.6177108847,119235.10688612817,1433892.7245970126,31573.559567,442077.7867156625,58597.537519912
SeasonalNaive7,0,9,1174382.4325649578,92376.41582441668,1266758.8483893746,25088.01116666667,425793.2811033456,33651.86472217506
SeasonalNaive7,0,10,1160716.4646628841,85956.70024002499,1246673.1649029092,22893.652116666664,343337.6907757387,53309.98288955912
SeasonalNaive7,0,11,1290072.4690375766,72293.70677296666,1362366.1758105434,20185.001199999995,208098.62485663578,46517.30115561886
SeasonalNaive7,0,12,1709681.4165656734,98338.11819008333,1808019.5347557566,26014.371166666664,252194.17110658437,55810.17684334982
SimplexWeekly,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
SimplexWeekly,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
SimplexWeekly,0,4,953093.6413103697,83789.47988035946,1036883.1211907291,23075.437369203333,334663.8932950684,13912.105896764435
SimplexWeekly,0,5,988964.9090161698,119460.72264206955,1108425.6316582395,29225.10788457853,406116.3838215205,36139.8678060933
SimplexWeekly,0,6,1370138.64385995,195662.3457409723,1565800.9896009222,49895.52926534167,389602.7565054572,70952.24888326623
SimplexWeekly,0,7,1493269.6060319145,146256.4261564058,1639526.0321883203,39685.05033601443,360096.4604304558,22111.38518522377
SimplexWeekly,0,8,1299652.4639706325,104544.4477214263,1404196.911692059,27566.44440526038,417014.5894384738,28901.72461495828
SimplexWeekly,0,9,1147470.9763754294,84372.58894670039,1231843.5653221298,22617.016797463028,386931.35814160114,-1263.4183450697456
SimplexWeekly,0,10,1129522.2791796103,88212.15812338304,1217734.4373029934,22918.045114109667,302196.16998082964,24371.255289643304
SimplexWeekly,0,11,1275168.4842463091,59046.58669681155,1334215.0709431206,16716.57272672547,182803.67598232045,18366.196288196137
SimplexWeekly,0,12,1697046.786403214,88173.58392413871,1785220.3703273528,23507.247426765432,232362.98153397234,33011.01241494599
StructuralStateSpace,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
StructuralStateSpace,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
StructuralStateSpace,0,4,982079.6764647525,209106.017026828,1191185.6934915804,55202.66921686283,398642.53613510943,168214.67819761578
StructuralStateSpace,0,5,1081779.173368704,203935.27194194423,1285714.4453106483,45951.92572501519,581148.8305074455,213428.68145850208
StructuralStateSpace,0,6,1411557.9037068088,178737.00404018426,1590294.9077469932,56523.80410745699,416116.4326186758,95446.16702933726
StructuralStateSpace,0,7,1452123.934508058,100598.64436967965,1552722.5788777377,27026.832665066737,291884.66650058556,-64692.06812535878
StructuralStateSpace,0,8,1261523.1660015415,99341.61524277236,1360864.7812443138,25401.25736117364,358686.40644479543,-14430.405832786812
StructuralStateSpace,0,9,1100612.8087094042,65862.08172879668,1166474.890438201,17185.314340099056,319805.8447516119,-66632.0932289986
StructuralStateSpace,0,10,1113591.0991241147,52094.32669653662,1165685.4258206512,13711.680308325509,271419.05510128423,-27677.756192698842
StructuralStateSpace,0,11,1257069.8818297666,47701.99641375457,1304771.878243521,12968.400056648528,155451.57014157137,-11076.996411403408
StructuralStateSpace,0,12,1640267.8547362224,63677.04386435559,1703944.898600578,17413.89182417838,145948.80617907527,-48264.459311828716
WeeklyTrend,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
WeeklyTrend,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
WeeklyTrend,0,4,939273.4742144814,109053.11970056368,1048326.5939150451,29527.64744876427,322151.86122862535,25355.578621080494
WeeklyTrend,0,5,988290.1170106388,103036.38542978605,1091326.5024404249,26205.172898367855,401237.65571244294,19040.738588278648
WeeklyTrend,0,6,1349118.0530788624,174326.94713731098,1523445.0002161732,44890.579999256304,357325.0762978535,28596.25949851726
WeeklyTrend,0,7,1480452.7415894575,149958.19984199264,1630410.9414314502,40278.06498325101,342869.5775564973,12996.294428353664
WeeklyTrend,0,8,1292610.1457147428,101311.60577384505,1393921.7514885878,26924.085004523815,404498.33046967705,18626.564411487198
WeeklyTrend,0,9,1144844.2283464237,76731.15756714877,1221575.3859135725,20438.871622916664,384699.7601718247,-11531.597753626993
WeeklyTrend,0,10,1138013.9058553032,76856.66088296917,1214870.5667382723,20061.316035952383,309923.8996488907,21507.384724922245
WeeklyTrend,0,11,1277792.8925752272,59430.697053036616,1337223.5896282638,16652.78678989932,186515.35835090093,21374.714973339345
WeeklyTrend,0,12,1669384.3388628552,86384.40618546854,1755768.7450483236,22878.52320065476,194741.25393653574,3559.387135916855
XGBoost,2026,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
XGBoost,2026,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
XGBoost,2026,4,929919.9143184812,98075.71731153612,1027995.6316300174,26580.110450006578,307929.10683070193,5024.616336052772
XGBoost,2026,5,956617.8260165832,116166.0388011337,1072783.8648177169,29239.14007747287,356481.75008568086,498.10096557065845
XGBoost,2026,6,1323304.0075734658,125573.58872777906,1448877.596301245,33625.19290439872,307309.27035604225,-45971.14441641094
XGBoost,2026,7,1490474.8196349894,108245.70745430177,1598720.527089291,30382.396658726728,355465.2118181452,-18694.11991380551
XGBoost,2026,8,1302477.520379077,75837.79183347357,1378315.3122125505,19885.39567368172,407390.98406214925,3020.1251354499254
XGBoost,2026,9,1107342.5521286833,97436.42490788746,1204778.977036571,27668.915393187734,327022.64284434076,-28328.006630628603
XGBoost,2026,10,1098396.319847046,99157.72493868989,1197554.044785736,24680.691433044587,265354.62962232734,4190.862772385823
XGBoost,2026,11,1269577.3758236784,49566.4633778225,1319143.839201501,13700.334148353677,171614.1334948342,3294.964546576608
XGBoost,2026,12,1661499.1066980455,76412.38434441577,1737911.4910424612,21310.005971566297,179253.13710451344,-14297.866869945545
