alpha,rho,window_days,cyclic_soc_kwh,MAE_kW,RMSE_kW,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,emergency_event_count,emergency_day_frequency,emergency_slot_frequency,实验组
0.0,0.9516951530106196,21,6000.0,272.4394557946904,389.2042801353938,13501328.22879211,1037912.309139309,14539240.537931439,22151276.04177709,275365.9417372976,3158994.616965362,3748,0.9820359281437125,0.19176230871590152,alpha
0.25,0.9516951530106196,21,6000.0,257.8453637226254,373.73195212127007,13491871.214629257,1016067.4138250485,14507938.628454305,22142563.700470384,269351.25211188645,3144216.635586598,3812,0.9880239520958084,0.18839404524284764,alpha
0.5,0.9516951530106196,21,6000.0,249.59756914650671,366.7838284221513,13499776.56311381,1011086.1691363914,14510862.73225021,22157488.92934104,267986.9570553268,3157167.9368133806,3896,0.9910179640718563,0.18666833000665337,alpha
0.75,0.9516951530106196,21,6000.0,249.3565711145941,368.8419525252171,13526393.534007814,1025065.5825850897,14551459.116592888,22197077.420322847,271554.12167326035,3199426.3428810355,3914,0.9910179640718563,0.18556636726546907,alpha
1.0,0.9516951530106196,21,6000.0,257.29651223835447,379.7599234887595,13571481.862919495,1059639.1395148807,14631121.002434375,22261794.900878657,280651.9774829879,3271601.7426685174,3906,0.9940119760479041,0.1856079507651364,alpha
0.0,0.9,21,6000.0,272.4394557946904,389.2042801353938,13478235.799025696,1017227.5688958034,14495463.36792149,22117802.626848422,270055.05117798597,3120339.4390144907,3900,0.9880239520958084,0.19161676646706588,rho
0.0,0.95,21,6000.0,272.4394557946904,389.2042801353938,13499447.539414277,1038472.6920818768,14537920.231496152,22148547.78910962,275530.7876364034,3156464.469802982,3749,0.9820359281437125,0.19199101796407186,rho
0.0,0.9516951530106196,21,6000.0,272.4394557946904,389.2042801353938,13501328.22879211,1037912.309139309,14539240.537931439,22151276.04177709,275365.9417372976,3158994.616965362,3748,0.9820359281437125,0.19176230871590152,rho
0.0,0.98,21,6000.0,272.4394557946904,389.2042801353938,13506161.563761432,1076470.8274290971,14582632.391190521,22154592.034417953,286300.32126791705,3173586.6557192574,3676,0.9790419161676647,0.1953384896872921,rho
0.0,1.0,21,6000.0,272.4394557946904,389.2042801353938,13458211.012107909,1164517.5043636542,14622728.516471555,22083021.385666538,311101.0336973068,3126662.627954236,3740,0.9820359281437125,0.20775116433799068,rho
0.0,0.9516951530106196,14,6000.0,272.4394557946904,389.2042801353938,13450305.761179427,1116693.7602851004,14566999.521464547,22078791.17167911,295518.6446951893,3107170.8666524696,3944,0.9880239520958084,0.20043246839654025,window
0.0,0.9516951530106196,21,6000.0,272.4394557946904,389.2042801353938,13501328.22879211,1037912.309139309,14539240.537931439,22151276.04177709,275365.9417372976,3158994.616965362,3748,0.9820359281437125,0.19176230871590152,window
0.0,0.9516951530106196,28,6000.0,272.4394557946904,389.2042801353938,13515668.386179766,1002914.321308229,14518582.707488013,22171148.33055945,267312.6939529273,3171063.446655346,3607,0.9790419161676647,0.18870592149035262,window
0.0,0.9516951530106196,42,6000.0,272.4394557946904,389.2042801353938,13510970.29517619,981507.6689404158,14492477.964116614,22164070.267123137,261939.430805757,3158989.8251257488,3571,0.9760479041916168,0.1870217897538257,window
0.0,0.9516951530106196,21,4800.0,272.4394557946904,389.2042801353938,13497680.822953638,1038389.3868881625,14536070.209841803,22137801.795710865,275486.90323134523,3158165.627450988,3748,0.9820359281437125,0.19178310046573518,soc
0.0,0.9516951530106196,21,6000.0,272.4394557946904,389.2042801353938,13501328.22879211,1037912.309139309,14539240.537931439,22151276.04177709,275365.9417372976,3158994.616965362,3748,0.9820359281437125,0.19176230871590152,soc
0.0,0.9516951530106196,21,7200.0,272.4394557946904,389.2042801353938,13506784.500541793,1037523.971586339,14544308.472128129,22167993.4119889,275266.9067392023,3160368.3135176757,3748,0.9820359281437125,0.19174151696606787,soc
