target,fit_origin,w1,w2,w3,w4
load,2025-03-01,0.6245194477177706,0.28124205846981865,0.09423849381241067,1.3010426069826051e-18
load,2025-04-01,0.6094235921287589,0.2882222274590622,0.10189624874082946,0.0004579316713494893
load,2025-05-01,0.5401161280687178,0.2916150683144882,0.1319490224181569,0.036319781198637206
load,2025-06-01,0.5315070823532949,0.26995625801416245,0.13839939218634736,0.06013726744619527
load,2025-07-01,0.5913634200325288,0.2226074621557103,0.10645831492331614,0.07957080288844467
load,2025-08-01,0.6422288979777585,0.18137490846469193,0.08130150167755808,0.09509469187999149
load,2025-09-01,0.6175241211586456,0.1950790241080797,0.10186221144043581,0.08553464329283893
load,2025-10-01,0.6999518136041828,0.1888077861120579,0.07856191873139974,0.03267848155235955
load,2025-11-01,0.6968858151257167,0.19085494625568922,0.08034039455153033,0.031918844067063856
load,2025-12-01,0.6843632915871448,0.19798868763130914,0.08260861061651154,0.03503941016503442
pv,2025-03-01,0.8400138266973415,0.15998617330265855,5.1963700568036733e-17,6.938893903907228e-18
pv,2025-04-01,0.7404638177277079,0.25953618227229225,5.155462158863596e-17,1.691355389077387e-17
pv,2025-05-01,0.7165895948858697,0.2834104051141303,0.0,1.084202213844535e-17
pv,2025-06-01,0.6089152695601235,0.3115997783607757,0.07948495207910072,3.252606517456513e-19
pv,2025-07-01,0.6368967001236403,0.24632428133425277,0.07523421456562653,0.041544803976480436
pv,2025-08-01,0.6454997136857609,0.23325282382793824,0.047806090730920146,0.07344137175538085
pv,2025-09-01,0.6234443467514943,0.23023880381551992,0.056416566743550035,0.08990028268943588
pv,2025-10-01,0.6213878841746051,0.2386294959008194,0.05259960486440918,0.08738301506016628
pv,2025-11-01,0.6252295026841873,0.22842358009979244,0.05778297165272199,0.08856394556329832
pv,2025-12-01,0.6525878027412275,0.24161312941901375,0.05195966110510946,0.0538394067346493
