lag_day,daily_net_energy_acf,net_profile_correlation,load_profile_correlation,pv_profile_correlation
1,0.469856692285091,0.8806201487035166,0.6792228203357933,0.9923139365019309
2,-0.06495461030031599,0.7738687547321097,0.3660921043099365,0.991942653071954
3,-0.07785024316741554,0.7716581921327045,0.36599702009278995,0.9918307943145396
4,-0.0784482188827735,0.7716450160145881,0.36642568910579154,0.9914753242809529
5,-0.06711091670040488,0.7739144964054108,0.36707277425979884,0.9912242657295136
6,0.45744919906148024,0.8787338846822267,0.6762779337997699,0.9910949297170293
7,0.9730333446370867,0.9808934372989158,0.9854841731589503,0.9903393354144868
8,0.4444482534982062,0.8760814202604136,0.6726901404593024,0.9900347004188879
9,-0.09761427455601841,0.7696201438004351,0.3590346733252449,0.9895869695814015
10,-0.11276485414707307,0.7669516456717062,0.358849135497664,0.9890339883051235
11,-0.11460282385949441,0.7664575560799478,0.3593022400376118,0.9885610457487952
12,-0.10267534215604311,0.7686508938045691,0.3602394988157587,0.9881996725400884
13,0.42584825695225137,0.8715527832164436,0.6696603041128472,0.9872059319069493
14,0.9469093128249622,0.9731389016816091,0.9790903751253595,0.9865464882301108
15,0.4120949995808848,0.869155754905995,0.6660439724975027,0.9863062713968868
16,-0.13650868690177848,0.7629128637301639,0.35197629925302387,0.9856309740410443
17,-0.15167538099898215,0.7600135942696884,0.3518129908626461,0.9848287930153306
18,-0.15175388722944283,0.7601817085303071,0.3524106186584513,0.9845594068768664
19,-0.1400634743779994,0.7616647196259957,0.353226401317487,0.9836513167223836
20,0.3964462742182631,0.8646184460817007,0.6631361034984833,0.9832803579292434
21,0.9221283455052287,0.9647506012012975,0.9729031790349294,0.9821852661412599
22,0.3818785180153411,0.8616331052202788,0.6591152185027447,0.9821935025691827
23,-0.1737816295647168,0.7561002192533667,0.3448128389976635,0.9815506491656745
24,-0.19001037133393398,0.7526985938023347,0.34470541704840224,0.9805358937561548
25,-0.18875914098038474,0.7529948056183995,0.34547315298961423,0.9801875323277155
26,-0.17649788727306195,0.7544440125821765,0.3464528226444417,0.9791081529005066
27,0.365989544449263,0.8569114032310409,0.6566278783947757,0.9789059308425414
28,0.8943767297103103,0.9561718936853567,0.9663876066742678,0.9781534513850053
29,0.3467653454981513,0.8528976839965947,0.6525482553033783,0.9774826310096791
30,-0.2144394840752397,0.7476801909272746,0.3374876078957265,0.9765507589096661
31,-0.23279491999975824,0.7440675889425105,0.336721860436336,0.9757288939465151
32,-0.2352574413361984,0.7431827889327065,0.33740087640520333,0.9747122930734823
33,-0.2249454730493648,0.7443747621336488,0.3376507427463815,0.9736913746554071
34,0.32172143116444196,0.8458219385248021,0.6472333317448536,0.9732718664769575
35,0.8510050634178672,0.9433537462512082,0.9565769349219817,0.9721982582410921
