method,seed,date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slot_count,emergency_day_count,emergency_event_count
Attachment1Static,0,2025-03-25,42234.34332940948,4578.880529233335,46813.223858642814,69843.50336584362,1253.3001333333336,5909.770666666666,22299.516399176948,18062.60828333333,41,1,19
Attachment1Static,0,2025-03-26,41102.97211237,507.5444678083346,41610.51658017834,67996.4304888889,177.98418333333365,8430.890480833335,21847.206972222222,17696.2376475,21,1,14
Attachment1Static,0,2025-03-27,42599.748912009745,779.2478118500013,43378.996723859746,70299.45692386832,285.4547500000003,7728.311,21787.427757201644,17647.816483333332,19,1,9
Attachment1Static,0,2025-03-28,15765.960126168331,1457.2342165916652,17223.194342759998,30902.1884,396.7778999999995,17437.08553333333,15999.999999999998,12959.999999999996,19,1,10
Attachment1Static,0,2025-03-29,15695.747994838335,781.391017299999,16477.139012138334,30826.890916666667,194.00911666666653,20273.410639094647,16001.474794238682,12961.19458333333,18,1,12
Attachment1Static,0,2025-03-30,39992.58778909301,5547.637283741666,45540.22507283468,66488.54364650205,1213.4282999999998,8296.038529166668,21370.072196502053,17309.758479166667,26,1,16
Attachment1Static,0,2025-03-31,39763.51505844216,5593.903206033334,45357.41826447549,66032.19580781892,1479.6952333333334,6410.043383333335,21844.516707818926,17694.058533333333,34,1,14
Attachment1Static,0,2025-04-01,37692.775948208946,11608.0928418,49300.86879000894,63985.004095884775,3527.0464666666667,3205.62351666667,21566.18699588477,17468.611466666665,66,1,17
Attachment1Static,0,2025-04-02,37960.14973629123,14838.005364608338,52798.15510089957,64419.79380843621,3455.6097166666677,3334.362750000001,21608.97565843621,17503.270283333335,66,1,10
Attachment1Static,0,2025-04-03,38755.17236536456,5284.056010900011,44039.22837626457,65774.47552510287,1107.8828666666684,6913.122749999999,21608.97565843621,17503.27028333333,44,1,14
Attachment1Static,0,2025-04-04,38995.7551014429,0.0,38995.7551014429,65776.42889176954,0.0,55239.921266666664,21608.975658436208,17503.27028333333,0,0,0
Attachment1Static,0,2025-04-05,38791.189874218646,0.0,38791.189874218646,65481.309047942384,0.0,49346.550716666665,21529.70183127572,17439.058483333334,0,0,0
Attachment1Static,0,2025-04-06,38201.60452841531,1649.927932866667,39851.532461281975,64625.12718127572,362.7410666666667,6487.148633333334,21529.70183127572,17439.05848333333,26,1,15
Attachment1Static,0,2025-04-07,38117.20031253864,1345.9740683500029,39463.174380888646,64322.93311460904,414.5539333333341,7404.124416666667,21529.701831275717,17439.05848333333,26,1,15
Attachment1Static,0,2025-04-08,38086.35166595228,3412.9311895666588,41499.28285551894,64263.70409032921,712.4971333333319,6535.3691833333305,21513.886440329214,17426.248016666665,34,1,12
Attachment1Static,0,2025-04-09,38127.84169050098,5522.761298316668,43650.60298881765,64220.10474341563,1691.686250000001,2690.2323666666653,21511.829526748967,17424.581916666666,50,1,15
Attachment1Static,0,2025-04-10,38500.83257609006,3033.9867396083364,41534.8193156984,64967.719416255146,681.1689666666673,7094.322883333334,21546.987366255144,17453.059766666665,33,1,16
Attachment1Static,0,2025-04-11,38588.72261271166,0.0,38588.72261271166,65011.92588333332,0.0,55601.126899999996,21548.151666666665,17454.002849999997,0,0,0
Attachment1Static,0,2025-04-12,38445.31902865,0.0,38445.31902865,64779.64689999999,0.0,51660.337533333324,21548.151666666665,17454.002849999997,0,0,0
Attachment1Static,0,2025-04-13,38220.17699689333,939.1923835250018,39159.36938041833,64476.7283,230.24160000000046,6336.462600000001,21548.151666666665,17454.00285,19,1,10
Attachment1Static,0,2025-04-14,37974.579424659576,1380.9496529166672,39355.52907757624,64056.19915288066,380.3274333333335,7819.392983333335,21521.58843621399,17432.486633333334,23,1,13
Attachment1Static,0,2025-04-15,37843.357748587645,850.0415019166642,38693.399250504306,63811.28122674897,186.96154999999953,9771.566333333332,21511.82952674897,17424.581916666666,18,1,10
Attachment1Static,0,2025-04-16,37671.513311382645,2776.323323400001,40447.836634782645,63519.503060082294,898.9147166666676,4551.578216666666,21511.829526748967,17424.581916666666,32,1,12
Attachment1Static,0,2025-04-17,37903.34449904747,726.5390635250033,38629.88356257247,64043.868261316864,207.8184166666672,7296.253233333335,21511.00576131687,17423.914666666667,14,1,11
Attachment1Static,0,2025-04-18,37691.63541824641,0.0,37691.63541824641,63609.5346738683,0.0,53174.10518333333,21480.591090534974,17399.27878333333,0,0,0
Attachment1Static,0,2025-04-19,37441.35370697975,0.0,37441.35370697975,63236.0824738683,0.0,52370.09091666667,21480.591090534974,17399.27878333333,0,0,0
Attachment1Static,0,2025-04-20,37289.79948026642,875.1779643250013,38164.97744459142,63007.05474053497,239.83380000000025,7207.831350000001,21480.591090534974,17399.278783333335,17,1,13
Attachment1Static,0,2025-04-21,37148.6463330484,990.3708338416636,38139.01716689006,62766.106699588476,343.4663499999991,10515.858816666665,21456.862366255136,17380.058516666664,29,1,13
Attachment1Static,0,2025-04-22,36920.909546126415,1612.8434082416688,38533.75295436809,62388.2925627572,492.58136666666724,6651.911666666665,21452.804979423865,17376.772033333335,33,1,17
Attachment1Static,0,2025-04-23,36741.52479973148,1613.3171691333314,38354.841968864814,62102.872104938266,551.6239499999995,7182.294783333335,21433.076604938266,17360.792049999996,32,1,13
Attachment1Static,0,2025-04-24,36482.715946335054,705.9579899083327,37188.67393624339,61625.88181625515,178.53223333333312,10696.438966666668,21146.67569958848,17128.807316666665,20,1,12
