date,interval,emergency_kwh
2025-03-20,09:10-10:00,225.2683492833
2025-03-20,20:30-20:40,228.6695650052
2025-03-20,21:30-21:50,15.151836453000001
2025-06-21,无,0.0
2025-09-23,20:20-22:00,452.36300523299997
2025-09-23,22:20-22:40,56.5843429847
2025-09-23,23:30-23:40,1.5060591557
2025-12-21,07:50-08:00,13.3502563738
2025-12-21,10:30-10:50,207.5761344995
2025-12-21,20:30-20:40,76.1150689491
