month,weekday,max_abs_value_difference,mean_abs_value_difference,value_scale,relative_max_difference
2,0,14.739843137496337,0.6097752346147746,2292.350053333357,0.006430014087971775
2,1,13.686843137495543,0.5792136263128621,2292.35005333335,0.005970660160560227
2,2,13.818468137492346,0.5827987430448923,2292.35005333335,0.006028079401485234
2,3,13.686843137495543,0.5792136263157153,2292.35005333335,0.005970660160560227
2,4,14.739843137499975,0.6078945601689076,2292.3500533333245,0.0064300140879734536
2,5,13.818468137499622,0.5827987430457956,2292.3500533333354,0.006028079401488447
2,6,13.68684313750282,0.5792136263152012,2292.35005333335,0.005970660160563401
3,0,13.818468137514174,0.5827987430482835,2292.35005333335,0.006028079401494756
3,1,14.739843137496337,0.6097752346142968,2292.350053333357,0.006430014087971775
3,2,13.818468137499622,0.5827987430457018,2292.3500533333645,0.006028079401488371
3,3,14.739843137503613,0.6097752346151647,2292.35005333335,0.00643001408797497
3,4,14.73984313750725,0.6078945601707471,2292.3500533333317,0.006430014087976607
3,5,13.68684313750282,0.5792136263134504,2292.3500533333245,0.005970660160563467
3,6,14.739843137503613,0.6097752346150958,2292.3500533333427,0.00643001408797499
4,0,14.739843137503613,0.6078945601672108,2292.3500533333718,0.006430014087974908
4,1,14.739843137503613,0.6097752346170111,2292.350053333357,0.006430014087974949
4,2,14.739843137504067,0.6078945601664535,2292.350053333321,0.006430014087975249
4,3,14.739843137503613,0.6078945601642116,2292.3500533333354,0.0064300140879750105
4,4,14.739843137503613,0.6097752346148789,2292.3500533333245,0.006430014087975041
4,5,14.739843137496791,0.60977523461253,2292.350053333328,0.006430014087972055
4,6,14.739843137496337,0.6078945601673506,2292.350053333401,0.006430014087971653
5,0,14.739843137503613,0.6078945601691872,2292.35005333335,0.00643001408797497
5,1,14.739843137510888,0.6078945601665862,2292.350053333379,0.006430014087978062
5,2,7.827345400001832,0.33780454954658234,2292.35005333335,0.003414550665427359
5,3,14.73984313752544,0.6078945601684272,2292.350053333357,0.006430014087984471
5,4,7.699636461767113,0.3739822610370436,2281.943995265426,0.0033741566303740612
5,5,0.760631538339112,0.05852105006142258,2279.4745641666545,0.00033368722349274763
5,6,14.739843137503613,0.6078945601660545,2292.35005333335,0.00643001408797497
6,0,14.739843137511343,0.6078945601702374,2292.350053333357,0.006430014087978321
6,1,14.739843137503613,0.6097752346189036,2292.3500533333427,0.00643001408797499
6,2,13.686843137510095,0.5792136263166363,2292.3500533333354,0.005970660160566613
6,3,14.73984313748906,0.6078945601648406,2292.3500533333645,0.006430014087968581
6,4,0.6955481150007472,0.06559819225071628,2165.2833321829958,0.000321227298369082
6,5,1.592014200001131,0.11207248109913176,2141.1059478145703,0.0007435476052112704
6,6,13.686843137510095,0.5792136263134566,2292.35005333335,0.005970660160566575
7,0,14.739843137510888,0.6078945601686785,2292.3500533333645,0.006430014087978103
7,1,14.739843137510888,0.6097752346189823,2292.3500533333427,0.006430014087978164
7,2,14.739843137503613,0.6078945601667676,2292.35005333335,0.00643001408797497
7,3,14.739843137518164,0.6078945601679027,2292.3500533333427,0.006430014087981338
7,4,2.1096229600002516,0.12193812801763171,2051.3382538425085,0.0010284130157708344
7,5,7.9327142730774085,0.36031777089280415,2038.6182355634571,0.0038912210901934133
7,6,14.739843137510888,0.6097752346181666,2292.350053333357,0.006430014087978123
8,0,14.739843137496337,0.607894560165575,2292.350053333357,0.006430014087971775
8,1,14.739843137496337,0.6078945601653953,2292.35005333335,0.006430014087971795
8,2,14.739843137496337,0.6097752346147701,2292.350053333357,0.006430014087971775
8,3,14.739843137510888,0.6078945601669524,2292.35005333335,0.006430014087978143
8,4,0.6663513799978773,0.06069503217828925,2055.624920179487,0.0003241600028567929
8,5,0.7382870783296767,0.061054424005258144,2055.902142355766,0.0003591061379427849
8,6,14.739843137510888,0.609775234615577,2292.3500533333427,0.006430014087978164
9,0,14.739843137496337,0.6097752346137996,2292.350053333357,0.006430014087971775
9,1,14.739843137503613,0.6078945601661049,2292.35005333335,0.00643001408797497
9,2,14.739843137496337,0.6097752346162467,2292.3500533333427,0.006430014087971816
9,3,14.739843137496337,0.607894560167478,2292.3500533333354,0.006430014087971836
9,4,0.48901004333993114,0.06153603870746458,2090.3280833781732,0.00023393937402861823
9,5,0.7400098583398176,0.058672584545617475,2063.913292317482,0.0003585469705022789
9,6,14.739843137496337,0.6078945601658315,2292.3500533333427,0.006430014087971816
10,0,13.686843137495089,0.5792136263122472,2292.3500533333718,0.005970660160559972
10,1,14.739843137503613,0.6078945601651432,2292.3500533333645,0.006430014087974929
