period,g9_adjusted_cost,g17_adjusted_cost,cost_difference_g9_minus_g17,relative_cost_difference,end_soc_difference
full334,13636224.558029078,13635767.157882836,457.40014624223113,3.354414467086351e-05,93.74999999641659
development153,6392101.895080173,6391854.30489926,247.5901809129864,3.8735266653874174e-05,135.88326552412855
frozen61,2925543.248920371,2925553.536038465,-10.287118094041944,3.5162980158523716e-06,93.74999999641659
