reference,challenger,period,days,raw_daily_saving_mean,raw_ci_low95,raw_ci_high95,boundary_shift_per_day,adjusted_daily_saving_mean,adjusted_ci_low95,adjusted_ci_high95
hard_6000,dual_terminal_g17,full334,334,-16.994659693397704,-33.867256863050706,-0.2928725815796504,3.54979900249923,-13.444860690898475,-30.317457860551475,3.2569264209195796
hard_6000,dual_terminal_g17,development153,153,33.47450108748822,8.090296552196204,61.009990219172735,-9.27635632289884,24.19814476458938,-1.1860597707026361,51.73363389627389
hard_6000,dual_terminal_g17,frozen61,61,-41.508175315608185,-102.73612938355186,8.482649026484433,24.2038711311135,-17.304304184494683,-78.53225825243835,32.68652015759793
cyclic_initial,dual_terminal_g17,full334,334,392.98381936625464,341.4278009503125,444.40220327909884,-3.0493681253700333,389.9344512408846,338.3784328249424,441.3528351537288
cyclic_initial,dual_terminal_g17,development153,153,508.54343560121,433.9449252604076,583.2325414764123,-11.02051215489708,497.5229234463129,422.92441310551055,572.2120293215152
cyclic_initial,dual_terminal_g17,frozen61,61,300.1507586708976,239.02284662670522,354.08289449435927,17.78958592860506,317.9403445995026,256.8124325553103,371.8724804229643
free_terminal,dual_terminal_g17,full334,334,-54.722409559402244,-88.40394931264635,-21.382613090159342,10.173248479478765,-44.54916107992348,-78.23070083316759,-11.209364610680577
free_terminal,dual_terminal_g17,development153,153,-24.331169886154754,-73.43696936570758,38.73608791212531,-8.86930290739024,-33.200472793544996,-82.30627227309782,29.86678500473507
free_terminal,dual_terminal_g17,frozen61,61,-26.858576847624285,-91.99451110010536,23.63725404319236,25.007905192392098,-1.850671655232187,-66.98660590771325,48.64515923558446
dual_terminal_g9,dual_terminal_g17,full334,334,1.5019871624546501,0.9262218675716797,2.128587376151334,-0.1325256467513756,1.3694615157032746,0.7936962208203041,1.9960617293999585
dual_terminal_g9,dual_terminal_g17,development153,153,1.6956263233874613,0.7580942824597675,2.7786207219622945,-0.07738984683543047,1.618236476552031,0.680704435624337,2.701230875126864
dual_terminal_g9,dual_terminal_g17,frozen61,61,-0.3620155686420745,-1.8332443980180466,1.1454847713388145,0.19337428842400783,-0.16864128021806668,-1.639870109594039,1.3388590597628225
