grid_size,month,weekday,soc,relative_future_cost
9,2,6,1200.0,2292.350053333357
9,2,6,1350.0,2220.5000516666905
9,2,6,1500.0,2148.650050000024
9,2,6,1650.0,2076.800048333357
9,2,6,1800.0,2004.950046666691
9,2,6,1950.0,1933.1000450000242
9,2,6,2100.0,1861.2500433333576
9,2,6,2250.0,1789.4000416666909
9,2,6,2400.0,1717.5500400000242
9,2,6,2550.0,1645.7000383333575
9,2,6,2700.0,1573.933370000012
9,2,6,2850.0,1502.250035000012
9,2,6,3000.0,1430.5667000000121
9,2,6,3150.0,1358.883365000012
9,2,6,3300.0,1287.200030000012
9,2,6,3450.0,1215.516695000012
9,2,6,3600.0,1143.8333600000121
9,2,6,3750.0,1072.1500250000122
9,2,6,3900.0,1000.466690000012
9,2,6,4050.0,928.7833550000205
9,2,6,4200.0,857.233353333354
9,2,6,4350.0,785.683351666687
9,2,6,4500.0,714.1333500000205
9,2,6,4650.0,642.583348333354
9,2,6,4800.0,571.0333466666871
9,2,6,4950.0,499.48334500002056
9,2,6,5100.0,427.93334333335406
9,2,6,5250.0,356.5833416666651
9,2,6,5400.0,285.2666733333317
9,2,6,5550.0,213.95000499999833
9,2,6,5700.0,142.63333666666495
9,2,6,5850.0,71.31666833333156
9,2,6,6000.0,-1.3642420526593924e-12
9,2,6,6150.0,-71.31666833333475
9,2,6,6300.0,-142.63333666666813
9,2,6,6450.0,-213.9000050000027
9,2,6,6600.0,-285.0833400000024
9,2,6,6750.0,-356.2666750000026
9,2,6,6900.0,-427.45001000000275
9,2,6,7050.0,-498.63334500000246
9,2,6,7200.0,-569.8166800000026
9,2,6,7350.0,-641.0000150000023
9,2,6,7500.0,-712.1833500000025
9,2,6,7650.0,-783.3666850000027
9,2,6,7800.0,-854.5500200000024
9,2,6,7950.0,-925.7000216666729
9,2,6,8100.0,-996.8500233333398
9,2,6,8250.0,-1068.0000250000062
9,2,6,8400.0,-1139.150026666673
9,2,6,8550.0,-1210.3000283333395
9,2,6,8700.0,-1281.3000300000022
9,2,6,8850.0,-1352.0500316666685
9,2,6,9000.0,-1422.8000333333357
9,2,6,9150.0,-1493.550035000002
9,2,6,9300.0,-1564.3000366666683
9,2,6,9450.0,-1635.0500383333356
9,2,6,9600.0,-1705.800040000002
9,2,6,9750.0,-1776.5500416666691
9,2,6,9900.0,-1847.3000433333355
9,2,6,10050.0,-1918.0500450000018
9,2,6,10200.0,-1988.800046666669
9,2,6,10350.0,-2054.450724050004
9,2,6,10500.0,-2112.122722700004
9,2,6,10650.0,-2169.794721350004
9,2,6,10800.0,-2227.466720000004
9,2,5,1200.0,2292.3500533333354
9,2,5,1350.0,2220.5000516666687
9,2,5,1500.0,2148.650050000002
9,2,5,1650.0,2076.8000483333353
9,2,5,1800.0,2004.950046666669
9,2,5,1950.0,1933.1000450000024
9,2,5,2100.0,1861.2500433333357
9,2,5,2250.0,1789.400041666669
9,2,5,2400.0,1717.5500400000024
9,2,5,2550.0,1645.7000383333357
9,2,5,2700.0,1573.9333699999975
9,2,5,2850.0,1502.2500349999975
9,2,5,3000.0,1430.5666999999976
9,2,5,3150.0,1358.8833649999974
9,2,5,3300.0,1287.2000299999975
9,2,5,3450.0,1215.5166949999975
9,2,5,3600.0,1143.8333599999976
9,2,5,3750.0,1072.1500249999976
9,2,5,3900.0,1000.4666899999975
9,2,5,4050.0,928.7833549999987
9,2,5,4200.0,857.2333533333322
9,2,5,4350.0,785.6833516666652
9,2,5,4500.0,714.1333499999987
9,2,5,4650.0,642.5833483333322
9,2,5,4800.0,571.0333466666652
9,2,5,4950.0,499.48334499999874
9,2,5,5100.0,427.93334333333223
9,2,5,5250.0,356.5833416666651
9,2,5,5400.0,285.2666733333317
9,2,5,5550.0,213.95000499999833
9,2,5,5700.0,142.63333666666495
9,2,5,5850.0,71.31666833333156
9,2,5,6000.0,-1.3642420526593924e-12
9,2,5,6150.0,-71.31666833333475
